"index","chr","start","end","count"
"Y__2821950__2829687","Y",2821950,2829687,1
"Y__2829115__2829687","Y",2829115,2829687,14
"Y__14832522__14848183","Y",14832522,14848183,1
"X__2867345__2873578","X",2867345,2873578,7
"X__10031485__10035530","X",10031485,10035530,1
"X__17043185__17065605","X",17043185,17065605,4
"X__17086525__17121902","X",17086525,17121902,4
"X__17705862__17710588","X",17705862,17710588,1
"X__18917291__18926174","X",18917291,18926174,9
"X__18917291__18943895","X",18917291,18943895,1
"X__18942174__18942643","X",18942174,18942643,5
"X__19367430__19368228","X",19367430,19368228,1
"X__19713730__19725102","X",19713730,19725102,1
"X__23739998__23740870","X",23739998,23740870,3
"X__24078205__24080691","X",24078205,24080691,2
"X__24190832__24197887","X",24190832,24197887,1
"X__24751872__24767109","X",24751872,24767109,5
"X__24839569__24861794","X",24839569,24861794,3
"X__24839569__24906239","X",24839569,24906239,1
"X__24839569__24948666","X",24839569,24948666,6
"X__30870895__30889918","X",30870895,30889918,8
"X__41000546__41027471","X",41000546,41027471,4
"X__41007622__41027471","X",41007622,41027471,10
"X__41012201__41047370","X",41012201,41047370,1
"X__41025125__41043928","X",41025125,41043928,3
"X__44919267__44920664","X",44919267,44920664,22
"X__44935942__44936071","X",44935942,44936071,2
"X__46844285__46857679","X",46844285,46857679,3
"X__46844285__46893190","X",46844285,46893190,1
"X__46884126__46914030","X",46884126,46914030,1
"X__47028714__47032596","X",47028714,47032596,11
"X__47061555__47069086","X",47061555,47069086,13
"X__47084017__47084142","X",47084017,47084142,12
"X__47100676__47100849","X",47100676,47100849,37
"X__47102795__47103001","X",47102795,47103001,2
"X__47442807__47444414","X",47442807,47444414,9
"X__47705504__47755339","X",47705504,47755339,1
"X__48317922__48324709","X",48317922,48324709,1
"X__48318118__48325464","X",48318118,48325464,13
"X__48320619__48321365","X",48320619,48321365,13
"X__48325186__48326172","X",48325186,48326172,1
"X__48460172__48460594","X",48460172,48460594,7
"X__48666440__48666733","X",48666440,48666733,95
"X__48666665__48666733","X",48666665,48666733,60
"X__48751183__48754141","X",48751183,48754141,1
"X__48780414__48780572","X",48780414,48780572,4
"X__48832430__48846415","X",48832430,48846415,4
"X__49030682__49030772","X",49030682,49030772,1
"X__53409153__53426652","X",53409153,53426652,1
"X__53410018__53440088","X",53410018,53440088,2
"X__53410018__53441819","X",53410018,53441819,6
"X__53565298__53579854","X",53565298,53579854,1
"X__53573665__53579402","X",53573665,53579402,3
"X__53573665__53630462","X",53573665,53630462,2
"X__53574634__53585770","X",53574634,53585770,1
"X__53574634__53615494","X",53574634,53615494,2
"X__53581594__53588885","X",53581594,53588885,16
"X__53587149__53587377","X",53587149,53587377,1
"X__53596576__53627269","X",53596576,53627269,6
"X__53607791__53607986","X",53607791,53607986,3
"X__53617364__53642796","X",53617364,53642796,1
"X__53672263__53681075","X",53672263,53681075,7
"X__54117745__54159296","X",54117745,54159296,1
"X__54142978__54143227","X",54142978,54143227,1
"X__64732462__64749758","X",64732462,64749758,16
"X__64743440__64752510","X",64743440,64752510,2
"X__67738612__67741339","X",67738612,67741339,3
"X__69510288__69624672","X",69510288,69624672,5
"X__69561649__69573657","X",69561649,69573657,195
"X__70601593__70614095","X",70601593,70614095,2
"X__71681854__71684581","X",71681854,71684581,1
"X__71681854__71715118","X",71681854,71715118,5
"X__72797243__72804408","X",72797243,72804408,2
"X__76972608__76972720","X",76972608,76972720,37
"X__77270159__77275895","X",77270159,77275895,184
"X__80047353__80049271","X",80047353,80049271,2
"X__85155651__85233895","X",85155651,85233895,1
"X__100087723__100088461","X",100087723,100088461,36
"X__100273960__100274392","X",100273960,100274392,8
"X__100273960__100297301","X",100273960,100297301,1
"X__100356047__100387445","X",100356047,100387445,2
"X__108902583__108939425","X",108902583,108939425,3
"X__108924495__108926895","X",108924495,108926895,3
"X__109310575__109352374","X",109310575,109352374,1
"X__117883621__117900939","X",117883621,117900939,20
"X__128624037__128645960","X",128624037,128645960,2
"X__129203275__129206392","X",129203275,129206392,2
"X__131516206__131526362","X",131516206,131526362,20
"X__131518691__131540420","X",131518691,131540420,48
"X__131526171__131526362","X",131526171,131526362,5
"X__132887509__132888203","X",132887509,132888203,12
"X__133087077__133087238","X",133087077,133087238,4
"X__138884395__138908982","X",138884395,138908982,1
"X__149963679__149984551","X",149963679,149984551,2
"X__149983335__149984551","X",149983335,149984551,29
"X__151130895__151131115","X",151130895,151131115,23
"X__153277980__153278129","X",153277980,153278129,2
"X__153281483__153281548","X",153281483,153281548,1
"X__153281483__153282095","X",153281483,153282095,8
"X__153281483__153282518","X",153281483,153282518,43
"X__153580549__153582851","X",153580549,153582851,2
"X__153581140__153581292","X",153581140,153581292,1
"X__153581140__153593087","X",153581140,153593087,1
"X__153581140__153593325","X",153581140,153593325,1
"X__153583193__153585991","X",153583193,153585991,1
"X__153587852__153588955","X",153587852,153588955,1
"X__153590610__153590700","X",153590610,153590700,1
"X__153662554__153664862","X",153662554,153664862,10
"X__153674160__153678083","X",153674160,153678083,1
"X__153760403__153760677","X",153760403,153760677,21
"X__153760403__153762375","X",153760403,153762375,2
"X__153761157__153762711","X",153761157,153762711,53
"X__153762553__153762711","X",153762553,153762711,2
"X__153996577__153997585","X",153996577,153997585,1
"X__154743647__154743926","X",154743647,154743926,7
"13__20534098__20641530","13",20534098,20641530,15
"13__20625573__20641530","13",20625573,20641530,1
"13__21436856__21442840","13",21436856,21442840,74
"13__26974590__26975761","13",26974590,26975761,1
"13__28748409__28830676","13",28748409,28830676,4
"13__28748409__28835595","13",28748409,28835595,8
"13__28771322__28794515","13",28771322,28794515,5
"13__28771322__28835595","13",28771322,28835595,1
"13__28830429__28835595","13",28830429,28835595,14
"13__28830429__28845003","13",28830429,28845003,1
"13__28834584__28835595","13",28834584,28835595,2
"13__28840852__28841013","13",28840852,28841013,4
"13__28840852__28845003","13",28840852,28845003,2
"13__28840852__28846208","13",28840852,28846208,1
"13__28840852__28862259","13",28840852,28862259,1
"13__31195901__31227442","13",31195901,31227442,3
"13__33091994__33101669","13",33091994,33101669,1
"13__33095510__33111164","13",33095510,33111164,1
"13__33101545__33111164","13",33101545,33111164,1
"13__33249981__33309467","13",33249981,33309467,2
"13__33261271__33271039","13",33261271,33271039,27
"13__33306238__33315286","13",33306238,33315286,7
"13__33306238__33316865","13",33306238,33316865,1
"13__35615070__35619538","13",35615070,35619538,35
"13__35644045__36220485","13",35644045,36220485,2
"13__37427556__37427812","13",37427556,37427812,5
"13__37539712__37546173","13",37539712,37546173,2
"13__37614542__37625720","13",37614542,37625720,19
"13__41367294__41373451","13",41367294,41373451,1
"13__41382574__41382732","13",41382574,41382732,6
"13__41826781__41835051","13",41826781,41835051,2
"13__41826781__41837620","13",41826781,41837620,3
"13__41890982__41946966","13",41890982,41946966,6
"13__42245082__42267108","13",42245082,42267108,4
"13__42335264__42361679","13",42335264,42361679,2
"13__42385361__42393522","13",42385361,42393522,2
"13__42385361__42442613","13",42385361,42442613,28
"13__42481722__42486304","13",42481722,42486304,18
"13__43986052__43987124","13",43986052,43987124,3
"13__48941630__49033969","13",48941630,49033969,2
"13__49033824__49033969","13",49033824,49033969,11
"13__50123594__50141456","13",50123594,50141456,15
"13__51501543__51501614","13",51501543,51501614,802
"13__51501543__51517530","13",51501543,51517530,1
"13__51957465__51963580","13",51957465,51963580,78
"13__52234732__52249379","13",52234732,52249379,18
"13__52534284__52542743","13",52534284,52542743,41
"13__52718826__52722604","13",52718826,52722604,1
"13__52992127__53001354","13",52992127,53001354,1
"13__53227181__53227238","13",53227181,53227238,2
"13__77718580__77836264","13",77718580,77836264,1
"13__77779391__77792092","13",77779391,77792092,3
"13__77791975__77799689","13",77791975,77799689,5
"13__77798586__77838137","13",77798586,77838137,1
"13__79908479__79940330","13",79908479,79940330,2
"13__94679983__94680148","13",94679983,94680148,519
"13__95858786__95860179","13",95858786,95860179,5
"13__95858786__95861851","13",95858786,95861851,3
"13__95858786__95863035","13",95858786,95863035,2
"13__98018713__98018807","13",98018713,98018807,6
"13__98649785__98670958","13",98649785,98670958,4
"13__98865474__98865667","13",98865474,98865667,18
"13__98865474__98996120","13",98865474,98996120,6
"13__98865474__99030172","13",98865474,99030172,4
"13__99083297__99083534","13",99083297,99083534,1
"13__99127075__99134575","13",99127075,99134575,3
"13__100953714__100962162","13",100953714,100962162,4
"13__100982815__101020828","13",100982815,101020828,3
"13__101278325__101287190","13",101278325,101287190,2
"13__111274563__111276626","13",111274563,111276626,11
"13__111857636__111862349","13",111857636,111862349,2
"13__113200013__113212727","13",113200013,113212727,1
"13__113201934__113223573","13",113201934,113223573,1
"13__113477659__113481205","13",113477659,113481205,1
"13__113718618__113719399","13",113718618,113719399,16
