"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chrY",2111063,2293345,"circular_RNA/1",0,"-",2111063,2111063,"0,0,0",5,"208,208,102,69,108","0,23717,48479,165722,182174",1,"circRNA","DHRSX","NM_145177","6,5,4,3,2","chrY:2089270-2111063|chrY:2293345-2368857","Y__2111064__2293345",1
"chrY",2276785,2293345,"circular_RNA/1",0,"-",2276785,2276785,"0,0,0",2,"69,108","0,16452",1,"circRNA","DHRSX","NM_145177","3,2","chrY:2159644-2276785|chrY:2293345-2368857","Y__2276786__2293345",1
"chrY",59228291,59252550,"circular_RNA/1",0,"+",59228291,59228291,"0,0,0",4,"58,138,91,68","0,2490,4875,24191",1,"circRNA","VAMP7","NM_005638","3,4,5,6","chrY:59222281-59228291|chrY:59252550-59272370","Y__59228292__59252550",1
"chrX",299338,308428,"circular_RNA/1",0,"-",299338,299338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrX:295252-299338|chrX:308428-322139","X__299339__308428",1
"chrX",299338,322325,"circular_RNA/1",0,"-",299338,299338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrX:295252-299338|chrX:322325-347102","X__299339__322325",1
"chrX",1404670,1409402,"circular_RNA/2",0,"+",1404670,1404670,"0,0,0",4,"143,124,130,173","0,2741,2981,4559",2,"circRNA","CSF2RA","NM_001161531","4,5,6,7","chrX:1401672-1404670|chrX:1409402-1413220","X__1404671__1409402",2
"chrX",2184780,2209644,"circular_RNA/1",0,"-",2184780,2184780,"0,0,0",2,"208,102","0,24762",1,"circRNA","DHRSX","NM_145177","5,4","chrX:2161271-2184780|chrX:2209644-2326785","X__2184781__2209644",1
"chrX",10031484,10035530,"circular_RNA/1",0,"+",10031484,10031484,"0,0,0",2,"110,204","0,3842",1,"circRNA","WWC3","NM_015691","2,3","chrX:9983898-10031484|chrX:10035530-10046838","X__10031485__10035530",1
"chrX",10031484,10047844,"circular_RNA/1",0,"+",10031484,10031484,"0,0,0",4,"110,204,77,80","0,3842,15354,16280",1,"circRNA","WWC3","NM_015691","2,3,4,5","chrX:9983898-10031484|chrX:10047844-10058810","X__10031485__10047844",1
"chrX",10031484,10066619,"circular_RNA/3",0,"+",10031484,10031484,"0,0,0",7,"110,204,77,80,130,150,74","0,3842,15354,16280,27326,30687,35061",3,"circRNA","WWC3","NM_015691","2,3,4,5,6,7,8","chrX:9983898-10031484|chrX:10066619-10077817","X__10031485__10066619",3
"chrX",10491131,10535643,"circular_RNA/1",0,"-",10491131,10491131,"0,0,0",2,"96,716","0,43796",1,"circRNA","MID1","NM_001193277","3,2","chrX:10463731-10491131|chrX:10535643-10544823","X__10491132__10535643",1
"chrX",13762533,13780563,"circular_RNA/1",0,"+",13762533,13762533,"0,0,0",12,"105,137,174,107,74,92,190,131,112,606,127,101","0,1904,2365,5012,8953,10736,12163,13245,13922,15700,16670,17929",1,"circRNA","OFD1","NM_001330209","6,7,8,9,10,11,12,13,14,15,16,17","chrX:13757151-13762533|chrX:13780563-13781863","X__13762534__13780563",1
"chrX",14868626,14877456,"circular_RNA/5",0,"-",14868626,14868626,"0,0,0",4,"170,129,93,153","0,2534,7357,8677",5,"circRNA","FANCB","NM_001018113","7,6,5,4","chrX:14863408-14868626|chrX:14877456-14882681","X__14868627__14877456",5
"chrX",14868626,14883702,"circular_RNA/1",0,"-",14868626,14868626,"0,0,0",5,"170,129,93,153,1021","0,2534,7357,8677,14055",1,"circRNA","FANCB","NM_001018113","7,6,5,4,3","chrX:14863408-14868626|chrX:14883702-14887044","X__14868627__14883702",1
"chrX",15793368,15794992,"circular_RNA/1",0,"+",15793368,15793368,"0,0,0",2,"63,156","0,1468",1,"circRNA","CA5BP1-CA5B","NR_160544","10,11","chrX:15792520-15793368|chrX:15794992-15800607","X__15793369__15794992",1
"chrX",16711263,16721064,"circular_RNA/1",0,"-",16711263,16711263,"0,0,0",5,"84,117,101,171,205","0,230,5095,5782,9596",1,"circRNA","CTPS2","NM_001144002","6,5,4,3,2","chrX:16709743-16711263|chrX:16721064-16729635","X__16711264__16721064",1
"chrX",16836696,16838378,"circular_RNA/1",0,"+",16836696,16836696,"0,0,0",2,"304,92","0,1590",1,"circRNA","TXLNG","NM_018360","2,3","chrX:16804712-16836696|chrX:16838378-16846216","X__16836697__16838378",1
"chrX",16863950,16871965,"circular_RNA/1",0,"-",16863950,16863950,"0,0,0",6,"111,58,77,78,127,161","0,3416,6218,6723,6921,7854",1,"circRNA","RBBP7","NM_001198719","11,10,9,8,7,6","chrX:16863226-16863950|chrX:16871965-16875716","X__16863951__16871965",1
"chrX",17121840,17157084,"circular_RNA/2",0,"+",17121840,17121840,"0,0,0",4,"62,84,146,106","0,30106,31543,35138",2,"circRNA","REPS2","NM_001080975","14,15,16,17","chrX:17095530-17121840|chrX:17157084-17165535","X__17121841__17157084",2
"chrX",17151946,17157084,"circular_RNA/1",0,"+",17151946,17151946,"0,0,0",3,"84,146,106","0,1437,5032",1,"circRNA","REPS2","NM_001080975","15,16,17","chrX:17121902-17151946|chrX:17157084-17165535","X__17151947__17157084",1
"chrX",17705861,17710588,"circular_RNA/1",0,"+",17705861,17705861,"0,0,0",2,"153,134","0,4593",1,"circRNA","NHS","NM_001291867","2,3","chrX:17394445-17705861|chrX:17710588-17737463","X__17705862__17710588",1
"chrX",18525054,18598088,"circular_RNA/1",0,"+",18525054,18525054,"0,0,0",5,"226,35,46,137,121","0,3885,57542,68419,72913",1,"circRNA","CDKL5","NM_003159","2,3,4,5,6","chrX:18443815-18525054|chrX:18598088-18600010","X__18525055__18598088",1
"chrX",18525054,18528974,"circular_RNA/1",1,"+",18525054,18525054,"0,0,0",2,"226,35","0,3885",1,"circRNA","CDKL5","NM_003159","2,3","chrX:18443815-18525054|chrX:18528974-18582596","X__18525055__18528974",1
"chrX",18593473,18598088,"circular_RNA/1",0,"+",18593473,18593473,"0,0,0",2,"137,121","0,4494",1,"circRNA","CDKL5","NM_003159","5,6","chrX:18582642-18593473|chrX:18598088-18600010","X__18593474__18598088",1
"chrX",18593473,18606263,"circular_RNA/2",0,"+",18593473,18593473,"0,0,0",5,"137,121,60,91,190","0,4494,6537,8909,12600",2,"circRNA","CDKL5","NM_003159","5,6,7,8,9","chrX:18582642-18593473|chrX:18606263-18613467","X__18593474__18606263",2
"chrX",18718451,18807391,"circular_RNA/1",0,"+",18718451,18718451,"0,0,0",11,"103,168,128,61,161,115,47,167,37,150,153","0,7326,29847,33414,49458,57293,61196,78676,82032,83565,88787",1,"circRNA","PPEF1","NM_001377986","4,5,6,7,8,9,10,11,12,13,14","chrX:18716050-18718451|chrX:18807391-18822009","X__18718452__18807391",1
"chrX",18767909,18822195,"circular_RNA/1",0,"+",18767909,18767909,"0,0,0",8,"161,115,47,167,37,150,153,186","0,7835,11738,29218,32574,34107,39329,54100",1,"circRNA","PPEF1","NM_001377986","8,9,10,11,12,13,14,15","chrX:18751926-18767909|chrX:18822195-18824520","X__18767910__18822195",1
"chrX",18775744,18807391,"circular_RNA/4",0,"+",18775744,18775744,"0,0,0",6,"115,47,167,37,150,153","0,3903,21383,24739,26272,31494",4,"circRNA","PPEF1","NM_001377986","9,10,11,12,13,14","chrX:18768070-18775744|chrX:18807391-18822009","X__18775745__18807391",4
"chrX",18954172,18972530,"circular_RNA/1",0,"-",18954172,18954172,"0,0,0",10,"96,123,54,147,99,81,83,169,48,159","0,2572,3940,5474,7655,9023,12689,15049,16439,18199",1,"circRNA","PHKA2","NM_000292","11,10,9,8,7,6,5,4,3,2","chrX:18949866-18954172|chrX:18972530-19001972","X__18954173__18972530",1
"chrX",20181081,20193406,"circular_RNA/1",0,"-",20181081,20181081,"0,0,0",6,"77,162,159,90,126,125","0,1935,4625,6438,9782,12200",1,"circRNA","RPS6KA3","NM_004586","19,18,17,16,15,14","chrX:20179879-20181081|chrX:20193406-20194367","X__20181082__20193406",1
"chrX",21869626,21871621,"circular_RNA/4",0,"+",21869626,21869626,"0,0,0",2,"104,128","0,1867",4,"circRNA","MBTPS2","NM_015884","4,5","chrX:21863502-21869626|chrX:21871621-21886584","X__21869627__21871621",4
"chrX",23739997,23749103,"circular_RNA/2",0,"-",23739997,23739997,"0,0,0",4,"104,84,38,171","0,789,8646,8935",2,"circRNA","ACOT9","NM_001033583","7,6,5,4","chrX:23731325-23739997|chrX:23749103-23751288","X__23739998__23749103",2
"chrX",23739997,23751334,"circular_RNA/1",0,"-",23739997,23739997,"0,0,0",5,"104,84,38,171,46","0,789,8646,8935,11291",1,"circRNA","ACOT9","NM_001033583","7,6,5,4,3","chrX:23731325-23739997|chrX:23751334-23754035","X__23739998__23751334",1
"chrX",23739997,23754133,"circular_RNA/7",0,"-",23739997,23739997,"0,0,0",6,"104,84,38,171,46,98","0,789,8646,8935,11291,14038",7,"circRNA","ACOT9","NM_001033583","7,6,5,4,3,2","chrX:23731325-23739997|chrX:23754133-23761241","X__23739998__23754133",7
"chrX",24075537,24075871,"circular_RNA/1",0,"+",24075537,24075537,"0,0,0",2,"128,122","0,212",1,"circRNA","EIF2S3","NM_001415","3,4","chrX:24073795-24075537|chrX:24075871-24078204","X__24075538__24075871",1
"chrX",24080532,24086225,"circular_RNA/1",0,"+",24080532,24080532,"0,0,0",4,"159,135,95,145","0,1785,3582,5548",1,"circRNA","EIF2S3","NM_001415","6,7,8,9","chrX:24078299-24080532|chrX:24086225-24089674","X__24080533__24086225",1
"chrX",24190831,24197887,"circular_RNA/16",0,"+",24190831,24190831,"0,0,0",3,"86,117,588","0,892,6468",16,"circRNA","ZFX","NM_001330327","4,5,6","chrX:24170947-24190831|chrX:24197887-24225442","X__24190832__24197887",16
"chrX",24197299,24197887,"circular_RNA/1",0,"+",24197299,24197299,"0,0,0",1,"588","0",1,"circRNA","ZFX","NM_001330327","6","chrX:24191840-24197299|chrX:24197887-24225442","X__24197300__24197887",1
"chrX",24717541,24721464,"circular_RNA/2",0,"+",24717541,24717541,"0,0,0",2,"125,97","0,3826",2,"circRNA","POLA1","NM_001330360","2,3","chrX:24712121-24717541|chrX:24721464-24722505","X__24717542__24721464",2
"chrX",24717541,24722586,"circular_RNA/1",0,"+",24717541,24717541,"0,0,0",3,"125,97,81","0,3826,4964",1,"circRNA","POLA1","NM_001330360","2,3,4","chrX:24712121-24717541|chrX:24722586-24732670","X__24717542__24722586",1
"chrX",24741271,24833228,"circular_RNA/1",0,"+",24741271,24741271,"0,0,0",20,"113,117,75,139,155,85,62,90,117,176,130,120,100,125,150,123,33,93,206,133","0,1180,2826,3778,4627,9215,10600,12244,14470,16220,18220,18847,20075,22263,25156,25715,86743,87553,89503,91824",1,"circRNA","POLA1","NM_001330360","11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","chrX:24735875-24741271|chrX:24833228-24839568","X__24741272__24833228",1
"chrX",24745049,24753605,"circular_RNA/1",0,"+",24745049,24745049,"0,0,0",5,"139,155,85,62,90","0,849,5437,6822,8466",1,"circRNA","POLA1","NM_001330360","14,15,16,17,18","chrX:24744172-24745049|chrX:24753605-24755741","X__24745050__24753605",1
"chrX",24750486,24761446,"circular_RNA/1",0,"+",24750486,24750486,"0,0,0",8,"85,62,90,117,176,130,120,100","0,1385,3029,5255,7005,9005,9632,10860",1,"circRNA","POLA1","NM_001330360","16,17,18,19,20,21,22,23","chrX:24746053-24750486|chrX:24761446-24763534","X__24750487__24761446",1
"chrX",24759491,24767109,"circular_RNA/1",0,"+",24759491,24759491,"0,0,0",6,"130,120,100,125,150,123","0,627,1855,4043,6936,7495",1,"circRNA","POLA1","NM_001330360","21,22,23,24,25,26","chrX:24757667-24759491|chrX:24767109-24828014","X__24759492__24767109",1
"chrX",24828014,24833228,"circular_RNA/1",0,"+",24828014,24828014,"0,0,0",4,"33,93,206,133","0,810,2760,5081",1,"circRNA","POLA1","NM_001330360","27,28,29,30","chrX:24767109-24828014|chrX:24833228-24839568","X__24828015__24833228",1
"chrX",24828014,24839700,"circular_RNA/1",0,"+",24828014,24828014,"0,0,0",5,"33,93,206,133,132","0,810,2760,5081,11554",1,"circRNA","POLA1","NM_001330360","27,28,29,30,31","chrX:24767109-24828014|chrX:24839700-24844543","X__24828015__24839700",1
"chrX",24828014,24844718,"circular_RNA/1",0,"+",24828014,24828014,"0,0,0",6,"33,93,206,133,132,175","0,810,2760,5081,11554,16529",1,"circRNA","POLA1","NM_001330360","27,28,29,30,31,32","chrX:24767109-24828014|chrX:24844718-24859768","X__24828015__24844718",1
"chrX",24828014,24861794,"circular_RNA/2",0,"+",24828014,24828014,"0,0,0",8,"33,93,206,133,132,175,179,132","0,810,2760,5081,11554,16529,31754,33648",2,"circRNA","POLA1","NM_001330360","27,28,29,30,31,32,33,34","chrX:24767109-24828014|chrX:24861794-24906122","X__24828015__24861794",2
"chrX",24833095,24861794,"circular_RNA/1",0,"+",24833095,24833095,"0,0,0",5,"133,132,175,179,132","0,6473,11448,26673,28567",1,"circRNA","POLA1","NM_001330360","30,31,32,33,34","chrX:24830980-24833095|chrX:24861794-24906122","X__24833096__24861794",1
"chrX",24839568,24861794,"circular_RNA/3",0,"+",24839568,24839568,"0,0,0",4,"132,175,179,132","0,4975,20200,22094",3,"circRNA","POLA1","NM_001330360","31,32,33,34","chrX:24833228-24839568|chrX:24861794-24906122","X__24839569__24861794",3
"chrX",31187559,31191721,"circular_RNA/1",0,"-",31187559,31187559,"0,0,0",3,"159,66,66","0,2905,4096",1,"circRNA","DMD","NM_004015","13,12,11","chrX:31165635-31187559|chrX:31191721-31196048","X__31187560__31191721",1
"chrX",31190464,31201021,"circular_RNA/1",0,"-",31190464,31190464,"0,0,0",6,"66,66,39,137,112,167","0,1191,5584,6321,8022,10390",1,"circRNA","DMD","NM_004015","12,11,10,9,8,7","chrX:31187718-31190464|chrX:31201021-31222077","X__31190465__31201021",1
"chrX",31222077,31279133,"circular_RNA/1",0,"-",31222077,31222077,"0,0,0",5,"158,86,202,75,62","0,2621,5537,19086,56994",1,"circRNA","DMD","NM_004015","6,5,4,3,2","chrX:31201021-31222077|chrX:31279133-31284926","X__31222078__31279133",1
"chrX",31366672,31525570,"circular_RNA/1",0,"-",31366672,31366672,"0,0,0",6,"79,147,269,121,157,173","0,95925,129550,130427,148232,158725",1,"circRNA","DMD","NM_004021","18,17,16,15,14,13","chrX:31341775-31366672|chrX:31525570-31645789","X__31366673__31525570",1
"chrX",31497099,31515061,"circular_RNA/1",0,"-",31497099,31497099,"0,0,0",2,"121,157","0,17805",1,"circRNA","DMD","NM_004021","15,14","chrX:31496491-31497099|chrX:31515061-31525397","X__31497100__31515061",1
"chrX",37245851,37285253,"circular_RNA/6",0,"+",37245851,37245851,"0,0,0",3,"91,51,161","0,19610,39241",6,"circRNA","PRRG1","NM_001173489","2,3,4","chrX:37208722-37245851|chrX:37285253-37312388","X__37245852__37285253",6
"chrX",37265461,37285253,"circular_RNA/4",0,"+",37265461,37265461,"0,0,0",2,"51,161","0,19631",4,"circRNA","PRRG1","NM_001173489","3,4","chrX:37245942-37265461|chrX:37285253-37312388","X__37265462__37285253",4
"chrX",37553538,37553801,"circular_RNA/1",0,"+",37553538,37553538,"0,0,0",1,"263","0",1,"circRNA","XK","NM_021083","2","chrX:37545459-37553538|chrX:37553801-37586888","X__37553539__37553801",1
"chrX",40522176,40531224,"circular_RNA/2",0,"-",40522176,40522176,"0,0,0",4,"236,183,132,112","0,1382,3795,8936",2,"circRNA","MED14","NM_004229","26,25,24,23","chrX:40518859-40522176|chrX:40531224-40534472","X__40522177__40531224",2
"chrX",40556275,40562821,"circular_RNA/2",0,"-",40556275,40556275,"0,0,0",3,"160,79,126","0,4141,6420",2,"circRNA","MED14","NM_004229","13,12,11","chrX:40552154-40556275|chrX:40562821-40568599","X__40556276__40562821",2
"chrX",40982723,41012334,"circular_RNA/2",0,"+",40982723,40982723,"0,0,0",13,"254,146,80,113,219,116,252,139,153,105,207,137,134","0,5529,7986,11254,13333,17185,17495,17822,19820,21051,24898,27450,29477",2,"circRNA","USP9X","NM_001039590","2,3,4,5,6,7,8,9,10,11,12,13,14","chrX:40945362-40982723|chrX:41012334-41022042","X__40982724__41012334",2
"chrX",40982723,41022130,"circular_RNA/1",0,"+",40982723,40982723,"0,0,0",14,"254,146,80,113,219,116,252,139,153,105,207,137,134,88","0,5529,7986,11254,13333,17185,17495,17822,19820,21051,24898,27450,29477,39319",1,"circRNA","USP9X","NM_001039590","2,3,4,5,6,7,8,9,10,11,12,13,14,15","chrX:40945362-40982723|chrX:41022130-41025124","X__40982724__41022130",1
"chrX",41043649,41084390,"circular_RNA/1",0,"+",41043649,41043649,"0,0,0",19,"279,126,126,167,109,147,147,223,221,191,174,142,754,124,226,130,186,221,89","0,2120,3595,4912,11854,12195,12967,14131,16663,20906,26112,30171,31502,32823,33975,34705,38820,40345,40652",1,"circRNA","USP9X","NM_001039590","23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41","chrX:41043381-41043649|chrX:41084390-41088505","X__41043650__41084390",1
"chrX",41073820,41078484,"circular_RNA/1",0,"+",41073820,41073820,"0,0,0",5,"142,754,124,226,130","0,1331,2652,3804,4534",1,"circRNA","USP9X","NM_001039590","34,35,36,37,38","chrX:41069935-41073820|chrX:41078484-41082469","X__41073821__41078484",1
