"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000229",18807,18949,1,"Un_gl000229__18807__18949",1
"chrUn_gl000220",113354,115022,1,"Un_gl000220__113354__115022",1
"chrUn_gl000220",113727,115864,1,"Un_gl000220__113727__115864",1
"chrUn_gl000220",115745,115925,1,"Un_gl000220__115745__115925",1
"chrUn_gl000220",113712,116184,2,"Un_gl000220__113712__116184",2
"chrUn_gl000220",115293,117302,1,"Un_gl000220__115293__117302",1
"chrUn_gl000220",114242,117679,1,"Un_gl000220__114242__117679",1
"chrUn_gl000220",95720,117964,7,"Un_gl000220__95720__117964",7
"chrUn_gl000220",117739,117964,1,"Un_gl000220__117739__117964",1
"chrUn_gl000220",117826,117964,1,"Un_gl000220__117826__117964",1
"chrUn_gl000220",117872,117983,1,"Un_gl000220__117872__117983",1
"chrUn_gl000220",117833,117991,1,"Un_gl000220__117833__117991",1
"chrUn_gl000220",117867,118020,1,"Un_gl000220__117867__118020",1
"chrUn_gl000220",117872,118022,1,"Un_gl000220__117872__118022",1
"chrUn_gl000220",117893,118048,4,"Un_gl000220__117893__118048",4
"chrUn_gl000220",95756,118093,2,"Un_gl000220__95756__118093",2
"chrUn_gl000220",117893,118097,2,"Un_gl000220__117893__118097",2
"chrUn_gl000220",117895,118103,1,"Un_gl000220__117895__118103",1
"chrUn_gl000220",117893,118115,1,"Un_gl000220__117893__118115",1
"chrUn_gl000220",117960,118304,1,"Un_gl000220__117960__118304",1
"chrUn_gl000220",121605,123082,1,"Un_gl000220__121605__123082",1
"chrUn_gl000220",112102,156145,1,"Un_gl000220__112102__156145",1
"chrUn_gl000220",114896,158976,1,"Un_gl000220__114896__158976",1
"chrUn_gl000220",114096,160127,1,"Un_gl000220__114096__160127",1
"chrUn_gl000220",113712,160156,1,"Un_gl000220__113712__160156",1
"chrUn_gl000220",117252,161274,1,"Un_gl000220__117252__161274",1
"chr17",169211,171206,2,"17__169211__171206",2
"chrY",178762,178948,1,"Y__178762__178948",1
"chr7",189121,189342,1,"7__189121__189342",1
"chr18",196637,204692,1,"18__196637__204692",1
"chr10",225934,267296,3,"10__225934__267296",3
"chrY",272140,273067,1,"Y__272140__273067",1
"chr19",325635,327256,1,"19__325635__327256",1
"chr16",347056,348251,1,"16__347056__348251",1
"chr5",353845,376831,3,"5__353845__376831",3
"chr20",398170,398574,1,"20__398170__398574",1
"chr17",421180,421699,1,"17__421180__421699",1
"chr10",412215,430086,4,"10__412215__430086",4
"chr10",408430,430579,1,"10__408430__430579",1
"chr4",436375,437802,1,"4__436375__437802",1
"chr16",450390,450496,1,"16__450390__450496",1
"chr10",459853,468973,1,"10__459853__468973",1
"chr20",469322,470525,1,"20__469322__470525",1
"chr10",530721,532470,2,"10__530721__532470",2
"chrY",528262,534501,1,"Y__528262__534501",1
"chr16",532525,546859,1,"16__532525__546859",1
