"index","chr","start","end","count"
"16__142594__143323","16",142594,143323,1
"17__169211__171206","17",169211,171206,1
"18__196637__199316","18",196637,199316,1
"11__244161__250865","11",244161,250865,1
"16__249061__258187","16",249061,258187,1
"10__225934__267296","10",225934,267296,2
"10__225934__295028","10",225934,295028,1
"19__311845__313643","19",311845,313643,1
"10__372946__375541","10",372946,375541,1
"10__372946__387269","10",372946,387269,1
"10__355971__395394","10",355971,395394,1
"16__396148__397106","16",396148,397106,9
"11__399967__400451","11",399967,400451,1
"12__459787__461490","12",459787,461490,1
"10__445049__461828","10",445049,461828,1
"16__511404__521389","16",511404,521389,2
"17__526773__530556","17",526773,530556,1
"16__511404__532736","16",511404,532736,1
"16__511404__539000","16",511404,539000,1
"16__521295__539000","16",521295,539000,1
"16__532525__539000","16",532525,539000,2
"16__667208__668260","16",667208,668260,1
"18__670692__671451","18",670692,671451,1
"11__674536__688460","11",674536,688460,1
"11__678694__688460","11",678694,688460,1
"18__693882__694334","18",693882,694334,2
"18__694248__697355","18",694248,697355,1
"16__700539__701103","16",700539,701103,1
"16__709245__712331","16",709245,712331,1
"16__722084__722384","16",722084,722384,1
"17__722679__729318","17",722679,729318,2
"16__731793__731880","16",731793,731880,1
"16__735257__737739","16",735257,737739,1
"19__756890__760039","19",756890,760039,1
"1__861302__874509","1",861302,874509,1
"1__861302__874792","1",861302,874792,2
"1__871152__874792","1",871152,874792,4
"10__882343__909823","10",882343,909823,1
"10__909683__910210","10",909683,910210,2
"10__888872__931700","10",888872,931700,1
"10__909683__931700","10",909683,931700,6
"12__922808__939326","12",922808,939326,1
"12__936208__939326","12",936208,939326,3
"1__978619__986217","1",978619,986217,1
"11__992503__994245","11",992503,994245,3
"17__982570__1003975","17",982570,1003975,2
"16__983991__1004666","16",983991,1004666,1
"16__1004357__1004666","16",1004357,1004666,6
"12__1003728__1006847","12",1003728,1006847,2
"12__1025510__1025986","12",1025510,1025986,1
"19__1105185__1106458","19",1105185,1106458,1
"10__1118056__1126416","10",1118056,1126416,3
"10__1118056__1132297","10",1118056,1132297,1
"12__1136914__1137738","12",1136914,1137738,7
"10__1118056__1142186","10",1118056,1142186,3
"10__1123847__1142186","10",1123847,1142186,1
"10__1130343__1142186","10",1130343,1142186,5
"10__1118056__1151207","10",1118056,1151207,2
"10__1130343__1151207","10",1130343,1151207,4
"10__1149542__1151207","10",1149542,1151207,3
"19__1147308__1154401","19",1147308,1154401,5
"19__1149368__1154401","19",1149368,1154401,1
"1__1192372__1203372","1",1192372,1203372,1
"1__1198726__1203372","1",1198726,1203372,1
"1__1203242__1203372","1",1203242,1203372,1
"12__1213916__1225199","12",1213916,1225199,1
"12__1219358__1225199","12",1219358,1225199,1
"12__1192330__1250953","12",1192330,1250953,1
"12__1213916__1250953","12",1213916,1250953,1
"1__1250204__1256473","1",1250204,1256473,1
"19__1271328__1274439","19",1271328,1274439,1
"1__1273902__1275883","1",1273902,1275883,1
"1__1273357__1277185","1",1273357,1277185,1
"12__1289706__1299218","12",1289706,1299218,1
"11__1309854__1311639","11",1309854,1311639,1
"11__1307232__1317024","11",1307232,1317024,4
