"index","chr","start","end","count"
"17__96902__131645","17",96902,131645,2
"16__138697__139900","16",138697,139900,3
"16__142594__143323","16",142594,143323,3
"16__148143__150507","16",148143,150507,18
"17__169211__177370","17",169211,177370,2
"18__163308__180339","18",163308,180339,3
"18__163308__192900","18",163308,192900,1
"18__197616__198132","18",197616,198132,2
"11__218832__233215","11",218832,233215,2
"11__224078__233215","11",224078,233215,5
"16__242926__249237","16",242926,249237,5
"10__225934__255988","10",225934,255988,2
"16__249061__258187","16",249061,258187,2
"10__225934__267296","10",225934,267296,17
"10__225934__295028","10",225934,295028,1
"19__311845__313643","19",311845,313643,10
"19__312191__313643","19",312191,313643,4
"19__312191__327256","19",312191,327256,1
"19__325635__334542","19",325635,334542,2
"19__311845__336173","19",311845,336173,3
"19__325635__336173","19",325635,336173,1
"19__326507__336173","19",326507,336173,2
"18__346295__348163","18",346295,348163,1
"10__355971__375541","10",355971,375541,3
"10__372946__375541","10",372946,375541,3
"10__372946__387269","10",372946,387269,6
"10__372946__395394","10",372946,395394,4
"16__396148__397106","16",396148,397106,2
"19__418923__425231","19",418923,425231,3
"10__412215__430086","10",412215,430086,3
"19__430684__439030","19",430684,439030,2
"19__434709__440932","19",434709,440932,2
"12__438001__443588","12",438001,443588,4
"16__448990__449739","16",448990,449739,5
"12__459787__461490","12",459787,461490,4
"12__459787__463400","12",459787,463400,4
"12__459787__465703","12",459787,465703,2
"10__454866__468973","10",454866,468973,5
"10__461709__468973","10",461709,468973,2
"10__454866__486936","10",454866,486936,1
"17__489510__489604","17",489510,489604,2
"11__499829__500654","11",499829,500654,1
"17__489510__505136","17",489510,505136,2
"10__465005__518489","10",465005,518489,2
"17__526773__530556","17",526773,530556,7
"16__521295__539000","16",521295,539000,2
"16__532525__539000","16",532525,539000,4
"16__553004__560800","16",553004,560800,2
"19__580379__581591","19",580379,581591,1
"19__618705__619110","19",618705,619110,2
"12__644332__645461","12",644332,645461,1
"19__648372__652296","19",648372,652296,2
"19__651611__652296","19",651611,652296,3
"19__648372__652884","19",648372,652884,1
"19__651611__652884","19",651611,652884,5
"11__678694__681089","11",678694,681089,6
"11__679688__681089","11",679688,681089,4
"11__653962__688460","11",653962,688460,6
"11__678694__688460","11",678694,688460,1
"11__687911__691598","11",687911,691598,2
"11__698869__700235","11",698869,700235,1
"18__697240__706578","18",697240,706578,1
"16__709245__710161","16",709245,710161,1
"16__721083__721203","16",721083,721203,1
"16__721860__722002","16",721860,722002,1
"16__722254__722825","16",722254,722825,3
"17__722679__727005","17",722679,727005,3
"16__726971__727388","16",726971,727388,1
"16__726971__727559","16",726971,727559,3
"17__722679__729318","17",722679,729318,5
