"index","chr","start","end","count"
"16__148143__150507","16",148143,150507,1
"17__169211__169340","17",169211,169340,4
"17__169211__171206","17",169211,171206,144
"17__171063__171206","17",171063,171206,4
"17__169211__177370","17",169211,177370,30
"17__171063__177370","17",171063,177370,178
"17__169211__183725","17",169211,183725,2
"11__403078__403771","11",403078,403771,1
"11__403078__404135","11",403078,404135,3
"11__407817__408893","11",407817,408893,5
"19__418923__438837","19",418923,438837,1
"19__438718__438837","19",438718,438837,3
"19__438718__439030","19",438718,439030,3
"19__438970__439030","19",438970,439030,2
"19__438970__440932","19",438970,440932,1
"19__440862__440932","19",440862,440932,1
"16__449379__449480","16",449379,449480,4
"16__449379__449739","16",449379,449739,1
"16__449627__449739","16",449627,449739,7
"10__410314__465139","10",410314,465139,1
"10__410314__468973","10",410314,468973,1
"19__580379__582582","19",580379,582582,1
"18__670692__670867","18",670692,670867,5
"16__701824__707221","16",701824,707221,1
"16__702467__707892","16",702467,707892,2
"16__703341__708344","16",703341,708344,4
"16__703525__708344","16",703525,708344,6
"11__720062__720746","11",720062,720746,4
"18__756557__756835","18",756557,756835,1
"11__836251__836442","11",836251,836442,17
"1__865535__865716","1",865535,865716,12
"1__871152__874509","1",871152,874509,2
"1__871152__874792","1",871152,874792,7
"1__874420__874792","1",874420,874792,1
"1__871152__877631","1",871152,877631,9
"1__874420__877868","1",874420,877868,11
"1__877939__878757","1",877939,878757,4
"19__879937__880148","19",879937,880148,1
"10__910063__910210","10",910063,910210,1
"19__932418__966868","19",932418,966868,8
"19__932418__968503","19",932418,968503,1
"12__939169__970509","12",939169,970509,5
"12__939169__971436","12",939169,971436,18
"12__966327__971436","12",966327,971436,5
"17__915928__986867","17",915928,986867,1
"1__986833__987025","1",986833,987025,2
"1__986833__987195","1",986833,987195,1
"1__987108__987195","1",987108,987195,1
"1__981344__989357","1",981344,989357,68
"1__981540__989931","1",981540,989931,58
"12__990858__995250","12",990858,995250,1
"17__953777__1003975","17",953777,1003975,1
"12__990858__1005898","12",990858,1005898,1
"19__1011740__1012187","19",1011740,1012187,2
"12__1025510__1025986","12",1025510,1025986,1
"12__1025805__1025986","12",1025805,1025986,1
"19__1031070__1032457","19",1031070,1032457,3
"19__1032391__1032695","19",1032391,1032695,4
"19__1056065__1063862","19",1056065,1063862,1
"19__1056065__1064252","19",1056065,1064252,1
"19__1089471__1089961","19",1089471,1089961,17
