"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000212",2762,6516,1,"Un_gl000212__2762__6516",1
"chr9",10297,10338,2,"9__10297__10338",2
"chrUn_gl000222",11828,12288,1,"Un_gl000222__11828__12288",1
"chr4_gl000194_random",21108,21254,1,"4_gl000194_random__21108__21254",1
"chr8_gl000196_random",12892,22894,1,"8_gl000196_random__12892__22894",1
"chrUn_gl000225",14828,49280,1,"Un_gl000225__14828__49280",1
"chr16",66625,66708,1,"16__66625__66708",1
"chr19",66811,66915,1,"19__66811__66915",1
"chr4_gl000194_random",76623,77015,1,"4_gl000194_random__76623__77015",1
"chrUn_gl000220",117897,118126,1,"Un_gl000220__117897__118126",1
"chrUn_gl000220",117948,118291,1,"Un_gl000220__117948__118291",1
"chrUn_gl000220",118260,118340,1,"Un_gl000220__118260__118340",1
"chrUn_gl000220",117897,118410,1,"Un_gl000220__117897__118410",1
"chrUn_gl000220",121605,123082,11,"Un_gl000220__121605__123082",11
"chrUn_gl000225",67262,131733,1,"Un_gl000225__67262__131733",1
"chrUn_gl000220",114769,159497,1,"Un_gl000220__114769__159497",1
"chr18",163308,166819,1,"18__163308__166819",1
"chr17_ctg5_hap1",167529,168155,3,"17_ctg5_hap1__167529__168155",3
"chr18",163308,180339,1,"18__163308__180339",1
"chr18",196637,199316,3,"18__196637__199316",3
"chrX",207315,208321,1,"X__207315__208321",1
"chr7",208898,209384,1,"7__208898__209384",1
"chr16",242162,242224,1,"16__242162__242224",1
"chr16",242926,249237,1,"16__242926__249237",1
"chr11",244161,250865,1,"11__244161__250865",1
"chr5",251107,251583,1,"5__251107__251583",1
"chr16",249061,258187,1,"16__249061__258187",1
"chr16",256003,258187,1,"16__256003__258187",1
"chr2",247538,261130,1,"2__247538__261130",1
"chr10",225934,267296,2,"10__225934__267296",2
"chr16",249061,270746,1,"16__249061__270746",1
"chr5",263816,272887,1,"5__263816__272887",1
"chr5",264438,306875,1,"5__264438__306875",1
"chrX",306251,308428,1,"X__306251__308428",1
"chr19",311845,313643,1,"19__311845__313643",1
"chr5",311408,314711,1,"5__311408__314711",1
"chrX",322140,323067,6,"X__322140__323067",6
"chr19",325635,330380,1,"19__325635__330380",1
"chr19",311845,336173,1,"19__311845__336173",1
"chr19",325635,336173,4,"19__325635__336173",4
"chr19",334400,336173,3,"19__334400__336173",3
"chr16",347056,348251,2,"16__347056__348251",2
"chr5",344008,354026,2,"5__344008__354026",2
"chr16",353945,364683,1,"16__353945__364683",1
"chr16",354304,364683,10,"16__354304__364683",10
"chr16",359973,364683,1,"16__359973__364683",1
"chr5",376185,376245,1,"5__376185__376245",1
"chr5",353845,376831,3,"5__353845__376831",3
"chr8",381341,385707,3,"8__381341__385707",3
"chr10",372946,387269,1,"10__372946__387269",1
"chr16",354304,397106,4,"16__354304__397106",4
"chr16",396148,397106,8,"16__396148__397106",8
"chr11",399967,400451,1,"11__399967__400451",1
"chr10",372946,408631,1,"10__372946__408631",1
"chr8",381341,413150,1,"8__381341__413150",1
"chr5",353845,413548,1,"5__353845__413548",1
"chr16",420036,420119,2,"16__420036__420119",2
"chr16",425133,427848,1,"16__425133__427848",1
"chr5",376725,428121,1,"5__376725__428121",1
"chr5",430322,430974,1,"5__430322__430974",1
"chr12",459787,463400,1,"12__459787__463400",1
"chr12",459787,465703,1,"12__459787__465703",1
"chr10",465005,468973,1,"10__465005__468973",1
"chr11",488962,489239,1,"11__488962__489239",1
"chr12",518534,521144,1,"12__518534__521144",1
"chr17",526773,530556,1,"17__526773__530556",1
"chr10",486811,532470,1,"10__486811__532470",1
"chr10",518379,532470,1,"10__518379__532470",1
"chr11",534299,534375,1,"11__534299__534375",1
"chr16",511404,539000,1,"16__511404__539000",1
"chr16",521295,539000,1,"16__521295__539000",1
"chr16",532525,539000,1,"16__532525__539000",1
"chr12",518534,547720,1,"12__518534__547720",1
"chr12",542573,547720,1,"12__542573__547720",1
"chr7",540753,552092,1,"7__540753__552092",1
"chr6",532469,556564,1,"6__532469__556564",1
"chr11",563785,563933,1,"11__563785__563933",1
"chr1",566592,566650,1,"1__566592__566650",1
"chr1",566441,566764,1,"1__566441__566764",1
"chr16",576709,576788,2,"16__576709__576788",2
"chr6",532469,576882,1,"6__532469__576882",1
"chr6",555227,576882,1,"6__555227__576882",1
"chr16",583946,586142,1,"16__583946__586142",1
"chr11",581492,592674,1,"11__581492__592674",1
"chr16",601136,601201,1,"16__601136__601201",1
"chr6",598021,610178,1,"6__598021__610178",1
"chr9",593609,611565,1,"9__593609__611565",1
"chr9",610087,611565,1,"9__610087__611565",1
"chr9",610115,611565,1,"9__610115__611565",1
"chr11",581492,611692,1,"11__581492__611692",1
"chr5",619105,620376,60,"5__619105__620376",60
"chr5",619105,624694,6,"5__619105__624694",6
"chr6",629835,637861,3,"6__629835__637861",3
"chr5",620251,640621,1,"5__620251__640621",1
"chr8",640898,642612,2,"8__640898__642612",2
"chr8",640970,642612,1,"8__640970__642612",1
"chr5",633884,644540,2,"5__633884__644540",2
"chr5",635487,644540,1,"5__635487__644540",1
"chr5",619105,648031,3,"5__619105__648031",3
"chr5",620251,648031,1,"5__620251__648031",1
"chr5",633884,648031,2,"5__633884__648031",2
"chr19",651611,652884,1,"19__651611__652884",1
"chr19",651692,652884,1,"19__651692__652884",1
"chr5",619105,653306,1,"5__619105__653306",1
"chr5",647920,655681,1,"5__647920__655681",1
