"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chr6_apd_hap1",3077799,3078072,"circular_RNA/1",0,"-",3077799,3077799,"0,0,0",1,"273","0",1,"ciRNA","VARS1","NM_006295","1","chr6_apd_hap1:3077777-3078072","6_apd_hap1__3077800__3078072",1
"chrY",249338,252666,"circular_RNA/1",0,"-",249338,249338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrY:245252-249338|chrY:252666-256250","Y__249339__252666",1
"chrY",2111063,2111271,"circular_RNA/1",0,"-",2111063,2111063,"0,0,0",1,"208","0",1,"circRNA","DHRSX","NM_145177","6","chrY:2089270-2111063|chrY:2111271-2134780","Y__2111064__2111271",1
"chrY",2134780,2293345,"circular_RNA/1",0,"-",2134780,2134780,"0,0,0",4,"208,102,69,108","0,24762,142005,158457",1,"circRNA","DHRSX","NM_145177","5,4,3,2","chrY:2111271-2134780|chrY:2293345-2368857","Y__2134781__2293345",1
"chrY",2276785,2293345,"circular_RNA/2",0,"-",2276785,2276785,"0,0,0",2,"69,108","0,16452",2,"circRNA","DHRSX","NM_145177","3,2","chrY:2159644-2276785|chrY:2293345-2368857","Y__2276786__2293345",2
"chrY",2486780,2491494,"circular_RNA/1",0,"+",2486780,2486780,"0,0,0",4,"45,69,45,69","0,689,3950,4645",1,"circRNA","CD99P1","NR_033381","5,6,7,8","chrY:2484010-2486780|chrY:2491494-2494637","Y__2486781__2491494",1
"chrY",2588396,2594414,"circular_RNA/2",0,"+",2588396,2588396,"0,0,0",4,"69,48,51,114","0,2271,2958,5904",2,"circRNA","CD99","NM_001321367","5,6,7,8","chrY:2587746-2588396|chrY:2594414-2601397","Y__2588397__2594414",2
"chrY",2821949,2829687,"circular_RNA/7",0,"+",2821949,2821949,"0,0,0",2,"89,573","0,7165",7,"circRNA","ZFY","NM_001369702","2,3","chrY:2803487-2821949|chrY:2829687-2843135","Y__2821950__2829687",7
"chrY",2821949,2843695,"circular_RNA/1",0,"+",2821949,2821949,"0,0,0",3,"89,150,144","0,21186,21602",1,"circRNA","ZFY","NM_001145276","2,3,4","chrY:2803487-2821949|chrY:2843695-2844710","Y__2821950__2843695",1
"chrY",2829114,2829687,"circular_RNA/2",0,"+",2829114,2829114,"0,0,0",1,"573","0",2,"circRNA","ZFY","NM_001145275","2","chrY:2803810-2829114|chrY:2829687-2843135","Y__2829115__2829687",2
"chrY",14821320,14837158,"circular_RNA/1",0,"+",14821320,14821320,"0,0,0",4,"156,149,80,113","0,11201,12720,15725",1,"circRNA","USP9Y","NM_004654","3,4,5,6","chrY:14820626-14821320|chrY:14837158-14838507","Y__14821321__14837158",1
"chrY",14821320,14851563,"circular_RNA/1",0,"+",14821320,14821320,"0,0,0",10,"156,149,80,113,219,116,252,139,153,105","0,11201,12720,15725,17187,26225,26611,27024,28770,30138",1,"circRNA","USP9Y","NM_004654","3,4,5,6,7,8,9,10,11,12","chrY:14820626-14821320|chrY:14851563-14869121","Y__14821321__14851563",1
"chrY",14837045,14848483,"circular_RNA/1",0,"+",14837045,14837045,"0,0,0",5,"113,219,116,252,139","0,1462,10500,10886,11299",1,"circRNA","USP9Y","NM_004654","6,7,8,9,10","chrY:14834120-14837045|chrY:14848483-14850090","Y__14837046__14848483",1
"chrY",14883001,14905134,"circular_RNA/2",0,"+",14883001,14883001,"0,0,0",12,"88,343,96,212,241,150,121,131,279,126,126,170","0,2515,4403,5581,6951,7538,8458,15135,15453,19338,20430,21963",2,"circRNA","USP9Y","NM_004654","16,17,18,19,20,21,22,23,24,25,26,27","chrY:14872547-14883001|chrY:14905134-14922113","Y__14883002__14905134",2
"chrY",14902339,14945787,"circular_RNA/1",0,"+",14902339,14902339,"0,0,0",10,"126,126,170,109,147,147,223,221,191,174","0,1092,2625,19774,20267,21230,22425,25719,28015,43274",1,"circRNA","USP9Y","NM_004654","25,26,27,28,29,30,31,32,33,34","chrY:14898733-14902339|chrY:14945787-14949836","Y__14902340__14945787",1
"chrY",15021270,15024974,"circular_RNA/8",0,"+",15021270,15021270,"0,0,0",4,"48,130,156,100","0,2480,3368,3604",8,"circRNA","DDX3Y","NM_001122665","4,5,6,7","chrY:15019505-15021270|chrY:15024974-15025629","Y__15021271__15024974",8
"chrY",15024874,15026561,"circular_RNA/2",0,"+",15024874,15024874,"0,0,0",3,"100,136,86","0,755,1601",2,"circRNA","DDX3Y","NM_001122665","7,8,9","chrY:15024794-15024874|chrY:15026561-15026795","Y__15024875__15026561",2
"chrY",15409586,15438230,"circular_RNA/2",0,"-",15409586,15409586,"0,0,0",9,"142,188,115,149,75,65,206,106,130","0,1250,5170,7692,8331,8479,25848,26894,28514",2,"circRNA","UTY","NM_001258249","27,26,25,24,23,22,21,20,19","chrY:15372284-15409586|chrY:15438230-15447442","Y__15409587__15438230",2
"chrY",15435434,15448215,"circular_RNA/2",0,"-",15435434,15435434,"0,0,0",4,"206,106,130,773","0,1046,2666,12008",2,"circRNA","UTY","NM_001258249","21,20,19,18","chrY:15418130-15435434|chrY:15448215-15466882","Y__15435435__15448215",2
"chrY",15435434,15478273,"circular_RNA/1",0,"-",15435434,15435434,"0,0,0",12,"206,106,130,773,396,96,93,156,135,220,99,127","0,1046,2666,12008,31448,32368,34322,34909,35533,36212,36875,42712",1,"circRNA","UTY","NM_001258249","21,20,19,18,17,16,15,14,13,12,11,10","chrY:15418130-15435434|chrY:15478273-15481135","Y__15435435__15478273",1
"chrY",15466882,15472408,"circular_RNA/3",0,"-",15466882,15466882,"0,0,0",7,"396,96,93,156,135,220,99","0,920,2874,3461,4085,4764,5427",3,"circRNA","UTY","NM_001258249","17,16,15,14,13,12,11","chrY:15448215-15466882|chrY:15472408-15478146","Y__15466883__15472408",3
"chrY",15478146,15481229,"circular_RNA/2",0,"-",15478146,15478146,"0,0,0",2,"127,94","0,2989",2,"circRNA","UTY","NM_001258249","10,9","chrY:15472408-15478146|chrY:15481229-15505738","Y__15478147__15481229",2
"chrY",15510791,15522872,"circular_RNA/1",0,"-",15510791,15510791,"0,0,0",1,"12081","0",1,"ciRNA","UTY","NM_001258249","6","chrY:15508852-15522872","Y__15510792__15522872",1
"chrY",15560896,15582109,"circular_RNA/1",0,"-",15560896,15560896,"0,0,0",2,"50,109","0,21104",1,"circRNA","UTY","NM_001258249","4,3","chrY:15526673-15560896|chrY:15582109-15591133","Y__15560897__15582109",1
"chrY",16831338,16835149,"circular_RNA/2",0,"+",16831338,16831338,"0,0,0",2,"60,153","0,3658",2,"circRNA","NLGN4Y","NM_001206850","2,3","chrY:16634821-16831338|chrY:16835149-16936067","Y__16831339__16835149",2
