"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,48,"Un_gl000222__11699__12288",48
"chrUn_gl000222",11828,12288,39,"Un_gl000222__11828__12288",39
"chrUn_gl000242",12781,14376,1,"Un_gl000242__12781__14376",1
"chrUn_gl000222",11828,14982,1,"Un_gl000222__11828__14982",1
"chr9",17344,17855,1,"9__17344__17855",1
"chr8_gl000196_random",12892,22894,2,"8_gl000196_random__12892__22894",2
"chr8_gl000196_random",12892,27060,6,"8_gl000196_random__12892__27060",6
"chrUn_gl000211",33215,35708,1,"Un_gl000211__33215__35708",1
"chr7_gl000195_random",48955,56569,3,"7_gl000195_random__48955__56569",3
"chrUn_gl000219",76032,78952,2,"Un_gl000219__76032__78952",2
"chr16",88210,93975,1,"16__88210__93975",1
"chr17_ctg5_hap1",96121,98585,1,"17_ctg5_hap1__96121__98585",1
"chr18",116842,117304,1,"18__116842__117304",1
"chrUn_gl000220",117895,118336,2,"Un_gl000220__117895__118336",2
"chrUn_gl000220",117897,118410,5,"Un_gl000220__117897__118410",5
"chrUn_gl000220",121095,123082,3,"Un_gl000220__121095__123082",3
"chr16",138697,139900,2,"16__138697__139900",2
"chr16",138697,143323,3,"16__138697__143323",3
"chr16",148143,150507,24,"16__148143__150507",24
"chrY",150834,157459,2,"Y__150834__157459",2
"chrY",150834,158321,2,"Y__150834__158321",2
"chrY",150834,159885,2,"Y__150834__159885",2
"chrUn_gl000223",157907,160555,3,"Un_gl000223__157907__160555",3
"chrY",150834,166059,48,"Y__150834__166059",48
"chr17_ctg5_hap1",167529,168155,32,"17_ctg5_hap1__167529__168155",32
"chr17",131559,171206,2,"17__131559__171206",2
"chr9",162432,172172,4,"9__162432__172172",4
"chr18",163308,180339,13,"18__163308__180339",13
"chr16",162621,180590,1,"16__162621__180590",1
"chr18",163308,192900,1,"18__163308__192900",1
"chr4",183415,195619,3,"4__183415__195619",3
"chr18",196705,198132,2,"18__196705__198132",2
"chr18",196637,199316,19,"18__196637__199316",19
"chr18",196637,204692,6,"18__196637__204692",6
"chrX",200834,205536,3,"X__200834__205536",3
"chr4",194870,205674,1,"4__194870__205674",1
"chr4",205448,206570,1,"4__205448__206570",1
"chrX",200834,207443,1,"X__200834__207443",1
"chrX",200834,208431,4,"X__200834__208431",4
"chrX",200834,209885,11,"X__200834__209885",11
"chrX",200834,215806,1,"X__200834__215806",1
"chrX",200834,216059,27,"X__200834__216059",27
"chrX",224027,224547,4,"X__224027__224547",4
"chr10",225934,226068,5,"10__225934__226068",5
"chr5",223597,226162,3,"5__223597__226162",3
"chr11",224078,233215,9,"11__224078__233215",9
"chr10",225934,243945,1,"10__225934__243945",1
"chr5",251107,251583,1,"5__251107__251583",1
"chr18",246324,254355,1,"18__246324__254355",1
