"index","chr","start","end","count"
"1__865535__866469","1",865535,866469,128
"1__871152__874509","1",871152,874509,9
"1__871152__874840","1",871152,874840,44
"1__871152__877868","1",871152,877868,54
"1__877939__879188","1",877939,879188,63
"1__981344__989931","1",981344,989931,253
"1__986833__987195","1",986833,987195,19
"1__1158624__1159348","1",1158624,1159348,8
"1__1158624__1164326","1",1158624,1164326,7
"1__1192372__1192690","1",1192372,1192690,14
"1__1192372__1200210","1",1192372,1200210,27
"1__1192372__1203372","1",1192372,1203372,30
"1__1198726__1203372","1",1198726,1203372,24
"1__1229782__1233313","1",1229782,1233313,2
"1__1244466__1244983","1",1244466,1244983,1
"1__1387745__1455686","1",1387745,1455686,1
"1__1396130__1461911","1",1396130,1461911,2
"1__1417518__1454370","1",1417518,1454370,10
"1__1417925__1455686","1",1417925,1455686,1
"1__1430865__1464711","1",1430865,1464711,13
"1__1451392__1463242","1",1451392,1463242,37
"1__1572259__1635585","1",1572259,1635585,53
"1__1720492__1722035","1",1720492,1722035,5
"1__1721834__1722035","1",1721834,1722035,6
"1__1721834__1724750","1",1721834,1724750,87
"1__1735858__1737977","1",1735858,1737977,3
"1__1735858__1749314","1",1735858,1749314,7
"1__1735858__1756938","1",1735858,1756938,5
"1__1737914__1749314","1",1737914,1749314,17
"1__1737914__1756938","1",1737914,1756938,6
"1__1737914__1770677","1",1737914,1770677,214
"1__1747195__1749314","1",1747195,1749314,15
"1__1747195__1756938","1",1747195,1756938,7
"1__2100957__2105455","1",2100957,2105455,5
"1__2234724__2236024","1",2234724,2236024,17
"1__2339891__2340297","1",2339891,2340297,31
"1__2443067__2449703","1",2443067,2449703,4
"1__2447001__2449703","1",2447001,2449703,10
"1__3761471__3761915","1",3761471,3761915,525
"1__5987709__5993389","1",5987709,5993389,69
"1__6007164__6008311","1",6007164,6008311,1
"1__6007164__6012896","1",6007164,6012896,34
"1__6007164__6022009","1",6007164,6022009,3
"1__6007164__6029319","1",6007164,6029319,4
"1__6007164__6046387","1",6007164,6046387,40
"1__6012760__6046387","1",6012760,6046387,6
"1__6021854__6029319","1",6021854,6029319,78
"1__6021854__6038473","1",6021854,6038473,366
"1__6021854__6046387","1",6021854,6046387,16
"1__6027359__6029319","1",6027359,6029319,9
"1__6038330__6046387","1",6038330,6046387,2
"1__6291962__6292179","1",6291962,6292179,85
"1__6586756__6604982","1",6586756,6604982,13
"1__6589054__6593501","1",6589054,6593501,32
"1__6589054__6601987","1",6589054,6601987,295
"1__6659107__6659512","1",6659107,6659512,24
"1__8425872__8601377","1",8425872,8601377,597
"1__8525985__8568734","1",8525985,8568734,3
"1__8525985__8601377","1",8525985,8601377,6
"1__8555123__8601377","1",8555123,8601377,2
"1__8555123__8617582","1",8555123,8617582,5
"1__8555123__8684439","1",8555123,8684439,37
"1__8568686__8674745","1",8568686,8674745,6
"1__8601273__8617582","1",8601273,8617582,6
"1__8601273__8674745","1",8601273,8674745,5
"1__8616534__8617582","1",8616534,8617582,243
"1__8616534__8674745","1",8616534,8674745,96
"1__8674620__8684439","1",8674620,8684439,92
"1__8674620__8716500","1",8674620,8716500,1
"1__8922946__8925541","1",8922946,8925541,185
"1__8922946__8927309","1",8922946,8927309,3
"1__8923294__8928116","1",8923294,8928116,17
"1__8923950__8925541","1",8923950,8925541,24
"1__8925344__8934976","1",8925344,8934976,8
"1__8926338__8927309","1",8926338,8927309,24
"1__8931950__8934976","1",8931950,8934976,35
"1__9795525__9809704","1",9795525,9809704,1
"1__9931245__9938047","1",9931245,9938047,324
"1__10132086__10165802","1",10132086,10165802,22
"1__10209242__10211619","1",10209242,10211619,2
"1__10209242__10221344","1",10209242,10221344,1
"1__10412689__10435431","1",10412689,10435431,4
"1__10464218__10468197","1",10464218,10468197,2
"1__10471475__10473308","1",10471475,10473308,12
"1__11090233__11106790","1",11090233,11106790,40
"1__11130957__11137005","1",11130957,11137005,46
"1__11181303__11182183","1",11181303,11182183,6
"1__11205025__11303357","1",11205025,11303357,52
"1__11276205__11288975","1",11276205,11288975,3
"1__12009830__12023693","1",12009830,12023693,2
"1__12016974__12018000","1",12016974,12018000,156
"1__12016974__12018704","1",12016974,12018704,7
"1__12030727__12033054","1",12030727,12033054,28
"1__12042027__12042171","1",12042027,12042171,167
"1__12049222__12052747","1",12049222,12052747,106
"1__12049222__12064670","1",12049222,12064670,56
"1__12061458__12062160","1",12061458,12062160,236
"1__12061458__12069783","1",12061458,12069783,362
"1__12378129__12382803","1",12378129,12382803,147
"1__12409221__12475274","1",12409221,12475274,10
"1__12632756__12639440","1",12632756,12639440,44
"1__12638746__12640694","1",12638746,12640694,2
"1__15370485__15370655","1",15370485,15370655,7
"1__15382587__15386798","1",15382587,15386798,1239
"1__15833394__15833570","1",15833394,15833570,2183
"1__15844605__15844890","1",15844605,15844890,50
"1__15956820__15970145","1",15956820,15970145,10
"1__16044388__16047883","1",16044388,16047883,1
"1__16046229__16047883","1",16046229,16047883,1
"1__16046229__16056424","1",16046229,16056424,37
"1__16051812__16059024","1",16051812,16059024,5
"1__16263658__16264501","1",16263658,16264501,1
"1__16352603__16373158","1",16352603,16373158,1
"1__16464348__16464925","1",16464348,16464925,6
"1__16464770__16464925","1",16464770,16464925,291
"1__17742976__17749332","1",17742976,17749332,16
"1__17907048__17914140","1",17907048,17914140,96
"1__17907048__17914974","1",17907048,17914974,2
"1__17907048__17930086","1",17907048,17930086,14
"1__17907048__17934472","1",17907048,17934472,590
"1__17907048__17948436","1",17907048,17948436,1
"1__17907048__17949670","1",17907048,17949670,61
"1__17907048__17952543","1",17907048,17952543,4
"1__17907048__17953998","1",17907048,17953998,7
"1__17907048__17961511","1",17907048,17961511,1
"1__17934297__17975170","1",17934297,17975170,5
"1__17981131__17983203","1",17981131,17983203,7
"1__19410998__19415471","1",19410998,19415471,71
"1__19431542__19439361","1",19431542,19439361,12
"1__19433331__19480433","1",19433331,19480433,6
"1__19433331__19520051","1",19433331,19520051,1
"1__19488321__19526248","1",19488321,19526248,125
"1__19497256__19505714","1",19497256,19505714,29
"1__19499358__19501527","1",19499358,19501527,114
"1__19499933__19524543","1",19499933,19524543,32
"1__19510305__19511780","1",19510305,19511780,21
"1__19644094__19644335","1",19644094,19644335,185
"1__20097801__20113610","1",20097801,20113610,1
"1__20979344__20982272","1",20979344,20982272,30
"1__21083659__21106404","1",21083659,21106404,2
"1__21137231__21139732","1",21137231,21139732,15
"1__21180053__21191205","1",21180053,21191205,325
"1__21205816__21212864","1",21205816,21212864,2
"1__21220010__21231464","1",21220010,21231464,18
"1__21220010__21268823","1",21220010,21268823,33
"1__21220010__21377487","1",21220010,21377487,2
"1__21276496__21329301","1",21276496,21329301,1
"1__21276496__21437876","1",21276496,21437876,5
"1__21295967__21307720","1",21295967,21307720,320
"1__21295967__21437876","1",21295967,21437876,13
"1__21306827__21307720","1",21306827,21307720,50
"1__21306827__21329301","1",21306827,21329301,5
"1__21306827__21377487","1",21306827,21377487,3
"1__21306827__21437876","1",21306827,21437876,6
"1__21329206__21377487","1",21329206,21377487,3
"1__21329206__21415706","1",21329206,21415706,47
"1__21329206__21437876","1",21329206,21437876,2
"1__21377359__21415706","1",21377359,21415706,2
"1__21377359__21437876","1",21377359,21437876,34
"1__21415631__21437876","1",21415631,21437876,41
"1__21553652__21554534","1",21553652,21554534,247
"1__21571482__21573856","1",21571482,21573856,4
"1__21599192__21599404","1",21599192,21599404,52
"1__21599192__21616649","1",21599192,21616649,14
"1__22188250__22188608","1",22188250,22188608,4
"1__22188250__22205614","1",22188250,22205614,10
"1__22216474__22217187","1",22216474,22217187,1
"1__22404922__22413359","1",22404922,22413359,118
"1__23356962__23377013","1",23356962,23377013,8
"1__23356962__23385660","1",23356962,23385660,144
"1__23376880__23385660","1",23376880,23385660,7
"1__23381562__23384058","1",23381562,23384058,488
"1__23381562__23399896","1",23381562,23399896,666
"1__23660011__23667510","1",23660011,23667510,2
"1__24021150__24022398","1",24021150,24022398,1
"1__24130890__24147083","1",24130890,24147083,2
"1__24495907__24507344","1",24495907,24507344,32
"1__24786971__24790610","1",24786971,24790610,2
"1__25666965__25669564","1",25666965,25669564,4
"1__25666965__25678184","1",25666965,25678184,56
"1__25678117__25679465","1",25678117,25679465,648
"1__26581662__26582356","1",26581662,26582356,5
"1__26581662__26586293","1",26581662,26586293,16
"1__26584088__26584751","1",26584088,26584751,590
"1__26584088__26586293","1",26584088,26586293,5
"1__26772807__26774151","1",26772807,26774151,2
"1__26772807__26784396","1",26772807,26784396,20
"1__26774050__26786635","1",26774050,26786635,777
"1__26784282__26786635","1",26784282,26786635,8
"1__26887217__26888154","1",26887217,26888154,3
"1__27056142__27059283","1",27056142,27059283,59
"1__27087347__27089776","1",27087347,27089776,10
"1__27432376__27434356","1",27432376,27434356,20
"1__27621005__27624602","1",27621005,27624602,13
"1__28056743__28086138","1",28056743,28086138,6
"1__28116073__28120143","1",28116073,28120143,4
"1__28233439__28233793","1",28233439,28233793,221
"1__28362055__28374937","1",28362055,28374937,48
"1__28362055__28384605","1",28362055,28384605,1
"1__28598185__28600669","1",28598185,28600669,2
"1__28599869__28601526","1",28599869,28601526,9
"1__28800066__28800663","1",28800066,28800663,230
"1__28800066__28807116","1",28800066,28807116,43
"1__28944465__28948677","1",28944465,28948677,1
"1__29315868__29323831","1",29315868,29323831,161
"1__29362338__29365938","1",29362338,29365938,8
"1__29533274__29542648","1",29533274,29542648,4
"1__29533274__29543197","1",29533274,29543197,472
"1__29581787__29618538","1",29581787,29618538,39
"1__29586382__29586556","1",29586382,29586556,104
"1__29637968__29639218","1",29637968,29639218,1
"1__31414845__31423108","1",31414845,31423108,13
