"index","chr","start","end","count"
"16__162621__162774","16",162621,162774,1
"17__169211__177370","17",169211,177370,29
"16__339440__364683","16",339440,364683,1
"16__354304__364683","16",354304,364683,4
"20__398170__398574","20",398170,398574,1
"11__407817__410027","11",407817,410027,1
"6__553854__564929","6",553854,564929,8
"19__579500__582582","19",579500,582582,2
"16__583946__586142","16",583946,586142,2
"5__619105__620376","5",619105,620376,9
"5__619105__624694","5",619105,624694,7
"5__633884__635699","5",633884,635699,3
"5__633884__644540","5",633884,644540,1
"18__670692__671451","18",670692,671451,2
"16__721860__722002","16",721860,722002,4
"1__871152__877868","1",871152,877868,1
"7__912107__912199","7",912107,912199,4
"1__981344__989931","1",981344,989931,10
"7__1024802__1024959","7",1024802,1024959,1
"19__1032391__1036561","19",1032391,1036561,9
"19__1089471__1089961","19",1089471,1089961,7
"4__1079684__1090627","4",1079684,1090627,1
"12__1136914__1137738","12",1136914,1137738,2
"10__1118056__1142186","10",1118056,1142186,1
"10__1130343__1151207","10",1130343,1151207,1
"10__1149542__1151207","10",1149542,1151207,1
"1__1192372__1203372","1",1192372,1203372,1
"19__1271328__1271466","19",1271328,1271466,3
"5__1321879__1339120","5",1321879,1339120,1
"5__1322992__1339120","5",1322992,1339120,1
"20__1352720__1356247","20",1352720,1356247,1
"17__1380799__1382999","17",1380799,1382999,1
"19__1399127__1399194","19",1399127,1399194,7
"1__1451392__1463242","1",1451392,1463242,2
"17__1479891__1481617","17",1479891,1481617,2
"7__1518362__1519320","7",1518362,1519320,1
"7__1527396__1532742","7",1527396,1532742,9
"17__1540003__1540356","17",1540003,1540356,1
"17__1561820__1584348","17",1561820,1584348,2
"17__1584020__1584984","17",1584020,1584984,1
"17__1648469__1656084","17",1648469,1656084,17
"4__1696501__1698078","4",1696501,1698078,4
"4__1696501__1705427","4",1696501,1705427,1
"1__1721834__1724750","1",1721834,1724750,2
"4__1732614__1732689","4",1732614,1732689,6
"4__1732614__1737561","4",1732614,1737561,6
"4__1737000__1737561","4",1737000,1737561,1
"1__1737914__1770677","1",1737914,1770677,4
"17__1746097__1782355","17",1746097,1782355,1
"11__1780199__1782698","11",1780199,1782698,15
