"index","count"
"1__145355187__145359187",5
"1__1586823__1650894",2
"1__29481208__29481422",2
"11__130130751__130131824",2
"11__33307959__33309057",2
"11__85718585__85742653",2
"12__120592774__120593523",4
"12__19615444__19626289",2
"14__21698478__21702388",4
"16__21973781__21987564",2
"16__3900298__3901010",2
"2__106739426__106782539",4
"2__61749746__61761038",2
"20__30954187__30956926",4
"3__47466975__47470160",2
"4__1219148__1235307",2
"4__7870349__7873807",3
"5__619105__620376",2
"5__68470704__68471364",2
"5__78734833__78752841",2
"6__4891947__4892613",2
"7__140055468__140058585",2
"7__158580695__158591763",2
"7__99621042__99621930",4
"8__142264088__142264728",3
"X__130883334__130928494",5
