"index","count"
"1__117944808__117957453",2
"1__145355187__145359187",9
"1__41536267__41541123",11
"1__44773982__44804994",2
"1__66378928__66384518",15
"1__67356837__67371058",5
"10__110155539__110212961",3
"10__126370176__126370948",3
"10__31661947__31750166",2
"11__33307959__33309057",8
"12__116668338__116675510",5
"12__6657591__6657991",7
"14__35055436__35078948",2
"14__50053456__50329374",15
"14__50053456__50329393",13
"14__50053483__50320482",8
"16__11988811__11991892",5
"16__47531310__47549512",9
"17__20107646__20109225",2
"17__30267305__30300250",4
"17__43552466__43553092",4
"17__62817885__62818511",6
"19__18650181__18650530",5
"2__106761646__106782539",4
"2__106774514__106782539",2
"2__111302646__113157771",2
"2__191523884__191537878",6
"2__197777606__197787849",4
"2__200804812__200813195",2
"2__36623757__36669878",6
"2__61749746__61761038",3
"2__72945232__72960247",7
"20__21319682__21324846",2
"20__30954187__30956926",10
"3__110830877__110845182",2
"3__11399892__11468400",8
"3__119219542__119222868",3
"3__125032152__125050082",7
"3__128514203__128526514",15
"3__138289160__138290198",5
"3__157839892__157841780",7
"3__196118684__196129890",9
"3__37291189__37315092",5
"3__67546222__67548719",5
"4__17816476__17816981",6
"4__7870349__7873807",13
"5__167915607__167921655",6
"5__5182157__5209359",2
"5__68470704__68471364",2
"5__72370569__72373320",6
"5__95091100__95099324",2
"6__16586011__16658132",6
"6__42941741__42942776",2
"6__4891947__4892613",6
"6__7176888__7189555",6
"7__100410369__100410830",10
"7__128655033__128658211",7
"7__22999875__23030758",2
"7__23015829__23030758",2
"7__99621042__99621930",18
"7__99952766__99953427",5
"8__131164982__131193126",2
"8__131370263__131374017",10
"8__141749117__141762415",2
"8__18656805__18662408",7
"8__62593527__62596747",10
"9__113703701__113735838",2
"9__113734353__113735838",9
"9__16727795__16738483",5
"9__20819795__20823114",4
"9__33971649__33973235",8
"M__13419__13499",5
