"index","chr","start","end","count"
"19__3977213__3977345","19",3977213,3977345,14
"2__15735269__15735677","2",15735269,15735677,17
"1__201112948__201115976","1",201112948,201115976,1
"1__154996948__154999191","1",154996948,154999191,2
"2__123072653__242606253","2",123072653,242606253,1
"14__56343170__102496275","14",56343170,102496275,2
"17__80851423__80869665","17",80851423,80869665,1
"2__26506991__133920185","2",26506991,133920185,1
"8__142170731__142178624","8",142170731,142178624,1
"13__33091994__33101669","13",33091994,33101669,1
"6__43445825__43471444","6",43445825,43471444,7
"16__47531310__47537001","16",47531310,47537001,2
"17__40054884__40063825","17",40054884,40063825,1
"12__49072819__49073616","12",49072819,49073616,1
"X__23739998__23754133","X",23739998,23754133,1
"2__73716761__73718625","2",73716761,73718625,5
"1__46290105__46295253","1",46290105,46295253,2
"19__57334121__57335882","19",57334121,57335882,2
"5__149918790__149919826","5",149918790,149919826,1
"14__76642966__76662315","14",76642966,76662315,21
"1__155927504__155928187","1",155927504,155928187,6
"10__13167946__96223076","10",13167946,96223076,3
"19__17382406__17384994","19",17382406,17384994,5
"2__61749746__61761038","2",61749746,61761038,27
"11__61570273__61570398","11",61570273,61570398,2
"7__50737419__50771605","7",50737419,50771605,3
"9__140685300__140693366","9",140685300,140693366,2
"9__32808515__108336613","9",32808515,108336613,1
"X__69561649__69573657","X",69561649,69573657,95
"7__73654268__73663448","7",73654268,73663448,33
"21__45153950__45163688","21",45153950,45163688,1
"5__75008432__108479898","5",75008432,108479898,1
"16__71703178__71706225","16",71703178,71706225,35
"1__12632756__12639440","1",12632756,12639440,1
"3__129465206__141105779","3",129465206,141105779,1
"1__36291527__36307351","1",36291527,36307351,10
"22__38270377__38274178","22",38270377,38274178,6
"8__109247233__143874991","8",109247233,143874991,2
"5__176694563__176710929","5",176694563,176710929,1
"19__18543783__18544023","19",18543783,18544023,25
"21__45379515__45391371","21",45379515,45391371,7
"3__197592294__197593090","3",197592294,197593090,13
"2__139896487__191524721","2",139896487,191524721,5
"12__109048082__109048186","12",109048082,109048186,1
"8__53580581__53599527","8",53580581,53599527,1
"16__68217143__68225678","16",68217143,68225678,28
"2__106739426__106746234","2",106739426,106746234,14
"1__6021854__6029319","1",6021854,6029319,10
"10__1123847__1142186","10",1123847,1142186,1
"4__106613133__106616825","4",106613133,106616825,1
"8__48308936__48320523","8",48308936,48320523,2
"9__127300371__127306136","9",127300371,127306136,13
"17__48733193__48736729","17",48733193,48736729,7
"1__871152__874509","1",871152,874509,1
"16__23117534__23117808","16",23117534,23117808,2
"1__224011684__245022667","1",224011684,245022667,1
"7__24663285__24720139","7",24663285,24720139,6
"10__32304437__32311185","10",32304437,32311185,1
"10__114724315__114799885","10",114724315,114799885,1
"17__73951647__73952028","17",73951647,73952028,1
"17__79573717__79575848","17",79573717,79575848,2
"14__23395342__23396023","14",23395342,23396023,2
"1__162469745__162470894","1",162469745,162470894,32
"15__35219236__35226836","15",35219236,35226836,1
"1__15723855__156713670","1",15723855,156713670,1
"16__67913753__67913874","16",67913753,67913874,1
"15__43023409__43028276","15",43023409,43028276,3
"4__39739040__39776553","4",39739040,39776553,121
"1__184671945__184718726","1",184671945,184718726,1
"2__26587170__26598016","2",26587170,26598016,4
"1__16046229__16056424","1",16046229,16056424,9
"12__96076483__96077487","12",96076483,96077487,64
"1__6975306__162762652","1",6975306,162762652,2
"9__134457992__134505711","9",134457992,134505711,15
"9__131085295__131088160","9",131085295,131088160,7
"16__702467__708344","16",702467,708344,3
"11__102056749__102076805","11",102056749,102076805,1
"20__31607386__31608393","20",31607386,31608393,1
"7__6736970__6744854","7",6736970,6744854,3
"4__64216493__129019485","4",64216493,129019485,42
"1__171492360__171494104","1",171492360,171494104,5
"1__155531944__155650247","1",155531944,155650247,1
"12__121220458__121222396","12",121220458,121222396,1
"17__74716442__74716580","17",74716442,74716580,1
"1__151234637__151238915","1",151234637,151238915,2
"12__1221381__2417029","12",1221381,2417029,1
