"index","chr","start","end","count"
"16__160523__169254","16",160523,169254,1
"10__225934__226068","10",225934,226068,1
"11__224078__233215","11",224078,233215,1
"10__225934__255988","10",225934,255988,1
"16__249061__258187","16",249061,258187,2
"10__225934__267296","10",225934,267296,1
"10__225934__282855","10",225934,282855,1
"19__311845__313643","19",311845,313643,1
"16__396148__397106","16",396148,397106,4
"12__464324__464415","12",464324,464415,1
"12__514677__527802","12",514677,527802,1
"12__520913__527802","12",520913,527802,1
"10__518379__532470","10",518379,532470,3
"16__532525__539000","16",532525,539000,2
"12__514677__547720","12",514677,547720,1
"16__553004__560800","16",553004,560800,2
"11__596923__598502","11",596923,598502,1
"19__610259__614016","19",610259,614016,1
"18__670692__671451","18",670692,671451,1
"18__683246__706578","18",683246,706578,1
"17__725597__727005","17",725597,727005,1
"17__722679__729318","17",722679,729318,1
"19__756890__760039","19",756890,760039,2
"11__774008__775142","11",774008,775142,1
"1__861302__871276","1",861302,871276,1
"1__871152__874792","1",871152,874792,3
"1__886507__886618","1",886507,886618,1
"10__882343__890995","10",882343,890995,1
"1__888555__891595","1",888555,891595,1
"10__871005__931700","10",871005,931700,1
"10__882343__931700","10",882343,931700,1
"10__909683__931700","10",909683,931700,2
"10__930387__931700","10",930387,931700,1
"12__936208__939326","12",936208,939326,1
"11__986785__988689","11",986785,988689,1
"11__992503__994245","11",992503,994245,1
"17__986760__1003975","17",986760,1003975,1
"16__1004357__1004666","16",1004357,1004666,1
"19__1032391__1032695","19",1032391,1032695,1
"10__1044943__1051847","10",1044943,1051847,1
"10__1041869__1053068","10",1041869,1053068,1
"19__1122467__1122790","19",1122467,1122790,1
"10__1118056__1126416","10",1118056,1126416,1
"10__1118056__1132297","10",1118056,1132297,2
"12__1136914__1137738","12",1136914,1137738,6
"10__1118056__1142186","10",1118056,1142186,1
"10__1130343__1142186","10",1130343,1142186,4
"10__1130343__1151207","10",1130343,1151207,3
"10__1149542__1151207","10",1149542,1151207,2
"19__1147308__1154401","19",1147308,1154401,3
"10__1149542__1170964","10",1149542,1170964,1
"1__1192372__1192690","1",1192372,1192690,1
"1__1192372__1203372","1",1192372,1203372,1
"12__1136914__1225199","12",1136914,1225199,1
"1__1248889__1250342","1",1248889,1250342,1
"12__1136914__1250953","12",1136914,1250953,1
"12__1192330__1250953","12",1192330,1250953,1
"12__1213916__1250953","12",1213916,1250953,1
"19__1366304__1373159","19",1366304,1373159,1
"19__1418203__1421257","19",1418203,1421257,1
"17__1437393__1451681","17",1437393,1451681,2
