"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11828,12288,1,"Un_gl000222__11828__12288",1
"chrUn_gl000214",51172,52945,1,"Un_gl000214__51172__52945",1
"chrUn_gl000220",117897,118126,1,"Un_gl000220__117897__118126",1
"chrUn_gl000220",118054,118355,1,"Un_gl000220__118054__118355",1
"chrUn_gl000220",117908,118382,1,"Un_gl000220__117908__118382",1
"chrUn_gl000220",121605,123082,14,"Un_gl000220__121605__123082",14
"chrUn_gl000220",114769,159497,1,"Un_gl000220__114769__159497",1
"chr17_ctg5_hap1",167529,168155,2,"17_ctg5_hap1__167529__168155",2
"chr18",163308,180339,1,"18__163308__180339",1
"chr18",196637,199316,2,"18__196637__199316",2
"chr18",196637,202945,1,"18__196637__202945",1
"chr18",196637,203190,1,"18__196637__203190",1
"chr18",196637,204692,2,"18__196637__204692",2
"chr18",199193,204692,1,"18__199193__204692",1
"chrX",200834,216059,1,"X__200834__216059",1
"chr5",233592,240591,1,"5__233592__240591",1
"chr5",247614,248450,1,"5__247614__248450",1
"chr11",244161,250865,1,"11__244161__250865",1
"chr5",251107,251583,1,"5__251107__251583",1
"chr16",249061,258187,1,"16__249061__258187",1
"chr10",225934,267296,2,"10__225934__267296",2
"chrY",249390,272254,1,"Y__249390__272254",1
"chr19",311845,313643,1,"19__311845__313643",1
"chr5",306717,314711,1,"5__306717__314711",1
"chr5",311408,314711,1,"5__311408__314711",1
"chr10",291841,319439,1,"10__291841__319439",1
"chrX",322140,323067,4,"X__322140__323067",4
"chr19",311845,336173,1,"19__311845__336173",1
"chr19",325635,336173,2,"19__325635__336173",2
"chr19",334400,336173,3,"19__334400__336173",3
"chr5",344008,354026,1,"5__344008__354026",1
"chr16",354304,364683,5,"16__354304__364683",5
"chr16",359973,369976,1,"16__359973__369976",1
"chr5",353845,376831,1,"5__353845__376831",1
"chr10",355971,395394,1,"10__355971__395394",1
"chr16",354304,397106,2,"16__354304__397106",2
"chr16",396148,397106,6,"16__396148__397106",6
"chr11",403618,404323,1,"11__403618__404323",1
"chr5",376725,422973,2,"5__376725__422973",2
"chr16",425133,426812,1,"16__425133__426812",1
"chr5",413459,428121,1,"5__413459__428121",1
"chr5",430322,430974,1,"5__430322__430974",1
"chr12",459787,461490,1,"12__459787__461490",1
"chr12",459787,465703,2,"12__459787__465703",2
"chr10",454866,468973,1,"10__454866__468973",1
"chr10",465005,468973,1,"10__465005__468973",1
"chr12",459787,475270,2,"12__459787__475270",2
"chr11",488962,489239,1,"11__488962__489239",1
"chr12",518534,521144,1,"12__518534__521144",1
"chr16",521295,539000,1,"16__521295__539000",1
"chr9",517483,540667,1,"9__517483__540667",1
"chr12",518534,547720,1,"12__518534__547720",1
"chr16",546824,560800,1,"16__546824__560800",1
"chr17",534790,565135,1,"17__534790__565135",1
"chr6",555227,576882,1,"6__555227__576882",1
"chr11",581492,592674,1,"11__581492__592674",1
"chr11",591384,605724,1,"11__591384__605724",1
"chr9",593609,611565,1,"9__593609__611565",1
"chr9",610115,611565,1,"9__610115__611565",1
"chr5",619105,620376,46,"5__619105__620376",46
"chr5",619105,624694,10,"5__619105__624694",10
"chr7",618893,635941,2,"7__618893__635941",2
"chr6",629835,637861,3,"6__629835__637861",3
"chr5",619105,640621,1,"5__619105__640621",1
"chr8",640898,642612,2,"8__640898__642612",2
"chr8",640970,642612,1,"8__640970__642612",1
"chr5",633884,644540,5,"5__633884__644540",5
"chr5",635487,644540,1,"5__635487__644540",1
"chr5",619105,648031,3,"5__619105__648031",3
"chr5",624586,648031,1,"5__624586__648031",1
"chr19",651611,652884,1,"19__651611__652884",1
"chr5",619105,655699,1,"5__619105__655699",1
"chr5",647920,655699,12,"5__647920__655699",12
"chr16",667208,668260,1,"16__667208__668260",1
"chr9",523893,677009,2,"9__523893__677009",2
"chr11",679688,681089,1,"11__679688__681089",1
"chr11",674536,688460,2,"11__674536__688460",2
"chr18",691068,691276,1,"18__691068__691276",1
"chr18",692770,693178,1,"18__692770__693178",1
"chr6",693527,693663,1,"6__693527__693663",1
"chr18",693882,697355,1,"18__693882__697355",1
"chr16",700539,701103,1,"16__700539__701103",1
"chr17_ctg5_hap1",693694,705913,1,"17_ctg5_hap1__693694__705913",1
"chr7",716866,720363,3,"7__716866__720363",3
"chr16",722084,722384,1,"16__722084__722384",1
"chr17_ctg5_hap1",693694,724155,1,"17_ctg5_hap1__693694__724155",1
"chr17_ctg5_hap1",723025,724155,1,"17_ctg5_hap1__723025__724155",1
"chr17",722679,729318,1,"17__722679__729318",1
"chr17",722679,732340,1,"17__722679__732340",1
"chr19",726138,734194,1,"19__726138__734194",1
"chr16",735257,737739,1,"16__735257__737739",1
"chr1",741179,745550,3,"1__741179__745550",3
"chr7",635783,751164,1,"7__635783__751164",1
"chr7",716866,751164,22,"7__716866__751164",22
"chr18",756557,756835,1,"18__756557__756835",1
"chr19",756890,760039,1,"19__756890__760039",1
"chr11",755879,760253,2,"11__755879__760253",2
"chr16",792250,792543,5,"16__792250__792543",5
"chr19",800269,800400,1,"19__800269__800400",1
"chr7",794226,803611,1,"7__794226__803611",1
"chr7",794226,804324,1,"7__794226__804324",1
"chr17",850024,851114,1,"17__850024__851114",1
"chr5",871321,871474,1,"5__871321__871474",1
"chr1",871152,874792,1,"1__871152__874792",1
"chr7",872142,883157,2,"7__872142__883157",2
"chr7",878435,883157,1,"7__878435__883157",1
"chr4",887165,891946,1,"4__887165__891946",1
"chr1",891303,892653,1,"1__891303__892653",1
"chr7",891021,893255,1,"7__891021__893255",1
"chr7",894557,897594,1,"7__894557__897594",1
"chr4",891821,898567,1,"4__891821__898567",1
"chr1",897009,899910,1,"1__897009__899910",1
"chr5",893682,900664,1,"5__893682__900664",1
"chr5",896780,901546,2,"5__896780__901546",2
"chr7",895995,905704,1,"7__895995__905704",1
"chr4",898425,907456,1,"4__898425__907456",1
"chr5",894902,908189,1,"5__894902__908189",1
"chr10",882343,909823,1,"10__882343__909823",1
"chr10",909683,910210,2,"10__909683__910210",2
"chr5",894902,912111,1,"5__894902__912111",1
"chr5",900609,912111,1,"5__900609__912111",1
"chr10",909683,916023,1,"10__909683__916023",1
"chr5",907245,916088,1,"5__907245__916088",1
"chr10",888872,931700,2,"10__888872__931700",2
"chr10",909683,931700,5,"10__909683__931700",5
"chr10",930387,931700,2,"10__930387__931700",2
"chr10",930387,936769,1,"10__930387__936769",1
"chr12",922808,939326,4,"12__922808__939326",4
"chr12",936208,939326,2,"12__936208__939326",2
"chr1",943574,944750,1,"1__943574__944750",1
"chr16",929570,961079,2,"16__929570__961079",2
"chr16",929570,963353,1,"16__929570__963353",1
"chr12",968580,971319,1,"12__968580__971319",1
"chr17",973209,1003975,1,"17__973209__1003975",1
"chr16",983991,1004666,1,"16__983991__1004666",1
"chr16",984190,1004666,1,"16__984190__1004666",1
"chr16",1004357,1004666,4,"16__1004357__1004666",4
"chr12",1003728,1017200,1,"12__1003728__1017200",1
"chr17",1028518,1028702,1,"17__1028518__1028702",1
"chr5",1032267,1038837,1,"5__1032267__1038837",1
"chr5",1056720,1059864,2,"5__1056720__1059864",2
"chr5",1063959,1065593,3,"5__1063959__1065593",3
"chr5",1065398,1073916,1,"5__1065398__1073916",1
"chr5",1073748,1079611,1,"5__1073748__1079611",1
"chr4",1067387,1084626,1,"4__1067387__1084626",1
"chr5",1092121,1092652,1,"5__1092121__1092652",1
"chr5",1063959,1094363,1,"5__1063959__1094363",1
"chr5",1073748,1094363,1,"5__1073748__1094363",1
"chr5",1088421,1094363,3,"5__1088421__1094363",3
"chr5",1093648,1094363,2,"5__1093648__1094363",2
"chr10",1118056,1126416,5,"10__1118056__1126416",5
"chr10",1125951,1126416,1,"10__1125951__1126416",1
"chr12",1136914,1137738,10,"12__1136914__1137738",10
"chr10",1123847,1142186,1,"10__1123847__1142186",1
"chr10",1130343,1142186,9,"10__1130343__1142186",9
"chr10",1118056,1151207,2,"10__1118056__1151207",2
"chr10",1130343,1151207,1,"10__1130343__1151207",1
"chr10",1149539,1151207,2,"10__1149539__1151207",2
"chr10",1149542,1151207,2,"10__1149542__1151207",2
"chr19",1147308,1154401,2,"19__1147308__1154401",2
"chr17",1161854,1162853,5,"17__1161854__1162853",5
"chr1",1192372,1192690,1,"1__1192372__1192690",1
"chr1",1192372,1203372,2,"1__1192372__1203372",2
"chr1",1191425,1208385,1,"1__1191425__1208385",1
"chr12",1192330,1225199,1,"12__1192330__1225199",1
"chr12",1213916,1225199,2,"12__1213916__1225199",2
"chr4",1219148,1235307,2,"4__1219148__1235307",2
"chr4",1221987,1235307,1,"4__1221987__1235307",1
"chr4",1231971,1235307,1,"4__1231971__1235307",1
"chr19",1233425,1235564,1,"19__1233425__1235564",1
"chr12",1192330,1250953,1,"12__1192330__1250953",1
"chr12",1213916,1250953,3,"12__1213916__1250953",3
"chr1",1250204,1256473,1,"1__1250204__1256473",1
"chr17",1257505,1265302,1,"17__1257505__1265302",1
"chr17",1264386,1265302,1,"17__1264386__1265302",1
"chr19",1271328,1272050,1,"19__1271328__1272050",1
"chr19",1271328,1274439,1,"19__1271328__1274439",1
"chr1",1273357,1277185,2,"1__1273357__1277185",2
"chr6_qbl_hap6",1295633,1296708,1,"6_qbl_hap6__1295633__1296708",1
"chr12",1299025,1301065,1,"12__1299025__1301065",1
"chr6",1306160,1309863,1,"6__1306160__1309863",1
"chr6",1308818,1309888,1,"6__1308818__1309888",1
"chr11",1307232,1317024,1,"11__1307232__1317024",1
"chr5",1318040,1318413,1,"5__1318040__1318413",1
"chr5",1320731,1324928,1,"5__1320731__1324928",1
"chr1",1322615,1326245,7,"1__1322615__1326245",7
"chr1",1322615,1334051,1,"1__1322615__1334051",1
"chr5",1342000,1344465,1,"5__1342000__1344465",1
"chrY",1354671,1359402,1,"Y__1354671__1359402",1
"chrY",1357412,1359402,1,"Y__1357412__1359402",1
"chr4",1341878,1360219,1,"4__1341878__1360219",1
"chr19",1357008,1361031,1,"19__1357008__1361031",1
"chr19",1360135,1362350,1,"19__1360135__1362350",1
"chr16",1364021,1370518,2,"16__1364021__1370518",2
"chr16",1364021,1374831,1,"16__1364021__1374831",1
"chr17",1380799,1382029,1,"17__1380799__1382029",1
"chr12",1399018,1399178,2,"12__1399018__1399178",2
"chrX",1401571,1409402,2,"X__1401571__1409402",2
"chrX",1404671,1409402,2,"X__1404671__1409402",2
"chrX",1407412,1409402,1,"X__1407412__1409402",1
"chr16",1414214,1416396,1,"16__1414214__1416396",1
"chr16",1414214,1421564,1,"16__1414214__1421564",1
"chr16",1416019,1421612,1,"16__1416019__1421612",1
"chr19",1417499,1432689,2,"19__1417499__1432689",2
"chrY",1458384,1458509,3,"Y__1458384__1458509",3
"chr17",1437393,1461853,6,"17__1437393__1461853",6
"chr17",1451590,1461853,1,"17__1451590__1461853",1
"chr5",1470941,1477601,2,"5__1470941__1477601",2
"chr7",1477925,1479721,1,"7__1477925__1479721",1
"chr5",1474072,1479790,1,"5__1474072__1479790",1
"chr12",1399018,1481143,1,"12__1399018__1481143",1
"chr5",1477519,1489973,1,"5__1477519__1489973",1
"chr5",1477519,1495029,1,"5__1477519__1495029",1
"chr5",1488506,1495029,2,"5__1488506__1495029",2
"chr1",1499985,1500296,1,"1__1499985__1500296",1
"chr5",1481057,1501718,1,"5__1481057__1501718",1
"chr5",1488506,1501718,1,"5__1488506__1501718",1
"chr5",1494815,1501718,2,"5__1494815__1501718",2
"chrX",1508384,1508509,2,"X__1508384__1508509",2
"chr16",1501624,1509188,1,"16__1501624__1509188",1
"chr19",1510149,1510916,2,"19__1510149__1510916",2
"chr16",1511406,1515339,2,"16__1511406__1515339",2
"chr12",1399018,1517413,1,"12__1399018__1517413",1
"chr17",1540003,1540356,1,"17__1540003__1540356",1
"chr12",1480999,1553916,1,"12__1480999__1553916",1
"chr16",1607936,1612117,1,"16__1607936__1612117",1
"chr2",1614191,1623589,1,"2__1614191__1623589",1
"chr2",1614191,1629197,1,"2__1614191__1629197",1
"chr2",1647140,1653447,1,"2__1647140__1653447",1
"chr16",1652371,1657298,1,"16__1652371__1657298",1
"chr4",1656705,1670632,3,"4__1656705__1670632",3
"chr16",1675974,1687908,1,"16__1675974__1687908",1
"chr16",1675974,1691188,4,"16__1675974__1691188",4
"chr16",1682213,1691188,1,"16__1682213__1691188",1
"chr1",1693016,1693474,1,"1__1693016__1693474",1
"chr1",1693391,1696885,1,"1__1693391__1696885",1
"chr2",1680699,1696906,1,"2__1680699__1696906",1
"chr2",1683965,1696906,1,"2__1683965__1696906",1
"chr4",1696501,1701797,1,"4__1696501__1701797",1
"chr17",1703151,1704318,1,"17__1703151__1704318",1
"chr4",1737000,1741729,1,"4__1737000__1741729",1
"chr6",1726650,1742820,1,"6__1726650__1742820",1
"chr17",1746097,1747980,14,"17__1746097__1747980",14
"chr16",1733510,1748844,1,"16__1733510__1748844",1
"chr1",1735858,1749314,1,"1__1735858__1749314",1
"chr17",1746097,1756483,13,"17__1746097__1756483",13
"chr1",1735858,1756938,1,"1__1735858__1756938",1
"chr1",1747195,1756938,3,"1__1747195__1756938",3
"chr1",1735858,1770677,4,"1__1735858__1770677",4
"chr1",1737914,1770677,1,"1__1737914__1770677",1
"chr1",1747195,1770677,4,"1__1747195__1770677",4
"chr17",1746097,1775820,1,"17__1746097__1775820",1
"chr17",1746097,1779087,1,"17__1746097__1779087",1
"chr16",1774558,1779579,1,"16__1774558__1779579",1
"chr11",1775033,1782698,1,"11__1775033__1782698",1
"chr1",1693391,1811341,1,"1__1693391__1811341",1
"chr8",1806126,1814768,1,"8__1806126__1814768",1
"chr5",1814453,1816168,2,"5__1814453__1816168",2
"chr8",1791519,1817416,1,"8__1791519__1817416",1
"chr8",1824737,1830915,1,"8__1824737__1830915",1
"chr8",1824737,1833873,6,"8__1824737__1833873",6
"chr8",1824737,1857636,2,"8__1824737__1857636",2
"chr12",1863424,1863680,1,"12__1863424__1863680",1
"chr16",1866894,1873038,2,"16__1866894__1873038",2
"chr12",1887020,1893239,1,"12__1887020__1893239",1
"chr4",1902353,1902978,1,"4__1902353__1902978",1
"chr4",1902353,1906105,3,"4__1902353__1906105",3
"chr4",1905943,1920350,1,"4__1905943__1920350",1
"chr4",1902353,1932497,4,"4__1902353__1932497",4
"chr4",1902353,1936989,1,"4__1902353__1936989",1
"chr4",1902353,1941505,2,"4__1902353__1941505",2
"chr5",1814453,1949375,1,"5__1814453__1949375",1
"chr6_ssto_hap7",1951051,1951523,2,"6_ssto_hap7__1951051__1951523",2
"chr6",1960101,1961200,1,"6__1960101__1961200",1
"chr7",1976323,1997354,1,"7__1976323__1997354",1
"chr9",2028987,2039900,1,"9__2028987__2039900",1
"chr7",1937836,2041756,1,"7__1937836__2041756",1
"chr7",1976323,2041756,1,"7__1976323__2041756",1
"chr16",2053171,2053616,1,"16__2053171__2053616",1
"chr19",2076810,2078678,1,"19__2076810__2078678",1
"chr20",2097312,2098061,3,"20__2097312__2098061",3
"chr1",2103494,2105455,1,"1__2103494__2105455",1
"chr1",2111753,2113353,1,"1__2111753__2113353",1
"chr6",2116005,2124965,1,"6__2116005__2124965",1
"chr19",2127151,2138713,1,"19__2127151__2138713",1
"chr19",2137726,2138713,2,"19__2137726__2138713",2
"chrY",2134781,2159644,2,"Y__2134781__2159644",2
"chrX",2158595,2161271,1,"X__2158595__2161271",1
"chr17",2185941,2187029,1,"17__2185941__2187029",1
"chr7",2041700,2188873,1,"7__2041700__2188873",1
"chr9",2181571,2192802,1,"9__2181571__2192802",1
"chr19",2180712,2194576,1,"19__2180712__2194576",1
"chr19",2189731,2194576,8,"19__2189731__2194576",8
"chr17",2139786,2196271,1,"17__2139786__2196271",1
"chr17",2185941,2196271,1,"17__2185941__2196271",1
"chrX",2161064,2209644,1,"X__2161064__2209644",1
"chrX",2184781,2209644,2,"X__2184781__2209644",2
"chrY",2213112,2213956,1,"Y__2213112__2213956",1
"chr4",2132960,2214853,1,"4__2132960__2214853",1
"chr16",2222192,2222600,1,"16__2222192__2222600",1
"chr17",2218851,2224910,1,"17__2218851__2224910",1
"chr16",2225501,2225954,1,"16__2225501__2225954",1
"chr1",2234417,2236024,5,"1__2234417__2236024",5
"chr1",2234417,2238395,1,"1__2234417__2238395",1
"chr7",2108829,2259091,1,"7__2108829__2259091",1
"chr7",2188787,2259091,1,"7__2188787__2259091",1
"chr7",2252847,2259091,5,"7__2252847__2259091",5
"chr7",2252847,2262389,2,"7__2252847__2262389",2
"chr7",2269619,2270362,6,"7__2269619__2270362",6
"chr7",2284198,2290569,1,"7__2284198__2290569",1
"chr17",2269865,2291343,1,"17__2269865__2291343",1
"chrY",2260395,2293345,1,"Y__2260395__2293345",1
"chrY",2276786,2293345,1,"Y__2276786__2293345",1
"chr16",2296096,2296987,1,"16__2296096__2296987",1
"chr17",2297337,2298748,9,"17__2297337__2298748",9
"chr7",2302865,2309274,1,"7__2302865__2309274",1
"chr16",2312279,2314761,2,"16__2312279__2314761",2
"chr7",2296509,2317940,1,"7__2296509__2317940",1
"chr7",2302865,2317940,4,"7__2302865__2317940",4
"chr7",2309194,2317940,2,"7__2309194__2317940",2
"chr7",2314747,2317940,1,"7__2314747__2317940",1
"chr1",2327223,2335028,1,"1__2327223__2335028",1
"chrX",2310395,2343345,1,"X__2310395__2343345",1
"chrX",2326786,2343345,1,"X__2326786__2343345",1
"chr17",2341403,2376958,1,"17__2341403__2376958",1
"chr17",2367502,2376958,1,"17__2367502__2376958",1
"chr6",2397455,2399012,1,"6__2397455__2399012",1
"chr7",2403267,2404164,4,"7__2403267__2404164",4
"chr7",2404007,2406226,1,"7__2404007__2406226",1
"chr7",2404007,2409317,1,"7__2404007__2409317",1
"chr19",2438161,2438529,3,"19__2438161__2438529",3
"chr19",2476527,2477249,1,"19__2476527__2477249",1
"chr7",2477439,2483381,5,"7__2477439__2483381",5
"chr16",2489354,2493801,1,"16__2489354__2493801",1
"chr6_mcf_hap5",2498110,2498433,1,"6_mcf_hap5__2498110__2498433",1
"chr4",2492064,2498848,2,"4__2492064__2498848",2
"chr4",2492064,2502465,2,"4__2492064__2502465",2
"chrX",2536781,2544683,1,"X__2536781__2544683",1
"chr11",2542709,2549248,1,"11__2542709__2549248",1
"chr18",2544194,2563858,1,"18__2544194__2563858",1
"chr17",2568666,2577582,1,"17__2568666__2577582",1
"chr17",2541393,2579900,1,"17__2541393__2579900",1
"chr11",2589126,2594216,1,"11__2589126__2594216",1
"chr7",2608588,2613122,1,"7__2608588__2613122",1
"chr16",2607704,2616454,4,"16__2607704__2616454",4
"chr4",2597811,2632896,1,"4__2597811__2632896",1
"chr16",2616357,2633586,1,"16__2616357__2633586",1
"chr4",2641462,2648559,1,"4__2641462__2648559",1
"chr4",2659530,2665015,1,"4__2659530__2665015",1
"chr9",2652944,2668061,2,"9__2652944__2668061",2
"chr16",2683740,2692490,3,"16__2683740__2692490",3
"chr18",2688392,2698039,1,"18__2688392__2698039",1
"chr18",2706589,2707448,1,"18__2706589__2707448",1
"chr19",2715770,2715923,1,"19__2715770__2715923",1
"chr4",2659530,2717831,1,"4__2659530__2717831",1
"chr18",2707511,2724993,1,"18__2707511__2724993",1
"chr18",2728455,2729407,1,"18__2728455__2729407",1
"chr18",2738395,2739518,1,"18__2738395__2739518",1
"chr18",2732263,2752550,1,"18__2732263__2752550",1
"chr18",2775732,2778237,1,"18__2775732__2778237",1
"chr9",2777873,2783518,1,"9__2777873__2783518",1
"chr6",2779497,2784637,1,"6__2779497__2784637",1
"chr18",2795947,2796519,1,"18__2795947__2796519",1
"chr7",2797403,2797600,1,"7__2797403__2797600",1
"chr16",2806335,2807946,1,"16__2806335__2807946",1
"chr16",2807473,2810500,1,"16__2807473__2810500",1
"chr16",2812278,2812466,1,"16__2812278__2812466",1
"chr7",2834562,2834777,1,"7__2834562__2834777",1
"chr6",2836090,2840828,1,"6__2836090__2840828",1
"chrX",2867345,2873578,1,"X__2867345__2873578",1
