"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:741179|745550","chr1",741179,745550,5,"1_2_2",8,0.556,"intergenic_region","n/a","-","SRR3479243.4622981,SRR3479243.4903878,SRR3479243.23213620,SRR3479243.23467355,SRR3479243.29886683,","1__741179__745550",5
"chr1:852798|852997","chr1",852798,852997,2,"1_1_0",25,0.138,"exon","ENSG00000223764,","+","SRR3479243.12027428,SRR3479243.26000817,","1__852798__852997",2
"chr1:865535|874792","chr1",865535,874792,1,"1_1_0",119,0.017,"exon","ENSG00000187634,","+","SRR3479243.28528401,","1__865535__874792",1
"chr1:871152|874792","chr1",871152,874792,3,"2_3_0",163,0.036,"exon","ENSG00000187634,","+","SRR3479243.7018125,SRR3479243.24118181,SRR3479243.6059396,","1__871152__874792",3
"chr1:871152|874840","chr1",871152,874840,2,"2_2_0",105,0.037,"exon","ENSG00000187634,","+","SRR3479243.13976713,SRR3479243.20963156,","1__871152__874840",2
"chr1:871204|874827","chr1",871204,874827,1,"0_1_1",106,0.019,"exon","ENSG00000187634,","-","SRR3479243.29869173,","1__871204__874827",1
"chr1:957581|989931","chr1",957581,989931,1,"1_1_0",57,0.034,"exon","ENSG00000188157,","+","SRR3479243.5691753,","1__957581__989931",1
"chr1:1158624|1159348","chr1",1158624,1159348,27,"15_16_1",119,0.312,"exon","ENSG00000078808,","-","SRR3479243.232774,SRR3479243.1422543,SRR3479243.2930096,SRR3479243.3506820,SRR3479243.4486623,SRR3479243.5313451,SRR3479243.5453824,SRR3479243.7245938,SRR3479243.7661744,SRR3479243.8117964,SRR3479243.10339858,SRR3479243.12503484,SRR3479243.13060636,SRR3479243.13370889,SRR3479243.14315002,SRR3479243.15025656,SRR3479243.22487492,SRR3479243.23186206,SRR3479243.23649187,SRR3479243.23948518,SRR3479243.24385724,SRR3479243.24712447,SRR3479243.26392583,SRR3479243.27914777,SRR3479243.31027856,SRR3479243.6947996,SRR3479243.8803462,","1__1158624__1159348",27
"chr1:1191425|1203372","chr1",1191425,1203372,3,"1_2_2",243,0.024,"exon","ENSG00000160087,","-","SRR3479243.2912189,SRR3479243.6713565,SRR3479243.4056672,","1__1191425__1203372",3
"chr1:1192372|1192510","chr1",1192372,1192510,1,"1_1_0",203,0.01,"exon","ENSG00000160087,","-","SRR3479243.14537882,","1__1192372__1192510",1
"chr1:1192372|1192690","chr1",1192372,1192690,2,"2_1_1",192,0.02,"exon","ENSG00000160087,","-","SRR3479243.10519036,SRR3479243.12978440,","1__1192372__1192690",2
"chr1:1192372|1203372","chr1",1192372,1203372,1,"1_1_0",202,0.01,"exon","ENSG00000160087,","-","SRR3479243.6891858,","1__1192372__1203372",1
"chr1:1273357|1278138","chr1",1273357,1278138,1,"1_0_1",294,0.007,"exon","ENSG00000107404,","-","SRR3479243.28997157,","1__1273357__1278138",1
"chr1:1322615|1326245","chr1",1322615,1326245,2,"2_1_1",176,0.022,"exon","ENSG00000221978,","-","SRR3479243.10529812,SRR3479243.19242055,","1__1322615__1326245",2
"chr1:1417518|1454370","chr1",1417518,1454370,3,"3_3_0",15,0.286,"intergenic_region","n/a","+","SRR3479243.1207054,SRR3479243.5205539,SRR3479243.28267367,","1__1417518__1454370",3
