"index","chr","start","end","count"
"16__148143__150507","16",148143,150507,1
"10__225934__255988","10",225934,255988,2
"16__249061__258187","16",249061,258187,2
"10__225934__267296","10",225934,267296,8
"10__225934__295028","10",225934,295028,1
"19__326507__327989","19",326507,327989,1
"12__459787__461490","12",459787,461490,2
"12__416112__475270","12",416112,475270,2
"10__454866__486936","10",454866,486936,1
"10__459853__518489","10",459853,518489,1
"17__526773__530556","17",526773,530556,2
"10__518379__532470","10",518379,532470,2
"16__532525__539000","16",532525,539000,2
"12__514677__547720","12",514677,547720,1
"12__537935__547720","12",537935,547720,2
"11__596923__598502","11",596923,598502,1
"19__648372__650296","19",648372,650296,1
"19__648882__650296","19",648882,650296,1
"16__667208__668260","16",667208,668260,1
"18__691068__691276","18",691068,691276,1
"18__683246__694334","18",683246,694334,1
"16__706732__706871","16",706732,706871,1
"19__727008__736078","19",727008,736078,1
"11__801002__802090","11",801002,802090,1
"1__865535__866469","1",865535,866469,1
"16__919883__929737","16",919883,929737,1
"10__882343__931700","10",882343,931700,1
"10__888872__931700","10",888872,931700,1
"10__909683__931700","10",909683,931700,2
"10__930387__931700","10",930387,931700,2
"10__931581__931700","10",931581,931700,1
"12__936208__936428","12",936208,936428,1
"12__977032__980514","12",977032,980514,1
"19__985865__985975","19",985865,985975,1
"17__986760__1003975","17",986760,1003975,1
"16__929570__1004666","16",929570,1004666,1
"16__960931__1004666","16",960931,1004666,1
"16__983991__1004666","16",983991,1004666,1
"16__1004357__1004666","16",1004357,1004666,6
"19__1051941__1052125","19",1051941,1052125,1
"10__1044943__1053068","10",1044943,1053068,1
"10__1051758__1053068","10",1051758,1053068,1
"10__1118056__1126416","10",1118056,1126416,3
"10__1125951__1126416","10",1125951,1126416,1
"10__1118056__1132297","10",1118056,1132297,3
"10__1130343__1132297","10",1130343,1132297,1
"12__1136914__1137738","12",1136914,1137738,7
"10__1118056__1142186","10",1118056,1142186,1
"10__1130343__1142186","10",1130343,1142186,4
"10__1118056__1151207","10",1118056,1151207,1
"10__1130343__1151207","10",1130343,1151207,5
"10__1149542__1151207","10",1149542,1151207,1
"19__1095258__1154401","19",1095258,1154401,1
"19__1147308__1154401","19",1147308,1154401,3
"10__1170158__1170964","10",1170158,1170964,1
"1__1192372__1192690","1",1192372,1192690,2
"1__1191425__1203372","1",1191425,1203372,3
"1__1203242__1203372","1",1203242,1203372,1
"11__1307232__1311639","11",1307232,1311639,1
"10__1279636__1313264","10",1279636,1313264,1
"11__1307232__1317024","11",1307232,1317024,4
"17__1339914__1340449","17",1339914,1340449,1
"12__1289706__1346070","12",1289706,1346070,1
"19__1356323__1373159","19",1356323,1373159,1
"1__1390840__1420551","1",1390840,1420551,1
"17__1437393__1442246","17",1437393,1442246,1
"17__1437393__1444934","17",1437393,1444934,1
"16__1447179__1453345","16",1447179,1453345,1
"17__1437393__1456443","17",1437393,1456443,1
"11__1464336__1464633","11",1464336,1464633,1
"11__1457270__1467137","11",1457270,1467137,1
"12__1480999__1553916","12",1480999,1553916,3
"16__1555411__1557717","16",1555411,1557717,1
"1__1601103__1601578","1",1601103,1601578,1
"19__1620967__1621190","19",1620967,1621190,1
"1__1586823__1650894","1",1586823,1650894,3
"16__1607936__1657298","16",1607936,1657298,1
"16__1652371__1660854","16",1652371,1660854,1
"17__1703151__1704318","17",1703151,1704318,1
"17__1746097__1747980","17",1746097,1747980,2
"17__1746097__1756483","17",1746097,1756483,1
"17__1747214__1756483","17",1747214,1756483,2
"1__1747195__1756938","1",1747195,1756938,2
"1__1756836__1756938","1",1756836,1756938,2
"1__1747195__1770677","1",1747195,1770677,4
"1__1756836__1770677","1",1756836,1770677,2
"12__1863424__1863680","12",1863424,1863680,1
"12__1887020__1893239","12",1887020,1893239,2
"17__2075952__2076153","17",2075952,2076153,1
"16__2093568__2096367","16",2093568,2096367,1
"16__2120457__2124390","16",2120457,2124390,1
"19__2137010__2138713","19",2137010,2138713,1
"19__2180712__2194576","19",2180712,2194576,1
"19__2189731__2194576","19",2189731,2194576,1
"1__2235279__2235541","1",2235279,2235541,1
"1__2234417__2236024","1",2234417,2236024,1
"16__2312279__2313288","16",2312279,2313288,1
"1__2316417__2321435","1",2316417,2321435,1
"19__2337442__2345328","19",2337442,2345328,1
"1__2441301__2445905","1",2441301,2445905,1
"16__2489354__2493801","16",2489354,2493801,1
"16__2745936__2752479","16",2745936,2752479,1
"19__2761458__2763755","19",2761458,2763755,1
"19__2765184__2769089","19",2765184,2769089,1
