"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chr6_apd_hap1",1949831,1950696,"circular_RNA/1",0,"-",1949831,1949831,"0,0,0",3,"57,163,239","0,380,626",1,"circRNA","DHX16","NM_003587","4,3,2","chr6_apd_hap1:1945155-1949831|chr6_apd_hap1:1950696-1952056","6_apd_hap1__1949832__1950696",1
"chrY",150833,166059,"circular_RNA/1",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",1,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",1
"chrY",249338,258428,"circular_RNA/5",0,"-",249338,249338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",5,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrY:245252-249338|chrY:258428-272139","Y__249339__258428",5
"chrY",249338,272325,"circular_RNA/1",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",1
"chrY",1351570,1359402,"circular_RNA/1",0,"+",1351570,1351570,"0,0,0",5,"102,143,124,130,173","0,3100,5841,6081,7659",1,"circRNA","CSF2RA","NM_001161531","3,4,5,6,7","chrY:1343735-1351570|chrY:1359402-1363220","Y__1351571__1359402",1
"chrY",1354670,1359402,"circular_RNA/2",0,"+",1354670,1354670,"0,0,0",4,"143,124,130,173","0,2741,2981,4559",2,"circRNA","CSF2RA","NM_001161531","4,5,6,7","chrY:1351672-1354670|chrY:1359402-1363220","Y__1354671__1359402",2
"chrY",1357411,1357781,"circular_RNA/1",0,"+",1357411,1357411,"0,0,0",2,"124,130","0,240",1,"circRNA","CSF2RA","NM_001161531","5,6","chrY:1354813-1357411|chrY:1357781-1359229","Y__1357412__1357781",1
"chrY",1357411,1359402,"circular_RNA/1",0,"+",1357411,1357411,"0,0,0",3,"124,130,173","0,240,1818",1,"circRNA","CSF2RA","NM_001161531","5,6,7","chrY:1354813-1357411|chrY:1359402-1363220","Y__1357412__1359402",1
"chrY",1662336,1664425,"circular_RNA/1",0,"+",1662336,1662336,"0,0,0",2,"781,149","0,1940",1,"circRNA","AKAP17A","NM_005088","2,3","chrY:1660662-1662336|chrY:1664425-1668084","Y__1662337__1664425",1
"chrY",2111063,2134988,"circular_RNA/1",0,"-",2111063,2111063,"0,0,0",2,"208,208","0,23717",1,"circRNA","DHRSX","NM_145177","6,5","chrY:2089270-2111063|chrY:2134988-2159542","Y__2111064__2134988",1
