"index","chr","start","end","count"
"1__865535__866469","1",865535,866469,24
"1__871152__874840","1",871152,874840,16
"1__871152__877868","1",871152,877868,102
"1__981344__989931","1",981344,989931,441
"1__986833__987195","1",986833,987195,35
"1__1158624__1159348","1",1158624,1159348,8
"1__1158624__1164326","1",1158624,1164326,14
"1__1192372__1192690","1",1192372,1192690,27
"1__1192372__1203372","1",1192372,1203372,12
"1__1198726__1203372","1",1198726,1203372,10
"1__1229782__1233313","1",1229782,1233313,10
"1__1244466__1244983","1",1244466,1244983,2
"1__1417518__1454370","1",1417518,1454370,22
"1__1417925__1455686","1",1417925,1455686,1
"1__1430865__1464711","1",1430865,1464711,23
"1__1451392__1463242","1",1451392,1463242,52
"1__1721834__1722035","1",1721834,1722035,13
"1__1721834__1724750","1",1721834,1724750,162
"1__1735858__1737977","1",1735858,1737977,5
"1__1735858__1749314","1",1735858,1749314,7
"1__1735858__1756938","1",1735858,1756938,8
"1__1737914__1749314","1",1737914,1749314,32
"1__1737914__1770677","1",1737914,1770677,339
"1__1747195__1749314","1",1747195,1749314,9
"1__1747195__1756938","1",1747195,1756938,4
"1__2100957__2105455","1",2100957,2105455,10
"1__2234724__2236024","1",2234724,2236024,2
"1__2327223__2333781","1",2327223,2333781,2
"1__2339891__2340297","1",2339891,2340297,5
"1__2441301__2452754","1",2441301,2452754,4
"1__2443067__2449703","1",2443067,2449703,7
"1__2447001__2449703","1",2447001,2449703,20
"1__3761471__3761915","1",3761471,3761915,67
"1__5933312__6022009","1",5933312,6022009,2
"1__5987709__5993389","1",5987709,5993389,8
"1__6007164__6012896","1",6007164,6012896,86
"1__6007164__6029319","1",6007164,6029319,2
"1__6007164__6046387","1",6007164,6046387,22
"1__6012760__6046387","1",6012760,6046387,3
"1__6021854__6029319","1",6021854,6029319,145
"1__6021854__6038473","1",6021854,6038473,60
"1__6021854__6046387","1",6021854,6046387,3
"1__6291962__6292179","1",6291962,6292179,11
"1__6589054__6593501","1",6589054,6593501,8
"1__6589054__6601987","1",6589054,6601987,74
"1__6659107__6659512","1",6659107,6659512,43
"1__8425872__8601377","1",8425872,8601377,136
"1__8525985__8568734","1",8525985,8568734,2
"1__8555123__8674745","1",8555123,8674745,1
"1__8555123__8684439","1",8555123,8684439,63
"1__8568686__8674745","1",8568686,8674745,5
"1__8616534__8617582","1",8616534,8617582,334
"1__8616534__8674745","1",8616534,8674745,14
"1__8674620__8684439","1",8674620,8684439,172
"1__8922946__8925541","1",8922946,8925541,68
"1__8923294__8928116","1",8923294,8928116,10
"1__8923950__8925541","1",8923950,8925541,9
"1__8926338__8927309","1",8926338,8927309,46
"1__9795525__9809704","1",9795525,9809704,2
"1__9931245__9938047","1",9931245,9938047,44
"1__10132086__10165802","1",10132086,10165802,43
"1__10209242__10211619","1",10209242,10211619,1
"1__10209242__10221344","1",10209242,10221344,2
"1__10412689__10435431","1",10412689,10435431,7
"1__10464218__10468197","1",10464218,10468197,3
"1__11090233__11106790","1",11090233,11106790,18
"1__11130957__11137005","1",11130957,11137005,61
"1__11133991__11151654","1",11133991,11151654,2
