"index","count"
"1__117944808__117957453",2
"1__117944808__117963271",2
"1__145355187__145359187",5
"1__167935867__167944253",3
"1__35846860__35854683",2
"1__63944435__63974241",2
"10__105197772__105198565",2
"11__130130751__130131824",5
"11__33307959__33309057",2
"11__77330651__77340944",2
"11__85718585__85742653",4
"14__99924616__99932150",2
"15__101775287__101775782",2
"15__59204762__59209198",2
"15__85223944__85234875",2
"16__11988811__11990642",2
"16__11988811__11991892",4
"16__85667520__85667738",5
"2__177161588__177193640",2
"2__55209651__55214834",2
"2__85097349__85097909",2
"20__30954187__30956926",2
"20__61485368__61491660",3
"20__62407031__62422143",2
"3__135979321__135980907",2
"3__149563798__149639014",6
"3__157839892__157841780",3
"3__196118684__196129890",5
"4__108603171__108622441",2
"4__52729603__52744020",2
"5__167915607__167921655",2
"5__43161351__43162033",2
"5__6604251__6605521",2
"6__35586873__35610620",2
"7__131058469__131084192",2
"7__65915058__66041916",2
"9__138773479__138774924",3
"9__86292642__86293514",2
