"Chr","Start","End","Chimeric.out.junction","index","count"
"chrUn_gl000222",11699,12288,4,"Un_gl000222__11699__12288",4
"chrUn_gl000222",11828,12288,6,"Un_gl000222__11828__12288",6
"chrUn_gl000222",16113,16194,2,"Un_gl000222__16113__16194",2
"chr4_ctg9_hap1",15763,25950,1,"4_ctg9_hap1__15763__25950",1
"chr1_gl000191_random",30932,31293,2,"1_gl000191_random__30932__31293",2
"chr1_gl000191_random",30932,31306,1,"1_gl000191_random__30932__31306",1
"chr17_gl000205_random",34445,34569,1,"17_gl000205_random__34445__34569",1
"chr7_gl000195_random",44367,44485,2,"7_gl000195_random__44367__44485",2
"chr7_gl000195_random",44570,44700,1,"7_gl000195_random__44570__44700",1
"chr1_gl000191_random",41683,48107,1,"1_gl000191_random__41683__48107",1
"chrUn_gl000223",48076,48159,1,"Un_gl000223__48076__48159",1
"chr1_gl000191_random",44809,48651,1,"1_gl000191_random__44809__48651",1
"chr7_gl000195_random",46226,50132,1,"7_gl000195_random__46226__50132",1
"chr16",103939,104022,1,"16__103939__104022",1
"chr16",103939,105523,1,"16__103939__105523",1
"chr18",116842,117304,1,"18__116842__117304",1
"chr18",116842,118504,1,"18__116842__118504",1
"chrUn_gl000220",122564,122627,1,"Un_gl000220__122564__122627",1
"chr5",139888,139946,1,"5__139888__139946",1
"chr7_gl000195_random",142971,143045,1,"7_gl000195_random__142971__143045",1
"chr16",138697,143323,1,"16__138697__143323",1
"chr16",142594,143323,1,"16__142594__143323",1
"chrUn_gl000225",99046,144439,1,"Un_gl000225__99046__144439",1
"chr16",148143,150507,1,"16__148143__150507",1
"chrY",150834,159885,1,"Y__150834__159885",1
"chrUn_gl000223",160379,160555,1,"Un_gl000223__160379__160555",1
"chrY",150834,166059,1,"Y__150834__166059",1
"chr17_ctg5_hap1",167529,168155,3,"17_ctg5_hap1__167529__168155",3
"chr17",169211,171206,1,"17__169211__171206",1
"chr6_apd_hap1",177889,178015,1,"6_apd_hap1__177889__178015",1
"chr18",163308,180339,1,"18__163308__180339",1
"chr8",183110,183193,1,"8__183110__183193",1
"chr18",192842,199316,2,"18__192842__199316",2
"chr18",196637,199316,1,"18__196637__199316",1
"chr18",197616,203190,1,"18__197616__203190",1
"chrX",200834,209885,1,"X__200834__209885",1
"chrX",200834,216059,1,"X__200834__216059",1
"chr11",218832,218895,1,"11__218832__218895",1
"chr5",224575,224636,1,"5__224575__224636",1
"chr18",229955,230064,1,"18__229955__230064",1
"chr11",224078,233118,1,"11__224078__233118",1
"chr11",230452,234004,1,"11__230452__234004",1
"chr5",225998,240591,1,"5__225998__240591",1
"chr4",247349,248626,1,"4__247349__248626",1
"chr11",252638,252804,1,"11__252638__252804",1
"chr10",225934,255988,2,"10__225934__255988",2
"chr5",254508,256570,1,"5__254508__256570",1
"chr16",256003,256577,1,"16__256003__256577",1
"chr16",242926,258187,1,"16__242926__258187",1
"chr16",256003,258187,1,"16__256003__258187",1
"chr10",225934,267296,1,"10__225934__267296",1
"chr10",266577,267296,1,"10__266577__267296",1
"chr16",249061,270746,1,"16__249061__270746",1
"chrY",256251,272325,1,"Y__256251__272325",1
"chrY",272140,273067,1,"Y__272140__273067",1
"chr11",291114,291245,1,"11__291114__291245",1
"chr11",291246,291293,1,"11__291246__291293",1
"chr10",225934,293406,1,"10__225934__293406",1
"chr10",225934,295028,2,"10__225934__295028",2
"chr11",309206,309273,2,"11__309206__309273",2
"chr16",299548,310159,1,"16__299548__310159",1
"chr19",311845,313643,1,"19__311845__313643",1
"chrX",322140,323067,2,"X__322140__323067",2
"chr18",346968,347039,1,"18__346968__347039",1
"chr16",347056,348251,1,"16__347056__348251",1
"chr18",346295,357522,1,"18__346295__357522",1
"chr16",354304,364683,2,"16__354304__364683",2
"chr5",306717,376831,1,"5__306717__376831",1
"chr5",353845,376831,1,"5__353845__376831",1
"chr11",380836,380976,1,"11__380836__380976",1
"chr16",354304,397106,3,"16__354304__397106",3
"chr16",396148,397106,1,"16__396148__397106",1
"chr20",398170,398574,1,"20__398170__398574",1
"chr12",417088,417171,1,"12__417088__417171",1
"chr16",417535,417673,1,"16__417535__417673",1
"chr16",418328,418560,4,"16__418328__418560",4
"chr16",420027,420113,2,"16__420027__420113",2
"chr16",426250,426348,1,"16__426250__426348",1
"chr20",428533,428718,1,"20__428533__428718",1
"chr5",430513,430593,1,"5__430513__430593",1
"chr19",434763,434828,2,"19__434763__434828",2
"chr19",438718,440932,1,"19__438718__440932",1
"chr16",450217,450338,1,"16__450217__450338",1
"chr5",458088,458140,1,"5__458088__458140",1
"chr12",459787,461490,1,"12__459787__461490",1
"chr20",461792,461881,2,"20__461792__461881",2
"chr5",462338,462422,1,"5__462338__462422",1
"chr12",401925,463400,1,"12__401925__463400",1
"chr12",459787,465703,2,"12__459787__465703",2
"chr10",465005,468973,1,"10__465005__468973",1
"chr18",346295,471198,1,"18__346295__471198",1
"chr5",471147,471242,1,"5__471147__471242",1
"chr20",467020,473008,1,"20__467020__473008",1
"chr5",474172,474221,1,"5__474172__474221",1
"chr12",459787,475270,1,"12__459787__475270",1
"chr12",472129,475270,1,"12__472129__475270",1
"chr5",478464,478967,1,"5__478464__478967",1
"chr11",460187,489960,1,"11__460187__489960",1
"chr12",493197,495140,1,"12__493197__495140",1
"chr12",514677,527802,1,"12__514677__527802",1
"chr12",518534,527802,1,"12__518534__527802",1
"chr12",531733,531816,1,"12__531733__531816",1
"chr10",468764,532470,1,"10__468764__532470",1
"chr10",518379,532470,1,"10__518379__532470",1
"chr10",530721,532470,3,"10__530721__532470",3
"chr17",526773,534868,1,"17__526773__534868",1
"chr17",534790,536081,1,"17__534790__536081",1
"chr19",540012,540805,1,"19__540012__540805",1
"chr12",520913,547720,1,"12__520913__547720",1
"chr12",537935,547720,1,"12__537935__547720",1
"chr17",556531,565135,1,"17__556531__565135",1
