"X.chrom","start","end","name","n_frags","strand","n_weight","n_spanned","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category","flags","flag_counts","index","count"
"chr16",57188348,57207781,"unknown_circ_006089",1,"-",1,1,1,1,20,12,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__57188349__57207781",1
"chr1",62321701,62330305,"unknown_circ_010775",1,"+",2,2,2,2,118,114,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__62321702__62330305",1
"chr2",32654213,32664754,"unknown_circ_001159",1,"+",1,1,1,1,62,70,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","2__32654214__32664754",1
"chr2",36605499,36669878,"unknown_circ_017331",2,"+",2,2,1,2,40,92,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","2__36605500__36669878",2
"chr14",76642965,76662315,"unknown_circ_027721",2,"+",2,2,2,2,14,124,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","14__76642966__76662315",2
"chr4",79516534,79525553,"unknown_circ_003761",1,"+",1,1,1,1,62,68,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","4__79516535__79525553",1
"chr12",57139828,57140816,"unknown_circ_006588",1,"-",1,1,1,1,58,16,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","12__57139829__57140816",1
"chr15",65262451,65275900,"unknown_circ_003848",1,"-",1,1,1,1,36,78,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","15__65262452__65275900",1
"chr3",17413566,17425507,"unknown_circ_027245",1,"-",1,1,1,1,50,80,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","3__17413567__17425507",1
"chr5",109034136,109065214,"unknown_circ_019954",1,"+",1,1,1,1,66,66,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__109034137__109065214",1
"chr5",114875361,114878598,"unknown_circ_015282",1,"-",1,1,1,1,126,6,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__114875362__114878598",1
"chrX",53223005,53223460,"unknown_circ_026991",1,"-",0.5,1,1,0.5,28,46,"unknown",0.5,1,0,1,"GTAG","N/A","WARN_EXT_1MM","SUPPORT_INSIDE_SPLICE_JUNCTION","1","X__53223006__53223460",1
"chr3",101368973,101369200,"unknown_circ_023075",1,"+",1,1,1,1,100,22,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","3__101368974__101369200",1
"chr3",183097084,183107567,"unknown_circ_014477",1,"-",2,2,2,2,60,130,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","3__183097085__183107567",1
"chrX",154018228,154020560,"unknown_circ_017492",2,"-",2,2,2,2,102,54,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","X__154018229__154020560",2
"chr3",17549965,17665405,"unknown_circ_003387",1,"-",1,1,1,1,78,12,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","3__17549966__17665405",1
"chrX",47926259,47926449,"unknown_circ_024497",1,"-",1,1,1,1,106,28,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","X__47926260__47926449",1
"chr18",9570154,9595151,"unknown_circ_010921",1,"-",1,1,1,1,104,30,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","18__9570155__9595151",1
"chr3",98600383,98611450,"unknown_circ_015794",1,"-",1,1,1,1,68,64,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","3__98600384__98611450",1
"chr17",78311761,78313163,"unknown_circ_026603",1,"+",1,1,1,1,14,128,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__78311762__78313163",1
"chr19",5047486,5119863,"unknown_circ_016606",2,"+",2,2,2,2,30,112,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","19__5047487__5119863",2
"chr19",17379602,17387718,"unknown_circ_008827",1,"+",1,1,1,1,38,92,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","19__17379603__17387718",1
"chr5",1470940,1489973,"unknown_circ_016613",1,"-",1,1,1,1,128,6,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__1470941__1489973",1
"chr5",620250,648031,"unknown_circ_025894",1,"+",1,1,1,1,86,46,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__620251__648031",1
"chr11",47237886,47261405,"unknown_circ_001046",1,"+",0.5,1,1,0.5,12,42,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","11__47237887__47261405",1
"chr1",73214848,73340021,"unknown_circ_020824",1,"-",1,1,1,1,60,74,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","1__73214849__73340021",1
"chr21",42609588,42617990,"unknown_circ_020205",1,"+",1,1,1,1,6,126,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","21__42609589__42617990",1
"chr3",47139444,47147610,"unknown_circ_023098",3,"-",3,3,3,3,112,70,"unknown",3,0,0,1,"GTAG","N/A","","N/A","0","3__47139445__47147610",3
"chr13",41890981,41894960,"unknown_circ_026400",1,"+",1,1,1,1,16,106,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","13__41890982__41894960",1
"chr13",111143579,111158953,"unknown_circ_011163",1,"+",1,1,1,1,100,20,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","13__111143580__111158953",1
"chr11",68326033,68338572,"unknown_circ_027480",1,"+",1,1,1,1,54,62,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__68326034__68338572",1
"chr14",62229139,62229173,"unknown_circ_020947",1,"+",1,1,1,1,156,48,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","14__62229140__62229173",1
"chr2",101751968,101752967,"unknown_circ_018476",1,"-",1,1,1,1,104,28,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","2__101751969__101752967",1
"chr18",22007882,22030778,"unknown_circ_012824",1,"+",0.5,1,1,0.5,50,32,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","18__22007883__22030778",1
"chrX",10031484,10035530,"unknown_circ_007282",4,"+",4,4,3,4,66,60,"unknown",4,0,0,1,"GTAG","N/A","","N/A","0","X__10031485__10035530",4
"chr5",80063751,80074655,"unknown_circ_001238",1,"+",1,1,1,1,38,90,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__80063752__80074655",1
"chr1",179033061,179035994,"unknown_circ_015989",1,"+",1,1,1,1,94,36,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__179033062__179035994",1
"chr20",47557735,47585814,"unknown_circ_003625",1,"+",1,1,1,1,14,102,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","20__47557736__47585814",1
"chr9",94991282,94991408,"unknown_circ_025440",1,"-",1,1,1,1,80,54,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","9__94991283__94991408",1
"chr17",17696246,17707163,"unknown_circ_007983",1,"+",1,1,1,1,2,140,"unknown",1,0,1,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","17__17696247__17707163",1
"chr11",31541602,31561330,"unknown_circ_023009",1,"+",1,1,1,1,4,134,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__31541603__31561330",1
"chr17",73529722,73539582,"unknown_circ_011809",1,"+",2,2,2,2,92,74,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","17__73529723__73539582",1
"chr14",23567287,23567573,"unknown_circ_019517",1,"-",1,1,1,1,32,80,"unknown",1,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","14__23567288__23567573",1
"chr6",86216950,86277295,"unknown_circ_008744",1,"-",0.5,1,1,0.5,2,56,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","6__86216951__86277295",1
"chr1",36438975,36450149,"unknown_circ_007400",1,"+",2,2,2,2,54,120,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__36438976__36450149",1
"chr20",13982933,13990619,"unknown_circ_004120",1,"+",1,1,1,1,34,72,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","20__13982934__13990619",1
"chr16",1664639,1682366,"unknown_circ_007574",1,"+",2,2,2,2,76,14,"unknown",2,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","16__1664640__1682366",1
"chr17",53916302,60683602,"unknown_circ_011836",1,"+",1,1,1,1,2,2,"unknown",1,0,2,1,"GTAG","N/A","HUGE,WARN_EXT_2MM+","N/A","0","17__53916303__60683602",1
"chr8",41584767,41591587,"unknown_circ_022869",1,"-",1,1,1,1,98,14,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","8__41584768__41591587",1
"chr16",14702137,14711507,"unknown_circ_017433",1,"-",0.5,1,1,0.5,42,40,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","16__14702138__14711507",1
"chr3",169795108,169795426,"unknown_circ_022878",1,"-",1,1,1,1,24,88,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","3__169795109__169795426",1
"chr5",93855952,93872832,"unknown_circ_022403",1,"-",1,1,1,1,32,98,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__93855953__93872832",1
"chr11",85692787,85707972,"unknown_circ_014614",3,"-",1.16666666667,3,2,1.16666666667,22,64,"unknown",1.16666666667,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION,WARN_UNRESOLVED_LINSPLICE","3,2","11__85692788__85707972",3
"chr20",43552801,43564138,"unknown_circ_021437",1,"+",1,1,1,1,82,42,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","20__43552802__43564138",1
