"circRNA_ID","chr","circRNA_start","circRNA_end","X.junction_reads","SM_MS_SMS","X.non_junction_reads","junction_reads_ratio","circRNA_type","gene_id","strand","junction_reads_ID","index","count"
"chr1:741179|745550","chr1",741179,745550,3,"1_2_0",0,1,"intergenic_region","n/a","-","SRR444975.16561124,SRR444975.96996185,SRR444975.96996185,","1__741179__745550",3
"chr1:1239363|1239507","chr1",1239363,1239507,1,"1_1_0",85,0.023,"exon","ENSG00000131584,","-","SRR444975.25154766,","1__1239363__1239507",1
"chr1:1322615|1326245","chr1",1322615,1326245,2,"1_2_0",253,0.016,"exon","ENSG00000221978,","-","SRR444975.169853278,SRR444975.108059628,","1__1322615__1326245",2
"chr1:1417518|1454370","chr1",1417518,1454370,1,"1_1_0",28,0.067,"intergenic_region","n/a","+","SRR444975.192462801,","1__1417518__1454370",1
"chr1:1430865|1464711","chr1",1430865,1464711,10,"8_7_0",24,0.455,"intergenic_region","n/a","+","SRR444975.7203844,SRR444975.26504465,SRR444975.90837901,SRR444975.124613727,SRR444975.165569120,SRR444975.177354040,SRR444975.191201348,SRR444975.77093343,SRR444975.177354040,SRR444975.24276046,","1__1430865__1464711",10
"chr1:1496712|1500296","chr1",1496712,1500296,3,"2_2_0",202,0.029,"intron","ENSG00000160075,","-","SRR444975.4759894,SRR444975.93531180,SRR444975.75361649,","1__1496712__1500296",3
"chr1:1586823|1588948","chr1",1586823,1588948,1,"1_1_0",1,0.667,"exon","ENSG00000248333,","-","SRR444975.192280742,","1__1586823__1588948",1
"chr1:1586823|1650894","chr1",1586823,1650894,4,"2_3_0",13,0.381,"intergenic_region","n/a","-","SRR444975.69201293,SRR444975.21493402,SRR444975.69201293,SRR444975.25745422,","1__1586823__1650894",4
"chr1:1599766|1601590","chr1",1599766,1601590,4,"1_1_2",9,0.471,"exon","ENSG00000189339,","-","SRR444975.118500300,SRR444975.41667781,SRR444975.137296031,SRR444975.149592515,","1__1599766__1601590",4
"chr1:1601103|1601590","chr1",1601103,1601590,1,"1_1_0",10,0.167,"exon","ENSG00000189339,","-","SRR444975.126151151,","1__1601103__1601590",1
"chr1:1601103|1666274","chr1",1601103,1666274,9,"5_7_0",4,0.818,"intergenic_region","n/a","-","SRR444975.9291039,SRR444975.162614378,SRR444975.70927331,SRR444975.81830222,SRR444975.69755253,SRR444975.103937399,SRR444975.109936545,SRR444975.103189879,SRR444975.107093648,","1__1601103__1666274",9
"chr1:1647785|1653150","chr1",1647785,1653150,3,"2_1_0",10,0.375,"exon","ENSG00000268575,ENSG00000008128,","-","SRR444975.57316066,SRR444975.2228103,SRR444975.2228103,","1__1647785__1653150",3
"chr1:1718761|1756921","chr1",1718761,1756921,2,"1_1_0",1800,0.002,"exon","ENSG00000078369,","-","SRR444975.84046909,SRR444975.135533520,","1__1718761__1756921",2
"chr1:1735858|1737977","chr1",1735858,1737977,7,"5_3_2",1529,0.009,"exon","ENSG00000078369,","-","SRR444975.21991837,SRR444975.96626038,SRR444975.161745087,SRR444975.16103293,SRR444975.80354446,SRR444975.176803799,SRR444975.149120318,","1__1735858__1737977",7
"chr1:1735858|1749314","chr1",1735858,1749314,8,"3_0_4",1547,0.01,"exon","ENSG00000078369,","-","SRR444975.181350574,SRR444975.61661687,SRR444975.4278122,SRR444975.15046502,SRR444975.66190190,SRR444975.134037089,SRR444975.135344668,SRR444975.200555302,","1__1735858__1749314",8
