"sample","index","chr","start","end","count","cell"
"SRR567525","14__23532691__23532762","14",23532691,23532762,2,"HELA"
"SRR567525","7__30590252__30614497","7",30590252,30614497,1,"HELA"
"SRR567525","10__31784705__31803636","10",31784705,31803636,3,"HELA"
"SRR567525","9__33960824__33973235","9",33960824,33973235,1,"HELA"
"SRR567525","11__34104372__34104588","11",34104372,34104588,3,"HELA"
"SRR567525","17__37646836__37657629","17",37646836,37657629,2,"HELA"
"SRR567525","13__41556119__41556418","13",41556119,41556418,4,"HELA"
"SRR567525","6__44060855__44060952","6",44060855,44060952,2,"HELA"
"SRR567525","6__47501338__47512442","6",47501338,47512442,3,"HELA"
"SRR567525","6__56707853__56765419","6",56707853,56765419,2,"HELA"
"SRR567525","11__61068361__61076538","11",61068361,61076538,1,"HELA"
"SRR567525","X__76907604__76912143","X",76907604,76912143,2,"HELA"
"SRR567525","16__78142320__78143732","16",78142320,78143732,4,"HELA"
"SRR567525","16__80718435__80719026","16",80718435,80719026,3,"HELA"
"SRR567525","10__93740211__93788686","10",93740211,93788686,2,"HELA"
"SRR567525","8__128750538__128753210","8",128750538,128753210,1,"HELA"
"SRR567525","2__141356334__141359138","2",141356334,141359138,5,"HELA"
"SRR567525","8__144887885__144888260","8",144887885,144888260,2,"HELA"
"SRR567525","1__161176214__161176298","1",161176214,161176298,1,"HELA"
"SRR567526","10__1539844__1540269","10",1539844,1540269,1,"HELA"
"SRR567526","1__19570108__19570509","1",19570108,19570509,1,"HELA"
"SRR567526","5__40764616__40777688","5",40764616,40777688,1,"HELA"
"SRR567526","X__53600710__53607908","X",53600710,53607908,2,"HELA"
"SRR567526","9__74484999__74489999","9",74484999,74489999,1,"HELA"
"SRR567526","11__111839317__111844784","11",111839317,111844784,3,"HELA"
"SRR567526","3__131100673__131100786","3",131100673,131100786,1,"HELA"
"SRR567526","9__137716548__137716604","9",137716548,137716604,1,"HELA"
"SRR567526","1__150915372__150915529","1",150915372,150915529,1,"HELA"
"SRR567526","3__186504916__186505373","3",186504916,186505373,2,"HELA"
"SRR944646","Un_gl000220__118000__118097","Un_gl000220",118000,118097,1,"HELA"
"SRR944646","Un_gl000220__117997__118295","Un_gl000220",117997,118295,1,"HELA"
"SRR944646","Un_gl000220__118260__118321","Un_gl000220",118260,118321,10,"HELA"
"SRR944646","11__870121__893519","11",870121,893519,2,"HELA"
"SRR944646","5__1486234__1486388","5",1486234,1486388,1,"HELA"
"SRR944646","Y__2354744__2354957","Y",2354744,2354957,1,"HELA"
"SRR944646","16__2569789__2570160","16",2569789,2570160,1,"HELA"
"SRR944646","16__2815375__2815540","16",2815375,2815540,1,"HELA"
"SRR944646","7__6194378__6194490","7",6194378,6194490,1,"HELA"
"SRR944646","2__9484661__9499018","2",9484661,9499018,1,"HELA"
"SRR944646","19__10395551__10395867","19",10395551,10395867,1,"HELA"
"SRR944646","1__29068952__29070324","1",29068952,29070324,1,"HELA"
"SRR944646","22__44891005__44891959","22",44891005,44891959,1,"HELA"
"SRR944646","1__47184253__47184542","1",47184253,47184542,1,"HELA"
"SRR944646","21__47811189__47822397","21",47811189,47822397,1,"HELA"
"SRR944646","19__50102601__50102756","19",50102601,50102756,1,"HELA"
