"chr","start","end","count","index"
"chrM",1085,1235,2,"M__1086__1235"
"chrM",1679,1834,62,"M__1680__1834"
"chrM",1700,1847,1,"M__1701__1847"
"chrM",1691,1896,7,"M__1692__1896"
"chrM",1839,1998,4,"M__1840__1998"
"chrM",1983,2141,1,"M__1984__2141"
"chrM",2094,2277,1,"M__2095__2277"
"chrM",2226,2360,1,"M__2227__2360"
"chrM",2211,2422,8,"M__2212__2422"
"chrM",1799,2455,2,"M__1800__2455"
"chrM",2351,2455,2,"M__2352__2455"
"chrM",2223,2475,1,"M__2224__2475"
"chrM",2226,2763,2,"M__2227__2763"
"chrM",1691,2795,1,"M__1692__2795"
"chrM",2823,2987,62,"M__2824__2987"
"chrM",2778,3055,1,"M__2779__3055"
"chrM",8625,8776,1,"M__8626__8776"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",8927,9031,1,"M__8928__9031"
"chrM",8927,9089,1,"M__8928__9089"
"chrM",9417,9540,1,"M__9418__9540"
"chrM",13301,13453,1,"M__13302__13453"
"chrM",13935,14067,1,"M__13936__14067"
"chr8_gl000196_random",12891,27060,1,"8_gl000196_random__12892__27060"
"chrUn_gl000212",40732,43763,5,"Un_gl000212__40733__43763"
"chr1_gl000191_random",37444,44930,1,"1_gl000191_random__37445__44930"
"chr1_gl000191_random",41405,44948,1,"1_gl000191_random__41406__44948"
"chrUn_gl000214",51171,52945,1,"Un_gl000214__51172__52945"
"chr7_gl000195_random",150404,156002,2,"7_gl000195_random__150405__156002"
"chr17",169210,177370,1,"17__169211__177370"
"chr16",167299,180590,2,"16__167300__180590"
"chr18",196636,199316,2,"18__196637__199316"
"chr18",196636,204692,6,"18__196637__204692"
"chr11",216669,233244,1,"11__216670__233244"
"chr5",223596,233760,1,"5__223597__233760"
"chr5",230990,233760,1,"5__230991__233760"
"chr10",225933,255988,1,"10__225934__255988"
"chr5",254537,256570,1,"5__254538__256570"
"chr16",249060,258187,1,"16__249061__258187"
"chrY",272139,273067,1,"Y__272140__273067"
"chr10",225933,282855,1,"10__225934__282855"
"chr9",271626,289581,1,"9__271627__289581"
"chr9",280790,289581,1,"9__280791__289581"
"chr10",225933,295028,3,"10__225934__295028"
