"chr","start","end","count","index"
"chrM",678,937,1,"M__679__937"
"chrM",844,961,1,"M__845__961"
"chrM",1081,1308,1,"M__1082__1308"
"chrM",1679,1834,3,"M__1680__1834"
"chrM",1691,1896,50,"M__1692__1896"
"chrM",1727,1896,2,"M__1728__1896"
"chrM",1727,1998,2,"M__1728__1998"
"chrM",1839,2069,2,"M__1840__2069"
"chrM",1787,2093,8,"M__1788__2093"
"chrM",1983,2141,1,"M__1984__2141"
"chrM",1998,2285,1,"M__1999__2285"
"chrM",2226,2387,4,"M__2227__2387"
"chrM",2273,2416,2,"M__2274__2416"
"chrM",2211,2422,19,"M__2212__2422"
"chrM",2351,2455,1,"M__2352__2455"
"chrM",2219,2515,1,"M__2220__2515"
"chrM",804,2763,1,"M__805__2763"
"chrM",2226,2763,1,"M__2227__2763"
"chrM",2242,2795,1,"M__2243__2795"
"chrM",1705,2841,1,"M__1706__2841"
"chrM",2823,2987,10,"M__2824__2987"
"chrM",2226,3100,1,"M__2227__3100"
"chrM",2242,3100,1,"M__2243__3100"
"chrM",3604,3742,1,"M__3605__3742"
"chrM",5383,5486,2,"M__5384__5486"
"chrM",5425,5593,1,"M__5426__5593"
"chrM",750,5849,1,"M__751__5849"
"chrM",7127,7328,1,"M__7128__7328"
"chrM",8398,8625,1,"M__8399__8625"
"chrM",8625,8776,1,"M__8626__8776"
"chrM",8468,8818,1,"M__8469__8818"
"chrM",8927,9031,4,"M__8928__9031"
"chrM",8927,9087,1,"M__8928__9087"
"chrM",8927,9089,9,"M__8928__9089"
"chrM",8468,9186,1,"M__8469__9186"
"chrM",8472,9190,1,"M__8473__9190"
"chrM",8927,9190,2,"M__8928__9190"
"chrM",1691,9297,1,"M__1692__9297"
"chrM",11978,12104,1,"M__11979__12104"
"chrUn_gl000222",11698,12288,4,"Un_gl000222__11699__12288"
"chrUn_gl000222",11827,12288,5,"Un_gl000222__11828__12288"
"chrM",12360,12564,1,"M__12361__12564"
"chrM",12375,12564,2,"M__12376__12564"
"chrM",13306,13436,1,"M__13307__13436"
"chrM",13436,13571,2,"M__13437__13571"
"chrM",13449,13584,2,"M__13450__13584"
"chrM",13846,13999,2,"M__13847__13999"
"chrM",13886,14055,2,"M__13887__14055"
"chrM",13846,14067,2,"M__13847__14067"
"chrM",13978,14125,1,"M__13979__14125"
"chrM",14004,14150,2,"M__14005__14150"
"chrM",14055,14377,2,"M__14056__14377"
"chrM",14329,14413,1,"M__14330__14413"
"chrM",14807,15143,1,"M__14808__15143"
"chrM",14807,15335,1,"M__14808__15335"
"chrM",14807,15382,1,"M__14808__15382"
"chrM",15368,15491,2,"M__15369__15491"
"chr4_ctg9_hap1",14158,18555,1,"4_ctg9_hap1__14159__18555"
"chr8_gl000196_random",12891,22894,1,"8_gl000196_random__12892__22894"
"chr1",24737,25282,1,"1__24738__25282"
"chr8_gl000196_random",12891,27060,1,"8_gl000196_random__12892__27060"
"chr7_gl000195_random",48954,50132,1,"7_gl000195_random__48955__50132"
"chr12",78394,78939,1,"12__78395__78939"
"chr16",88209,93975,1,"16__88210__93975"
"chr18",116841,117304,1,"18__116842__117304"
"chrUn_gl000220",121604,124995,1,"Un_gl000220__121605__124995"
"chr9_gl000199_random",57236,137015,1,"9_gl000199_random__57237__137015"
"chr16",148142,150507,3,"16__148143__150507"
"chrY",150833,159885,2,"Y__150834__159885"
"chr8",163120,163710,2,"8__163121__163710"
"chrY",150833,166059,2,"Y__150834__166059"
"chr18",163307,166819,2,"18__163308__166819"
"chr17_ctg5_hap1",167528,168155,5,"17_ctg5_hap1__167529__168155"
"chrY",166803,169354,1,"Y__166804__169354"
"chr9",162431,172172,1,"9__162432__172172"
"chr18",163307,180339,2,"18__163308__180339"
"chr18",178932,204692,1,"18__178933__204692"
"chr4",194869,206570,1,"4__194870__206570"
"chrX",216803,219354,1,"X__216804__219354"
"chr18",216485,224179,1,"18__216486__224179"
"chr10",225933,226068,2,"10__225934__226068"
"chr5",223596,228448,2,"5__223597__228448"
"chr5",225997,228448,1,"5__225998__228448"
"chr11",224077,233215,2,"11__224078__233215"
"chr5",223596,233760,1,"5__223597__233760"
"chr5",251106,251583,1,"5__251107__251583"
"chr18",246323,252612,1,"18__246324__252612"
"chrY",249338,252666,1,"Y__249339__252666"
"chr10",225933,255988,3,"10__225934__255988"
"chr5",254507,256570,1,"5__254508__256570"
"chr16",239227,258187,1,"16__239228__258187"
"chr16",249060,258187,4,"16__249061__258187"
"chr18",225336,264092,1,"18__225337__264092"
"chr10",225933,267296,4,"10__225934__267296"
"chr16",256002,270746,1,"16__256003__270746"
"chrY",249338,272325,1,"Y__249339__272325"
"chrY",249338,273067,1,"Y__249339__273067"
"chrY",272139,273067,1,"Y__272140__273067"
"chr10",285377,286051,1,"10__285378__286051"
"chr19",287473,288171,1,"19__287474__288171"
"chrX",299338,308428,1,"X__299339__308428"
"chr19",311844,313643,2,"19__311845__313643"
"chrX",299338,322325,1,"X__299339__322325"
"chrX",322139,323067,6,"X__322140__323067"
