"index","chr","start","end","count"
"10__1139392__1142186","10",1139392,1142186,4
"19__1399127__1399194","19",1399127,1399194,81
"4__1732614__1732689","4",1732614,1732689,51
"12__6646086__6646176","12",6646086,6646176,26
"10__7327828__7327916","10",7327828,7327916,8
"19__10662721__10662797","19",10662721,10662797,10
"19__13039569__13039661","19",13039569,13039661,7
"11__20125199__20125270","11",20125199,20125270,5
"1__23885426__23885510","1",23885426,23885510,22
"15__25650608__25650649","15",25650608,25650649,2
"9__26917095__26917163","9",26917095,26917163,7
"17__26958838__26958937","17",26958838,26958937,4
"16__28604573__28604667","16",28604573,28604667,7
"16__31512007__31512052","16",31512007,31512052,38
"18__33783076__33783152","18",33783076,33783152,30
"20__34143804__34143900","20",34143804,34143900,13
"9__35384243__35384311","9",35384243,35384311,33
"17__36398218__36398302","17",36398218,36398302,10
"17__36918664__36918758","17",36918664,36918758,21
"4__41663437__41663527","4",41663437,41663527,8
"17__46632893__46632980","17",46632893,46632980,36
"17__48155571__48155648","17",48155571,48155648,52
"X__48666665__48666733","X",48666665,48666733,26
"3__49362135__49362196","3",49362135,49362196,6
"15__51018518__51018574","15",51018518,51018574,18
"13__51501543__51501614","13",51501543,51501614,60
"12__56982078__56982158","12",56982078,56982158,15
"11__62638217__62638309","11",62638217,62638309,4
"11__62639049__62639141","11",62639049,62639141,7
"17__64492319__64492401","17",64492319,64492401,12
"11__64898745__64898844","11",64898745,64898844,6
"15__68506628__68506726","15",68506628,68506726,6
"17__80014346__80014426","17",80014346,80014426,11
"8__87447681__87447756","8",87447681,87447756,10
"10__88659551__88659647","10",88659551,88659647,8
"9__95874500__95874571","9",95874500,95874571,50
"8__98827556__98827629","8",98827556,98827629,33
"14__102506935__102507010","14",102506935,102507010,50
"12__113725968__113726039","12",113725968,113726039,11
"1__117963191__117963271","1",117963191,117963271,8
"3__119562102__119562200","3",119562102,119562200,6
"7__131082026__131082135","7",131082026,131082135,2
"1__145601530__145601622","1",145601530,145601622,20
"X__153281483__153281548","X",153281483,153281548,4
"1__161183439__161183522","1",161183439,161183522,12
"3__176816254__176816329","3",176816254,176816329,14
"1__179317979__179318077","1",179317979,179318077,29
"3__195006525__195006586","3",195006525,195006586,48
"2__220073148__220073208","2",220073148,220073208,10
"2__228401617__228401709","2",228401617,228401709,23
"2__242607558__242607636","2",242607558,242607636,12
