"index","chr","start","end","count"
"17__169211__171206","17",169211,171206,2
"18__196637__204692","18",196637,204692,1
"10__225934__267296","10",225934,267296,6
"10__412215__430086","10",412215,430086,1
"10__408430__430579","10",408430,430579,1
"12__459787__461490","12",459787,461490,1
"10__454866__518489","10",454866,518489,1
"17__526773__530556","17",526773,530556,1
"10__518379__532470","10",518379,532470,1
"18__662146__671451","18",662146,671451,1
"11__811681__811814","11",811681,811814,1
"11__836063__836153","11",836063,836153,1
"17__902019__902824","17",902019,902824,1
"10__909683__931700","10",909683,931700,3
"17__953290__995090","17",953290,995090,1
"17__986760__1003975","17",986760,1003975,1
"19__1032391__1032695","19",1032391,1032695,6
"10__1125951__1126416","10",1125951,1126416,2
"12__1136914__1137738","12",1136914,1137738,8
"10__1130343__1151207","10",1130343,1151207,5
"10__1149542__1170964","10",1149542,1170964,1
"1__1192372__1192690","1",1192372,1192690,1
"1__1226445__1226520","1",1226445,1226520,1
"12__1213916__1250953","12",1213916,1250953,2
"11__1307232__1317024","11",1307232,1317024,1
"16__1364021__1364097","16",1364021,1364097,1
"17__1383821__1384179","17",1383821,1384179,1
"16__1411873__1411956","16",1411873,1411956,2
"19__1418203__1418730","19",1418203,1418730,2
"1__1420396__1422048","1",1420396,1422048,1
"16__1447179__1453345","16",1447179,1453345,1
"17__1451590__1456443","17",1451590,1456443,1
"17__1437393__1461853","17",1437393,1461853,1
"17__1451590__1461853","17",1451590,1461853,1
"1__1601103__1601578","1",1601103,1601578,1
"1__1606902__1608285","1",1606902,1608285,1
"16__1636131__1638025","16",1636131,1638025,1
"16__1675974__1687908","16",1675974,1687908,1
"17__1703151__1704318","17",1703151,1704318,1
"1__1735858__1737977","1",1735858,1737977,3
"1__1735858__1747301","1",1735858,1747301,1
"17__1747214__1747980","17",1747214,1747980,1
"17__1747214__1756483","17",1747214,1756483,2
"1__1735858__1756938","1",1735858,1756938,2
"1__1747195__1756938","1",1747195,1756938,6
"1__1747195__1770677","1",1747195,1770677,1
"16__1793336__1798721","16",1793336,1798721,1
"16__1866894__1873038","16",1866894,1873038,1
"17__1985104__1989195","17",1985104,1989195,2
"16__2106645__2108874","16",2106645,2108874,1
"19__2111284__2111827","19",2111284,2111827,1
"17__2139786__2148013","17",2139786,2148013,1
"19__2185854__2191239","19",2185854,2191239,1
"16__2215880__2215937","16",2215880,2215937,1
"12__2224390__2229596","12",2224390,2229596,4
"1__2234417__2236024","1",2234417,2236024,1
"19__2272734__2272819","19",2272734,2272819,1
"17__2367502__2376958","17",2367502,2376958,1
"16__2489354__2493801","16",2489354,2493801,1
"16__2499829__2499916","16",2499829,2499916,1
"17__2601190__2601884","17",2601190,2601884,1
"17__2598151__2603768","17",2598151,2603768,1
"18__2666156__2674144","18",2666156,2674144,2
"18__2694525__2700916","18",2694525,2700916,1
"16__2663961__2732801","16",2663961,2732801,1
"18__2738395__2739518","18",2738395,2739518,1
"19__2761458__2763755","19",2761458,2763755,1
"16__2821995__2822103","16",2821995,2822103,3
"16__2825452__2825557","16",2825452,2825557,1
"18__2890559__2892484","18",2890559,2892484,8
"12__2929252__2930958","12",2929252,2930958,1
"12__2973486__2973661","12",2973486,2973661,1
"12__2975559__2977920","12",2975559,2977920,1
"11__2972489__2999572","11",2972489,2999572,1
"12__3029929__3031568","12",3029929,3031568,1
"12__3046797__3047451","12",3046797,3047451,1
"16__3076064__3076167","16",3076064,3076167,1
"12__3103904__3131183","12",3103904,3131183,1
"10__3160974__3162236","10",3160974,3162236,7
"10__3205917__3209234","10",3205917,3209234,2
"12__3390364__3390495","12",3390364,3390495,2
"19__3425104__3435205","19",3425104,3435205,1
"19__3623686__3624160","19",3623686,3624160,4
"19__3660964__3661999","19",3660964,3661999,4
"11__3707203__3716836","11",3707203,3716836,1
"11__3712577__3716836","11",3712577,3716836,1
"11__3724002__3726586","11",3724002,3726586,2
"11__3752621__3752808","11",3752621,3752808,1
"11__3744387__3774638","11",3744387,3774638,1
"11__3752621__3774638","11",3752621,3774638,2
"11__3792978__3794969","11",3792978,3794969,1
"11__3784132__3797251","11",3784132,3797251,1
"11__3794862__3797251","11",3794862,3797251,3
"16__3900298__3901010","16",3900298,3901010,14
"17__3935420__3954337","17",3935420,3954337,1
"17__3955265__3968123","17",3955265,3968123,1
"19__3977213__3977345","19",3977213,3977345,1
"19__2739943__3980707","19",2739943,3980707,1
"19__3980839__3980977","19",3980839,3980977,2
"17__3984670__3985798","17",3984670,3985798,1
"16__4029117__4033441","16",4029117,4033441,1
"17__4109616__4113242","17",4109616,4113242,1
"11__4123223__4130933","11",4123223,4130933,1
"11__4123223__4133292","11",4123223,4133292,2
"17__4120278__4139185","17",4120278,4139185,1
"17__4186093__4210418","17",4186093,4210418,1
"19__4354946__4355170","19",4354946,4355170,3
"16__4382216__4383520","16",4382216,4383520,3
"16__4382216__4385394","16",4382216,4385394,2
"19__4446280__4446410","19",4446280,4446410,1
"16__4516154__4519466","16",4516154,4519466,1
"12__4626227__4628046","12",4626227,4628046,2
"19__4664888__4668657","19",4664888,4668657,1
"16__4707247__4715152","16",4707247,4715152,1
"16__4731551__4733933","16",4731551,4733933,1
"17__4904067__4904143","17",4904067,4904143,3
"19__4929234__4932968","19",4929234,4932968,2
"19__4941540__4951008","19",4941540,4951008,1
"19__4950623__4951008","19",4950623,4951008,2
"19__5039847__5041262","19",5039847,5041262,1
"16__5077136__5078186","16",5077136,5078186,1
"19__5047487__5082515","19",5047487,5082515,3
"19__5077378__5082515","19",5077378,5082515,2
"10__5014776__5144402","10",5014776,5144402,1
"10__5009119__5242311","10",5009119,5242311,1
"10__5014393__5248360","10",5014393,5248360,1
"17__5235244__5250220","17",5235244,5250220,1
"17__5364259__5365866","17",5364259,5365866,5
"19__5604594__5604947","19",5604594,5604947,7
"11__5624476__5624965","11",5624476,5624965,1
"19__5653126__5654467","19",5653126,5654467,2
"10__5762507__5766496","10",5762507,5766496,1
"10__5827105__5842668","10",5827105,5842668,2
"10__5838726__5842668","10",5838726,5842668,1
"1__5964677__6046387","1",5964677,6046387,1
"1__6007164__6046387","1",6007164,6046387,1
"1__6021854__6046387","1",6021854,6046387,2
"19__6230581__6270770","19",6230581,6270770,4
"19__6362457__6362553","19",6362457,6362553,3
"1__6609631__6610675","1",6609631,6610675,1
"12__6630964__6631203","12",6630964,6631203,2
"12__6657591__6657991","12",6657591,6657991,1
"1__6659107__6659512","1",6659107,6659512,3
"1__6679863__6680397","1",6679863,6680397,1
"12__6688012__6688083","12",6688012,6688083,1
"19__6702138__6702590","19",6702138,6702590,1
"19__6714003__6714093","19",6714003,6714093,2
