"chr","start","end","count","index"
"chrM",2878,3123,1,"M__2879__3123"
"chrM",4806,4938,1,"M__4807__4938"
"chrM",8685,8776,1,"M__8686__8776"
"chrM",9031,9190,1,"M__9032__9190"
"chrM",9408,9522,1,"M__9409__9522"
"chrUn_gl000222",11827,12288,1,"Un_gl000222__11828__12288"
"chrM",13449,13640,1,"M__13450__13640"
"chrM",13846,13999,1,"M__13847__13999"
"chrM",13860,14004,1,"M__13861__14004"
"chrM",13855,14024,1,"M__13856__14024"
"chrM",14621,15073,1,"M__14622__15073"
"chr9",17007,17100,1,"9__17008__17100"
"chr8_gl000196_random",12891,22894,1,"8_gl000196_random__12892__22894"
"chr7_gl000195_random",44222,44369,1,"7_gl000195_random__44223__44369"
"chr16",115497,115532,1,"16__115498__115532"
"chrUn_gl000220",117714,117964,1,"Un_gl000220__117715__117964"
"chrUn_gl000220",117907,118034,1,"Un_gl000220__117908__118034"
"chrUn_gl000220",118330,118511,1,"Un_gl000220__118331__118511"
"chrY",150833,159885,1,"Y__150834__159885"
"chrUn_gl000220",117265,161491,1,"Un_gl000220__117266__161491"
"chrUn_gl000223",160378,163228,1,"Un_gl000223__160379__163228"
"chr8",163120,163710,1,"8__163121__163710"
"chrY",150833,166059,1,"Y__150834__166059"
"chrY",178142,178205,1,"Y__178143__178205"
"chr16",167299,180590,1,"16__167300__180590"
"chr18",196636,203190,1,"18__196637__203190"
"chr18",196636,204692,1,"18__196637__204692"
"chrX",200833,209885,2,"X__200834__209885"
"chrX",200833,216059,1,"X__200834__216059"
"chr5",235258,236714,1,"5__235259__236714"
"chr16",239227,243014,1,"16__239228__243014"
"chrY",249338,252666,1,"Y__249339__252666"
"chr2",247537,253115,1,"2__247538__253115"
"chr10",225933,255988,3,"10__225934__255988"
"chr16",249060,258187,1,"16__249061__258187"
"chrY",249338,258428,2,"Y__249339__258428"
"chr16",249060,258663,1,"16__249061__258663"
"chr16",258076,258663,1,"16__258077__258663"
"chr10",225933,267296,10,"10__225934__267296"
"chrY",249338,272325,1,"Y__249339__272325"
"chrY",249338,273067,1,"Y__249339__273067"
"chrY",272139,273067,1,"Y__272140__273067"
"chr10",225933,295028,2,"10__225934__295028"
"chrX",299338,308428,2,"X__299339__308428"
"chrX",306250,308428,2,"X__306251__308428"
"chr5",264437,314711,1,"5__264438__314711"
"chr9",311953,317128,1,"9__311954__317128"
"chrX",306250,322325,3,"X__306251__322325"
"chrX",322139,323067,2,"X__322140__323067"
"chr19",325634,327989,1,"19__325635__327989"
"chr19",326506,327989,1,"19__326507__327989"
"chr16",354303,364683,6,"16__354304__364683"
"chr6_cox_hap2",394243,394385,1,"6_cox_hap2__394244__394385"
"chr6_cox_hap2",393846,395466,1,"6_cox_hap2__393847__395466"
"chr16",354303,397106,1,"16__354304__397106"
"chr20",398169,398574,1,"20__398170__398574"
"chr16",418327,418560,1,"16__418328__418560"
"chr10",412214,430086,1,"10__412215__430086"
"chr5",422843,434269,1,"5__422844__434269"
"chr4",436962,437046,1,"4__436963__437046"
