"index","chr","start","end","count"
"16__110214__110537","16",110214,110537,1
"16__138697__139900","16",138697,139900,1
"16__138697__142723","16",138697,142723,1
"16__138697__143323","16",138697,143323,1
"16__142594__143323","16",142594,143323,8
"16__148143__150507","16",148143,150507,12
"16__148143__162774","16",148143,162774,1
"16__160523__162774","16",160523,162774,1
"16__162621__162774","16",162621,162774,1
"18__163308__166819","18",163308,166819,1
"16__143217__169254","16",143217,169254,1
"17__169211__177370","17",169211,177370,1
"18__178933__180339","18",178933,180339,1
"16__150370__180590","16",150370,180590,1
"16__160523__180590","16",160523,180590,1
"18__163308__192900","18",163308,192900,2
"18__192842__199316","18",192842,199316,1
"18__196637__199316","18",196637,199316,1
"18__216486__224179","18",216486,224179,1
"11__224078__233215","11",224078,233215,9
"16__242926__249237","16",242926,249237,1
"11__238998__251936","11",238998,251936,1
"18__247849__254355","18",247849,254355,3
"10__225934__255988","10",225934,255988,5
"16__249061__256146","16",249061,256146,2
"16__249061__258187","16",249061,258187,4
"10__225934__267296","10",225934,267296,40
"10__255829__267296","10",255829,267296,1
"10__267135__267296","10",267135,267296,1
"10__267135__282855","10",267135,282855,1
"10__285378__288079","10",285378,288079,2
"19__308577__308925","19",308577,308925,1
"19__325635__327989","19",325635,327989,13
"19__325635__334542","19",325635,334542,3
"19__308577__336173","19",308577,336173,1
"19__311845__336173","19",311845,336173,1
"19__325635__336173","19",325635,336173,28
"19__327133__336173","19",327133,336173,2
"10__332213__356032","10",332213,356032,3
"10__355971__375541","10",355971,375541,1
"10__355971__387269","10",355971,387269,2
"10__372946__387269","10",372946,387269,1
"10__355971__395394","10",355971,395394,1
"10__372946__395394","10",372946,395394,2
"10__390749__395394","10",390749,395394,2
"16__396148__397106","16",396148,397106,16
"10__372946__403877","10",372946,403877,1
"10__402366__412351","10",402366,412351,1
"12__416112__417171","12",416112,417171,1
"16__425133__426812","16",425133,426812,1
"10__412215__430086","10",412215,430086,16
"10__436204__436803","10",436204,436803,1
"17__436082__440416","17",436082,440416,3
"12__459787__461490","12",459787,461490,9
"10__454866__461828","10",454866,461828,1
"12__459787__463400","12",459787,463400,3
"10__454866__465139","10",454866,465139,2
"10__454866__468973","10",454866,468973,1
"10__465005__468973","10",465005,468973,1
"10__454866__486936","10",454866,486936,1
"17__489510__505136","17",489510,505136,1
"10__459853__518489","10",459853,518489,3
"10__486811__518489","10",486811,518489,2
"16__511404__521389","16",511404,521389,1
"12__514677__527802","12",514677,527802,6
"12__520913__527802","12",520913,527802,2
"17__489510__530556","17",489510,530556,1
"17__526773__530556","17",526773,530556,10
"10__465005__532470","10",465005,532470,2
"10__486811__532470","10",486811,532470,4
"10__518379__532470","10",518379,532470,12
"16__511404__539000","16",511404,539000,4
"16__521295__539000","16",521295,539000,5
"16__532525__539000","16",532525,539000,7
"12__514677__542488","12",514677,542488,2
"16__532525__546859","16",532525,546859,4
"16__553004__555627","16",553004,555627,1
"16__532525__560800","16",532525,560800,1
"16__553004__560800","16",553004,560800,2
"16__555524__560800","16",555524,560800,2
"16__568943__570277","16",568943,570277,1
"16__586029__586142","16",586029,586142,4
"11__596923__597570","11",596923,597570,6
"11__596923__598502","11",596923,598502,8
"19__651611__652884","19",651611,652884,3
"16__667208__668260","16",667208,668260,1
"18__662146__669173","18",662146,669173,1
"18__670692__671451","18",670692,671451,5
"16__675432__676121","16",675432,676121,2
"11__678694__681089","11",678694,681089,8
"11__679688__681089","11",679688,681089,2
"17__673661__681984","17",673661,681984,1
"17__686323__686567","17",686323,686567,1
"11__674536__688460","11",674536,688460,1
"11__678694__688460","11",678694,688460,1
"11__679688__688460","11",679688,688460,1
"11__684898__688460","11",684898,688460,1
"11__687911__688460","11",687911,688460,1
"11__678694__691598","11",678694,691598,1
"17__686323__695741","17",686323,695741,1
"11__720830__721206","11",720830,721206,1
"16__721860__722002","16",721860,722002,1
"17__722679__727005","17",722679,727005,2
"17__725597__727005","17",725597,727005,2
"16__726971__727388","16",726971,727388,1
"17__722679__729318","17",722679,729318,25
"17__725597__729318","17",725597,729318,1
"16__731793__731880","16",731793,731880,1
"16__746773__747419","16",746773,747419,1
"18__756557__756835","18",756557,756835,5
"11__771333__772521","11",771333,772521,1
"11__771333__775142","11",771333,775142,1
"19__805013__805187","19",805013,805187,2
"19__803561__808762","19",803561,808762,1
"10__860682__861010","10",860682,861010,1
"10__875325__875674","10",875325,875674,1
"19__879937__881714","19",879937,881714,2
"10__882343__890995","10",882343,890995,5
"11__883148__893519","11",883148,893519,2
"19__899601__901546","19",899601,901546,1
"17__902019__902824","17",902019,902824,6
"10__882343__910210","10",882343,910210,1
"10__890917__910210","10",890917,910210,1
"10__909683__910210","10",909683,910210,13
"10__882343__931700","10",882343,931700,1
"10__888872__931700","10",888872,931700,5
"10__909683__931700","10",909683,931700,43
"10__910063__931700","10",910063,931700,1
"10__930387__931700","10",930387,931700,16
"12__936208__936428","12",936208,936428,4
"12__922808__939326","12",922808,939326,2
"12__936208__939326","12",936208,939326,2
"16__929570__943072","16",929570,943072,1
"1__957581__957842","1",957581,957842,3
"16__929570__961079","16",929570,961079,3
"19__964248__965080","19",964248,965080,2
"19__960092__968503","19",960092,968503,4
"17__953290__973330","17",953290,973330,3
"1__981540__981645","1",981540,981645,2
"17__975854__982630","17",975854,982630,1
"1__983392__983745","1",983392,983745,1
"11__981198__984753","11",981198,984753,1
"1__985283__985417","1",985283,985417,1
"17__953290__986867","17",953290,986867,3
"11__985432__986953","11",985432,986953,1
"1__985807__987195","1",985807,987195,1
"11__977095__988689","11",977095,988689,1
"11__992503__994245","11",992503,994245,7
"17__953290__995090","17",953290,995090,1
"17__975854__995090","17",975854,995090,1
"17__982570__995090","17",982570,995090,1
"17__994905__995090","17",994905,995090,1
"17__975854__1003975","17",975854,1003975,3
"17__976865__1003975","17",976865,1003975,2
"17__982570__1003975","17",982570,1003975,7
"17__986760__1003975","17",986760,1003975,9
"17__994905__1003975","17",994905,1003975,6
"16__929570__1004666","16",929570,1004666,1
"16__960931__1004666","16",960931,1004666,18
"16__981642__1004666","16",981642,1004666,1
"16__1004357__1004666","16",1004357,1004666,41
"19__1011366__1011498","19",1011366,1011498,1
"19__1011366__1012572","19",1011366,1012572,1
"19__1011366__1014472","19",1011366,1014472,1
"17__994905__1028702","17",994905,1028702,1
"19__1031070__1032695","19",1031070,1032695,1
"19__1032391__1032695","19",1032391,1032695,114
"12__1034616__1036429","12",1034616,1036429,2
"12__1034616__1039310","12",1034616,1039310,2
"12__1038985__1039310","12",1038985,1039310,1
"10__1042046__1043248","10",1042046,1043248,1
"10__1038429__1045035","10",1038429,1045035,1
"10__1046617__1046953","10",1046617,1046953,1
"10__1046617__1051847","10",1046617,1051847,2
"10__1041869__1053068","10",1041869,1053068,1
"10__1044943__1053068","10",1044943,1053068,1
"10__1046617__1053068","10",1046617,1053068,3
"10__1051758__1053068","10",1051758,1053068,2
"19__1089471__1091906","19",1089471,1091906,1
"19__1089883__1091906","19",1089883,1091906,1
"19__1090907__1091906","19",1090907,1091906,20
"19__1110744__1113703","19",1110744,1113703,1
"19__1111505__1113703","19",1111505,1113703,1
"19__1114230__1116102","19",1114230,1116102,1
"10__1118056__1118233","10",1118056,1118233,1
"19__1119010__1119620","19",1119010,1119620,1
"10__1125951__1126416","10",1125951,1126416,23
"10__1130343__1130478","10",1130343,1130478,1
"10__1125951__1132297","10",1125951,1132297,2
"10__1130343__1132297","10",1130343,1132297,6
"12__1136914__1137738","12",1136914,1137738,43
"10__1118056__1142186","10",1118056,1142186,1
"10__1125951__1142186","10",1125951,1142186,1
"10__1130343__1142186","10",1130343,1142186,22
"10__1118056__1151207","10",1118056,1151207,1
"10__1123847__1151207","10",1123847,1151207,1
"10__1130343__1151207","10",1130343,1151207,45
"10__1142110__1151207","10",1142110,1151207,2
"10__1149542__1151207","10",1149542,1151207,17
"19__1147308__1154401","19",1147308,1154401,21
"10__1130343__1170964","10",1130343,1170964,1
"10__1139392__1170964","10",1139392,1170964,1
"10__1149542__1170964","10",1149542,1170964,2
"10__1170158__1170964","10",1170158,1170964,21
"1__1192372__1192690","1",1192372,1192690,23
"12__1192330__1192746","12",1192330,1192746,1
"1__1191425__1198766","1",1191425,1198766,1
"1__1191425__1203372","1",1191425,1203372,2
"1__1192372__1203372","1",1192372,1203372,3
"19__1218416__1219412","19",1218416,1219412,7
"19__1219323__1221339","19",1219323,1221339,1
"19__1218416__1223171","19",1218416,1223171,5
"12__1213916__1225199","12",1213916,1225199,3
"1__1231116__1231318","1",1231116,1231318,1
"1__1247973__1248080","1",1247973,1248080,1
"17__1264386__1264592","17",1264386,1264592,1
"17__1257505__1265302","17",1257505,1265302,2
"17__1264386__1265302","17",1264386,1265302,3
"17__1264386__1268352","17",1264386,1268352,1
"17__1268153__1268352","17",1268153,1268352,2
"1__1273357__1274033","1",1273357,1274033,1
"19__1270927__1274439","19",1270927,1274439,3
"1__1275116__1277185","1",1275116,1277185,1
"1__1273357__1278138","1",1273357,1278138,2
"12__1291091__1292587","12",1291091,1292587,2
"11__1307232__1310006","11",1307232,1310006,2
"11__1307232__1311639","11",1307232,1311639,5
"11__1307232__1317024","11",1307232,1317024,29
"11__1309854__1317024","11",1309854,1317024,3
"17__1339914__1340449","17",1339914,1340449,16
"19__1356323__1358463","19",1356323,1358463,1
"17__1370774__1371204","17",1370774,1371204,1
"17__1370536__1372908","17",1370536,1372908,2
"17__1373469__1380890","17",1373469,1380890,1
"17__1377904__1382029","17",1377904,1382029,1
"17__1382725__1382999","17",1382725,1382999,15
"17__1380799__1384179","17",1380799,1384179,2
"17__1383821__1384179","17",1383821,1384179,11
"17__1401230__1410383","17",1401230,1410383,2
