"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chrY",150833,159885,"circular_RNA/2",0,"+",150833,150833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",2,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrY:148351-150833|chrY:159885-165763","Y__150834__159885",2
"chrY",150833,166059,"circular_RNA/1",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",1,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",1
"chrY",249338,272325,"circular_RNA/1",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",1
"chrY",2582462,2594414,"circular_RNA/1",0,"+",2582462,2582462,"0,0,0",7,"33,48,45,69,48,51,114","0,3183,5239,5934,8205,8892,11838",1,"circRNA","CD99","NM_001321367","2,3,4,5,6,7,8","chrY:2559468-2582462|chrY:2594414-2601397","Y__2582463__2594414",1
"chrX",299338,302666,"circular_RNA/1",0,"-",299338,299338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrX:295252-299338|chrX:302666-306250","X__299339__302666",1
"chrX",299338,308428,"circular_RNA/1",0,"-",299338,299338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrX:295252-299338|chrX:308428-322139","X__299339__308428",1
"chrX",299338,322325,"circular_RNA/1",0,"-",299338,299338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrX:295252-299338|chrX:322325-347102","X__299339__322325",1
"chrX",3544459,3560012,"circular_RNA/1",0,"-",3544459,3544459,"0,0,0",2,"96,120","0,15433",1,"circRNA","PRKX","NM_005044","5,4","chrX:3539357-3544459|chrX:3560012-3573189","X__3544460__3560012",1
"chrX",8565074,8591711,"circular_RNA/1",0,"-",8565074,8565074,"0,0,0",2,"223,63","0,26574",1,"circRNA","ANOS1","NM_000216","4,3","chrX:8556019-8565074|chrX:8591711-8667738","X__8565075__8591711",1
"chrX",9859016,9866330,"circular_RNA/1",0,"+",9859016,9859016,"0,0,0",3,"132,2341,101","0,3381,7213",1,"circRNA","SHROOM2","NM_001649","3,4,5","chrX:9841843-9859016|chrX:9866330-9900214","X__9859017__9866330",1
"chrX",9862397,9866330,"circular_RNA/2",0,"+",9862397,9862397,"0,0,0",2,"2341,101","0,3832",2,"circRNA","SHROOM2","NM_001649","4,5","chrX:9859148-9862397|chrX:9866330-9900214","X__9862398__9866330",2
"chrX",10031484,10066619,"circular_RNA/1",0,"+",10031484,10031484,"0,0,0",7,"110,204,77,80,130,150,74","0,3842,15354,16280,27326,30687,35061",1,"circRNA","WWC3","NM_015691","2,3,4,5,6,7,8","chrX:9983898-10031484|chrX:10066619-10077817","X__10031485__10066619",1
"chrX",10046838,10066619,"circular_RNA/1",0,"+",10046838,10046838,"0,0,0",5,"77,80,130,150,74","0,926,11972,15333,19707",1,"circRNA","WWC3","NM_015691","4,5,6,7,8","chrX:10035530-10046838|chrX:10066619-10077817","X__10046839__10066619",1
"chrX",10534927,10535643,"circular_RNA/3",0,"-",10534927,10534927,"0,0,0",1,"716","0",3,"circRNA","MID1","NM_001193277","2","chrX:10491227-10534927|chrX:10535643-10544823","X__10534928__10535643",3
"chrX",11777911,11779056,"circular_RNA/2",0,"+",11777911,11777911,"0,0,0",3,"83,96,101","0,610,1044",2,"circRNA","MSL3","NM_078628","2,3,4","chrX:11776484-11777911|chrX:11779056-11779618","X__11777912__11779056",2
"chrX",13767545,13773361,"circular_RNA/1",0,"+",13767545,13767545,"0,0,0",3,"107,74,92","0,3941,5724",1,"circRNA","OFD1","NM_001330209","9,10,11","chrX:13765072-13767545|chrX:13773361-13774696","X__13767546__13773361",1
"chrX",14868626,14877456,"circular_RNA/2",0,"-",14868626,14868626,"0,0,0",4,"170,129,93,153","0,2534,7357,8677",2,"circRNA","FANCB","NM_001018113","7,6,5,4","chrX:14863408-14868626|chrX:14877456-14882681","X__14868627__14877456",2
"chrX",16688702,16721064,"circular_RNA/1",0,"-",16688702,16688702,"0,0,0",10,"95,89,133,152,81,84,117,101,171,205","0,7782,12514,18870,20960,22561,22791,27656,28343,32157",1,"circRNA","CTPS2","NM_001144002","11,10,9,8,7,6,5,4,3,2","chrX:16685847-16688702|chrX:16721064-16729635","X__16688703__16721064",1
"chrX",16711263,16721064,"circular_RNA/1",0,"-",16711263,16711263,"0,0,0",5,"84,117,101,171,205","0,230,5095,5782,9596",1,"circRNA","CTPS2","NM_001144002","6,5,4,3,2","chrX:16709743-16711263|chrX:16721064-16729635","X__16711264__16721064",1
"chrX",16773067,16775432,"circular_RNA/1",0,"+",16773067,16773067,"0,0,0",3,"149,59,148","0,1718,2217",1,"circRNA","SYAP1","NM_032796","6,7,8","chrX:16761963-16773067|chrX:16775432-16778354","X__16773068__16775432",1
"chrX",16836696,16838378,"circular_RNA/2",0,"+",16836696,16836696,"0,0,0",2,"304,92","0,1590",2,"circRNA","TXLNG","NM_018360","2,3","chrX:16804712-16836696|chrX:16838378-16846216","X__16836697__16838378",2
"chrX",16836696,16847893,"circular_RNA/1",0,"+",16836696,16836696,"0,0,0",4,"304,92,171,195","0,1590,9520,11002",1,"circRNA","TXLNG","NM_018360","2,3,4,5","chrX:16804712-16836696|chrX:16847893-16850745","X__16836697__16847893",1
"chrX",16846216,16847893,"circular_RNA/1",0,"+",16846216,16846216,"0,0,0",2,"171,195","0,1482",1,"circRNA","TXLNG","NM_001168683","2,3","chrX:16804712-16846216|chrX:16847893-16850745","X__16846217__16847893",1
"chrX",16867366,16871965,"circular_RNA/1",0,"-",16867366,16867366,"0,0,0",5,"58,77,78,127,161","0,2802,3307,3505,4438",1,"circRNA","RBBP7","NM_001198719","10,9,8,7,6","chrX:16864061-16867366|chrX:16871965-16875716","X__16867367__16871965",1
"chrX",17072930,17121902,"circular_RNA/1",0,"+",17072930,17072930,"0,0,0",7,"143,95,70,54,46,137,62","0,7630,13594,15132,19306,22463,48910",1,"circRNA","REPS2","NM_001080975","8,9,10,11,12,13,14","chrX:17070568-17072930|chrX:17121902-17151946","X__17072931__17121902",1
"chrX",17151946,17157084,"circular_RNA/2",0,"+",17151946,17151946,"0,0,0",3,"84,146,106","0,1437,5032",2,"circRNA","REPS2","NM_001080975","15,16,17","chrX:17121902-17151946|chrX:17157084-17165535","X__17151947__17157084",2
"chrX",18265888,18275150,"circular_RNA/2",0,"-",18265888,18265888,"0,0,0",2,"114,183","0,9079",2,"circRNA","SCML2","NM_006089","12,11","chrX:18264948-18265888|chrX:18275150-18276163","X__18265889__18275150",2
"chrX",18622021,18627032,"circular_RNA/1",0,"+",18622021,18622021,"0,0,0",2,"967,102","0,4909",1,"circRNA","CDKL5","NM_003159","12,13","chrX:18616733-18622021|chrX:18627032-18627584","X__18622022__18627032",1
"chrX",18626930,18638086,"circular_RNA/2",0,"+",18626930,18626930,"0,0,0",4,"102,106,124,100","0,654,4341,11056",2,"circRNA","CDKL5","NM_003159","13,14,15,16","chrX:18622988-18626930|chrX:18638086-18643247","X__18626931__18638086",2
"chrX",19410119,19418781,"circular_RNA/1",0,"-",19410119,19410119,"0,0,0",5,"106,131,128,134,88","0,341,3079,6224,8574",1,"circRNA","MAP3K15","NM_001001671","18,17,16,15,14","chrX:19398395-19410119|chrX:19418781-19425305","X__19410120__19418781",1
"chrX",19425305,19433375,"circular_RNA/1",0,"-",19425305,19425305,"0,0,0",4,"96,50,108,151","0,2736,6169,7919",1,"circRNA","MAP3K15","NM_001001671","13,12,11,10","chrX:19418781-19425305|chrX:19433375-19443648","X__19425306__19433375",1
"chrX",19425305,19482524,"circular_RNA/1",0,"-",19425305,19425305,"0,0,0",10,"96,50,108,151,160,113,171,107,169,194","0,2736,6169,7919,18343,19043,24250,49725,52797,57025",1,"circRNA","MAP3K15","NM_001001671","13,12,11,10,9,8,7,6,5,4","chrX:19418781-19425305|chrX:19482524-19504599","X__19425306__19482524",1
"chrX",19475030,19482524,"circular_RNA/2",0,"-",19475030,19475030,"0,0,0",3,"107,169,194","0,3072,7300",2,"circRNA","MAP3K15","NM_001001671","6,5,4","chrX:19449726-19475030|chrX:19482524-19504599","X__19475031__19482524",2
"chrX",19701940,19713859,"circular_RNA/1",0,"-",19701940,19701940,"0,0,0",3,"206,75,130","0,3794,11789",1,"circRNA","SH3KBP1","NM_001353893","6,5,4","chrX:19663593-19701940|chrX:19713859-19724998","X__19701941__19713859",1
"chrX",20150299,20156740,"circular_RNA/1",0,"-",20150299,20150299,"0,0,0",4,"82,51,104,84","0,1775,3556,6357",1,"circRNA","EIF1AX","NM_001412","5,4,3,2","chrX:20148725-20150299|chrX:20156740-20159742","X__20150300__20156740",1
"chrX",20181081,20193406,"circular_RNA/1",0,"-",20181081,20181081,"0,0,0",6,"77,162,159,90,126,125","0,1935,4625,6438,9782,12200",1,"circRNA","RPS6KA3","NM_004586","19,18,17,16,15,14","chrX:20179879-20181081|chrX:20193406-20194367","X__20181082__20193406",1
"chrX",21886584,21887796,"circular_RNA/1",0,"+",21886584,21886584,"0,0,0",2,"119,181","0,1031",1,"circRNA","MBTPS2","NM_015884","6,7","chrX:21871621-21886584|chrX:21887796-21896159","X__21886585__21887796",1
"chrX",21985313,21997084,"circular_RNA/1",0,"+",21985313,21985313,"0,0,0",4,"121,176,155,90","0,9865,10764,11681",1,"circRNA","SMS","NM_001258423","2,3,4,5","chrX:21958991-21985313|chrX:21997084-22002421","X__21985314__21997084",1
"chrX",23739997,23754133,"circular_RNA/2",0,"-",23739997,23739997,"0,0,0",6,"104,84,38,171,46,98","0,789,8646,8935,11291,14038",2,"circRNA","ACOT9","NM_001033583","7,6,5,4,3,2","chrX:23731325-23739997|chrX:23754133-23761241","X__23739998__23754133",2
