"chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSizes","exonOffsets","readNumber","circType","geneName","isoformName","exon.intron.Index","flankIntron","index","count"
"chr6_apd_hap1",3065622,3065713,"circular_RNA/1",0,"-",3065622,3065622,"0,0,0",1,"91","0",1,"circRNA","VARS1","NM_006295","14","chr6_apd_hap1:3065372-3065622|chr6_apd_hap1:3065713-3066741","6_apd_hap1__3065623__3065713",1
"chrY",150833,159885,"circular_RNA/3",0,"+",150833,150833,"0,0,0",5,"148,137,129,156,184","0,4566,6481,7332,8868",3,"circRNA","PLCXD1","NM_001370370","3,4,5,6,7","chrY:148351-150833|chrY:159885-165763","Y__150834__159885",3
"chrY",150833,166059,"circular_RNA/2",0,"+",150833,150833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",2,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrY:148351-150833|chrY:166059-169259","Y__150834__166059",2
"chrY",249338,252666,"circular_RNA/1",0,"-",249338,249338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrY:245252-249338|chrY:252666-256250","Y__249339__252666",1
"chrY",249338,258428,"circular_RNA/2",0,"-",249338,249338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",2,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrY:245252-249338|chrY:258428-272139","Y__249339__258428",2
"chrY",249338,272325,"circular_RNA/1",0,"-",249338,249338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrY:245252-249338|chrY:272325-297102","Y__249339__272325",1
"chrY",256250,258428,"circular_RNA/1",0,"-",256250,256250,"0,0,0",5,"157,87,75,103,104","0,658,1185,1718,2074",1,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3","chrY:252666-256250|chrY:258428-272139","Y__256251__258428",1
"chrY",1343647,1359402,"circular_RNA/1",0,"+",1343647,1343647,"0,0,0",6,"88,102,143,124,130,173","0,7923,11023,13764,14004,15582",1,"circRNA","CSF2RA","NM_001161531","2,3,4,5,6,7","chrY:1337772-1343647|chrY:1359402-1363220","Y__1343648__1359402",1
"chrY",2276785,2293345,"circular_RNA/1",0,"-",2276785,2276785,"0,0,0",2,"69,108","0,16452",1,"circRNA","DHRSX","NM_145177","3,2","chrY:2159644-2276785|chrY:2293345-2368857","Y__2276786__2293345",1
"chrX",200833,216059,"circular_RNA/3",0,"+",200833,200833,"0,0,0",6,"148,137,129,156,184,296","0,4566,6481,7332,8868,14930",3,"circRNA","PLCXD1","NR_028057","3,4,5,6,7,8","chrX:198351-200833|chrX:216059-219259","X__200834__216059",3
"chrX",207314,208321,"circular_RNA/1",0,"+",207314,207314,"0,0,0",2,"129,156","0,851",1,"circRNA","PLCXD1","NM_001370370","5,6","chrX:205536-207314|chrX:208321-209701","X__207315__208321",1
"chrX",299338,302666,"circular_RNA/1",0,"-",299338,299338,"0,0,0",5,"107,119,176,90,49","0,174,2161,2703,3279",1,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8","chrX:295252-299338|chrX:302666-306250","X__299339__302666",1
"chrX",299338,308428,"circular_RNA/3",0,"-",299338,299338,"0,0,0",10,"107,119,176,90,49,157,87,75,103,104","0,174,2161,2703,3279,6912,7570,8097,8630,8986",3,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3","chrX:295252-299338|chrX:308428-322139","X__299339__308428",3
"chrX",299338,322325,"circular_RNA/6",0,"-",299338,299338,"0,0,0",11,"107,119,176,90,49,157,87,75,103,104,186","0,174,2161,2703,3279,6912,7570,8097,8630,8986,22801",6,"circRNA","PPP2R3B","NM_013239","12,11,10,9,8,7,6,5,4,3,2","chrX:295252-299338|chrX:322325-347102","X__299339__322325",6
"chrX",306250,308428,"circular_RNA/1",0,"-",306250,306250,"0,0,0",5,"157,87,75,103,104","0,658,1185,1718,2074",1,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3","chrX:302666-306250|chrX:308428-322139","X__306251__308428",1
"chrX",306250,322325,"circular_RNA/1",0,"-",306250,306250,"0,0,0",6,"157,87,75,103,104,186","0,658,1185,1718,2074,15889",1,"circRNA","PPP2R3B","NM_013239","7,6,5,4,3,2","chrX:302666-306250|chrX:322325-347102","X__306251__322325",1
"chrX",1401570,1409402,"circular_RNA/1",0,"+",1401570,1401570,"0,0,0",5,"102,143,124,130,173","0,3100,5841,6081,7659",1,"circRNA","CSF2RA","NM_001161531","3,4,5,6,7","chrX:1393735-1401570|chrX:1409402-1413220","X__1401571__1409402",1
"chrX",1540550,1547014,"circular_RNA/1",0,"-",1540550,1540550,"0,0,0",3,"185,163,388","0,3867,6076",1,"circRNA","ASMTL","NM_001173474","8,7,6","chrX:1538007-1540550|chrX:1547014-1551161","X__1540551__1547014",1
"chrX",2637701,2644414,"circular_RNA/1",0,"+",2637701,2637701,"0,0,0",5,"45,69,48,51,114","0,695,2966,3653,6599",1,"circRNA","CD99","NM_001321367","4,5,6,7,8","chrX:2635693-2637701|chrX:2644414-2651397","X__2637702__2644414",1
"chrX",7175282,7177813,"circular_RNA/1",0,"+",7175282,7175282,"0,0,0",3,"122,123,424","0,224,2107",1,"circRNA","STS","NM_001320750","4,5,6","chrX:7171377-7175282|chrX:7177813-7193991","X__7175283__7177813",1
