"index","chr","start","end","count"
"9__24851__25004","9",24851,25004,5
"8_gl000196_random__12892__27060","8_gl000196_random",12892,27060,20
"19__66346__66499","19",66346,66499,4
"12__78786__78939","12",78786,78939,2
"16__148143__150507","16",148143,150507,1
"16__162621__162774","16",162621,162774,2
"17__169211__171206","17",169211,171206,1
"9__162432__172172","9",162432,172172,5
"17__169211__177370","17",169211,177370,420
"18__178933__180339","18",178933,180339,1
"5__230991__231115","5",230991,231115,1
"10__225934__267296","10",225934,267296,1
"5__304292__311517","5",304292,311517,1
"16__339440__343718","16",339440,343718,2
"16__339440__364683","16",339440,364683,8
"16__354304__364683","16",354304,364683,27
"20__398170__398574","20",398170,398574,2
"11__403078__404135","11",403078,404135,4
"11__407817__410027","11",407817,410027,5
"12__404739__417171","12",404739,417171,2
"16__424005__424151","16",424005,424151,13
"16__425133__426812","16",425133,426812,3
"20__428533__428718","20",428533,428718,1
"19__418923__440932","19",418923,440932,1
"19__438718__440932","19",438718,440932,3
"16__449379__449739","16",449379,449739,23
"5__453485__459574","5",453485,459574,5
"10__486811__486936","10",486811,486936,1
"16__532525__546859","16",532525,546859,2
"6__553854__564929","6",553854,564929,44
"19__579500__582582","19",579500,582582,1
"16__583946__586142","16",583946,586142,188
"5__619105__620376","5",619105,620376,78
"5__619105__624694","5",619105,624694,64
"5__633884__635699","5",633884,635699,8
"6__629835__637861","6",629835,637861,1
"5__633884__644540","5",633884,644540,6
"16__667208__668260","16",667208,668260,1
"18__683246__706578","18",683246,706578,1
"18__697240__706578","18",697240,706578,4
"16__701644__707221","16",701644,707221,1
"16__702467__708344","16",702467,708344,1
"16__718353__718569","16",718353,718569,8
"7__716866__720363","7",716866,720363,3
"11__710422__720746","11",710422,720746,2
"16__721860__722002","16",721860,722002,6
"16__727459__727559","16",727459,727559,4
"7__618893__751164","7",618893,751164,5
"18__756557__756835","18",756557,756835,6
"7__794226__794458","7",794226,794458,2
"7__794226__803611","7",794226,803611,21
"19__804829__804939","19",804829,804939,4
